# gramatica
Q | ＿＿ الطالبُ المجتهدُ في الامتحان. | نجح | نجحت | نجحوا | نجحتم | الفعل يوافق الفاعل المفرد المذكر: نجح.
Q | لماذا قد يثني هذا الشرط الناس؟ | خوفًا من انكشاف هويتهم | لأنه مكلف | لأنه طويل | لأنه سري | انكشاف الهوية.
Q | ما معنى «انتقامي»؟ | يهدف إلى الانتقام | مكافئ | استشاري | إخباري | انتقام = ثأر.
@@
@R نوم المراهقين ناقص بصورة مزمنة. وحين تؤخّر بعض المدارس بدء الدراسة ساعة واحدة يرتفع الحضور وتقلّ حوادث السير. ويخشى المعارضون اضطراب الجداول، بينما يرى الباحثون أن هذا الإزعاج محدود إذا قورن بالفوائد المرصودة.
Q | ما الذي يتحسن بتأخير الدراسة؟ | الحضور وسلامة الطرق | الدرجات فقط | الرواتب | العطل | الحضور والسلامة.
Q | ما الذي يخشاه المعارضون؟ | اضطراب الجداول | التعب | التكلفة | الضجيج | الجداول.
Q | كيف يرى الباحثون هذا الإزعاج؟ | محدودًا | هائلًا | غير مقبول | معدومًا | محدود.
Q | ما معنى «مزمنة»؟ | مستمرة طويلًا | مفاجئة | نادرة | جديدة | مزمن = طويل الأمد.
Q | ما الاستنتاج المحتمل؟ | الفوائد أكبر من الإزعاج | يجب التراجع | لا تغيير | النوم غير مهم | الفوائد أكبر.
@@
@R فقدت القرية آخر مقهى فيها، وفقدت معه مكانًا كان الناس يلتقون فيه. فأسّس الأهالي جمعية واشتروا المبنى وصاروا يديرونه معًا. ورغم أن ربح المقهى متواضع، تؤكد رئيسة الجمعية أن المهم ليس المال، بل الحفاظ على مكان يلتقي فيه الناس.
Q | ماذا فقدت القرية؟ | آخر مقهى | المدرسة | البلدية | المحطة | المقهى.
Q | كيف أُنقذ المقهى؟ | بجمعية أسّسها الأهالي | بالبلدية | بشركة | بتبرع | جمعية الأهالي.
Q | ماذا تؤكد رئيسة الجمعية؟ | أن المهم ليس المال | أن الربح هو الهدف | أن المقهى سيُغلق | أن عليهم البيع | مكان اللقاء.
Q | ما معنى «متواضع» في: ربح متواضع؟ | قليل | كبير | ضخم | خسارة | متواضع = قليل.
Q | كيف حال ربح المقهى؟ | متواضع | خسارة كبيرة | ربح كبير | معدوم | متواضع.
@@
@R توضح باحثة أن تراجع أعداد النحل لا يعود إلى المبيدات وحدها. فقلّة تنوّع الزهور بسبب الزراعة الأحادية تحرمه من غذاء متوازن. ويسجّل المزارعون الذين يزرعون أشرطة من الزهور محاصيل أوفر، لأن حشرات أكثر تقوم بالتلقيح.
Q | ما التهديد الآخر للنحل؟ | قلة تنوع الزهور | كثرة الزهور | المطر | العسل | قلة التنوع.
Q | ماذا تسبب الزراعة الأحادية؟ | غذاءً غير متوازن | غذاءً متنوعًا | زيادة العسل | زيادة الزهور | غذاء غير متوازن.
Q | ماذا يسجّل المزارعون؟ | محاصيل أوفر | محاصيل أقل | عملًا أكثر | نحلًا أقل | محاصيل أوفر.
Q | لماذا تزيد المحاصيل؟ | لأن حشرات أكثر تلقّح | لأن المطر أكثر | لأن السماد أكثر | لأن الحقول أوسع | التلقيح.
Q | ما معنى «التلقيح»؟ | نقل حبوب اللقاح | السقي | البيع | القياس | تلقيح النبات.
@@
@R انتهت المحاكمة دون تحوّلات درامية. ففي القاعة خفّف كل شاهد من إفادته حتى بدت التهمة كبناء سُحبت أعمدته. ولم يفاجئ الحكم أحدًا، ولا حتى المتهم الذي قضى الجلسة الأخيرة يحدّق في السقف.
Q | كيف انتهت المحاكمة؟ | دون تحولات درامية | بشكل درامي | باعتراف | بشغب | هادئة.
Q | ماذا فعل كل شاهد؟ | خفّف إفادته | شدّدها | هرب | صرخ | خفف الإفادة.
Q | ماذا توحي صورة البناء؟ | أن التهمة فقدت أساسها | أن البناء متين | أن الكلفة كبيرة | أن البناء جديد | فقدان الأساس.
Q | ماذا يوحي سلوك المتهم؟ | أنه توقّع الحكم | أنه غضب | أنه فوجئ | أنه بريء | توقع الحكم.
Q | ما معنى «الحكم»؟ | قرار المحكمة | خطبة | قانون | دفاع | حكم = قرار.
@@
@R يرى مخطِّط حضري أن المدينة تشبه النظام البيئي أكثر مما تشبه الآلة: فأجزاؤها تتكيّف وتتنافس وتتعاون بطرق لم تخطّط لها أي خطة. وأنجح الأحياء هي التي خُطّط لها قليلًا وتُركت للسكان مساحة للارتجال.
Q | بماذا يشبّه المدينة؟ | بالنظام البيئي | بالآلة | بالكتاب | بالمتحف | النظام البيئي.
Q | ما أنجح الأحياء؟ | التي خُطّط لها قليلًا | التي خُطّط لها بدقة | الأقدم | الأحدث | تخطيط قليل.
Q | ماذا يُترك للسكان؟ | مساحة للارتجال | لا شيء | أوامر | خطط | الارتجال.
Q | ما معنى «تتكيّف»؟ | تتلاءم مع الوضع | ترحل | تختفي | تأمر | تكيّف = تلاؤم.
Q | ما فكرة النص؟ | المدينة لا تُختزل في خطة | المدينة آلة | المدينة متوقعة | المدينة بلا فائدة | نظام بيئي.
@@
@R مع انتشار البث الرقمي أصبح اكتشاف الموسيقى يتم عبر الخوارزميات. يرى المدافعون في ذلك دمقرطة، ويرى المنتقدون حبسًا في الأذواق. وتُظهر دراسة حديثة أن مستخدمي القوائم المخصّصة يستمعون إلى أنواع أقل بكثير ممن يبحثون بحرّية.
Q | كيف يتم اكتشاف الموسيقى؟ | عبر الخوارزميات | عبر الراديو | عبر النقاد | عبر الحفلات | الخوارزميات.
Q | ماذا يأخذ المنتقدون؟ | حبس الأذواق | التكلفة | صعوبة الوصول | الجودة | حبس الأذواق.
Q | ماذا تُظهر الدراسة؟ | مستخدمو القوائم يستمعون لأنواع أقل | الجميع يستمع أكثر | البث مجاني | الراديو يزدهر | أنواع أقل.
Q | ما معنى «المنتقدون»؟ | من يعترضون | المعجبون | الموسيقيون | الأصحاب | ناقد = معترض.
Q | كيف عرض النص الموضوع؟ | عرض الرأيين | عرض رأيًا واحدًا | إعلان | قصيدة | متوازن.
@@
@R يدافع رئيس التحرير عن الصحافة الاستقصائية الطويلة. ويقول إنه يفضّل أن يصدر أقل مرات لكنه يقدّم تحقيقات معمّقة بدل سباق الأخبار العاجلة. ويعتبر أن المعلنين يقدّرون القارئ المخلص. أما المعارضون فيردّون بأن ذلك لا يصمد إلا مع قلة من الصحف التي يدعمها الرعاة.
Q | عمّ يدافع رئيس التحرير؟ | الصحافة الاستقصائية الطويلة | الأخبار العاجلة | الإعلانات | المجانية | استقصاء طويل.
Q | ماذا يريد تجنّبه؟ | سباق الأخبار العاجلة | المعلنين | التحقيقات | القرّاء | تجنب السباق.
Q | ما حجة المعارضين؟ | لا يصمد إلا مع قلة من الصحف | رخيص الكلفة | يحبه الجميع | غير قانوني | حجة الاقتصاد.
Q | ما معنى «معمّقة»؟ | ذات عمق | سطحية | قصيرة | مجانية | معمق = عميق.
Q | ماذا يفضّل المعلنون في رأيه؟ | القارئ المخلص | الأخبار العاجلة | المجانية | لا شيء | قارئ مخلص.
@@
@R يدعو المعرض المخصص للأشياء اليومية الصغيرة الزائر إلى النظر بعين جديدة إلى ما لم يعد يراه. فملعقة أو زرّ أو مفتاح، كلٌّ منها يروي عصرًا ومهنة وطريقة عيش. ويوضح القيّم على المعرض أنه لم يُرِد حنينًا ولا معرفة موسوعية، بل انتباهًا.
Q | ماذا يعرض المعرض؟ | أشياء يومية صغيرة | لوحات | سيارات | مجوهرات | أشياء يومية.
Q | ماذا أراد القيّم؟ | انتباهًا | حنينًا | معرفة موسوعية | صدمة | انتباه.
Q | ماذا يروي كل شيء؟ | عصرًا وطريقة عيش | لغزًا | محاكمة | رحلة | عصر ومهنة.
Q | من هو «القيّم» هنا؟ | المشرف على المعرض | طبيب | قاضٍ | مرشد | القيّم = المشرف.
Q | ما نبرة النص؟ | هادئة | عنيفة | هزلية | متعجلة | هادئة.
@@
@R أمام ارتفاع منسوب البحر، تدرس بعض البلديات الساحلية نقل سكانها. وهي فكرة ظلت طويلًا من المحرّمات لكنها تكسب أنصارًا، إذ تزداد كلفة صيانة السدود وتقلّ فعاليتها. ويبقى السؤال معلقًا: من سيتحمّل تكلفة النقل، وكيف تُحفظ هوية قرى كاملة؟
Q | ماذا تدرس بعض البلديات؟ | نقل السكان | بناء السدود | إغلاق الشواطئ | بيع الأراضي | نقل السكان.
Q | لماذا تكسب الفكرة أنصارًا؟ | لأن السدود تكلّف أكثر وتنفع أقل | لأن المطر قلّ | لأن البحر انخفض | لأن الجميع طلب | كلفة وفعالية.
Q | ما السؤال المعلّق؟ | من سيتحمل تكلفة النقل | من يبني السدود | أين الموانئ | من يصطاد | التكلفة.
Q | ما معنى «المحرّمات» هنا؟ | ما يُتحاشى الحديث عنه | ما هو شائع | ما هو قديم | ما هو مجاني | تابو.
Q | ما معنى «تكسب أنصارًا»؟ | يزداد مؤيدوها | يقل مؤيدوها | تختفي | تُخفي | كسب = نال.
@@
@R غيّر العمل عن بُعد علاقات الزملاء. فبينما ارتفعت كفاءة المهام الفردية، قلّ التواصل غير الرسمي الذي يغذّي الابتكار. والشركات التي تفرض العودة الكاملة إلى المكتب تخاطر بالاستياء، بينما تفقد التي تتخلى عنها ثقافتها المشتركة.
Q | ماذا غيّر العمل عن بُعد؟ | علاقات الزملاء | الرواتب | الجداول | المواصلات | العلاقات.
Q | ما الذي قلّ؟ | التواصل غير الرسمي | المهام | الاجتماعات | البريد | التواصل غير الرسمي.
Q | ماذا يحدث عند فرض العودة الكاملة؟ | استياء | ابتكار | هدوء | عمل عن بُعد | استياء.
Q | ماذا تفقد الشركات التي تتخلى عن العودة؟ | ثقافتها المشتركة | موظفيها | أموالها | مكاتبها | الثقافة المشتركة.
Q | ما معنى «يغذّي» الابتكار؟ | يدعمه وينمّيه | يوقفه | يمنعه | يخفيه | غذّى = نمّى.
@@
@R دأب الشاعر على تجنّب الاحتفالات. وحين أُبلغ بفوزه بالجائزة الكبرى ظنّ الأمر مزحة، ثم اعتذر عن عدم الحضور. وأوصى بأن يُقرأ نصّ قصير نيابةً عنه شكر فيه خاصةً القرّاء الذين «يحملون القصيدة معهم فيبقونها حيّة».
Q | كيف تصرف الشاعر أولًا؟ | ظنّ الأمر مزحة | فرح كثيرًا | رفض | بكى | مزحة.
Q | ماذا فعل يوم الحفل؟ | أوصى بقراءة نص نيابة عنه | حضر | غنّى | كتب كتابًا | نيابة عنه.
Q | من شكر خاصةً؟ | القرّاء | اللجنة | الأسرة | الناشرين | القراء.
Q | ما موقفه من الاحتفالات؟ | تجنّبها دائمًا | تحمّس لها | تساءل عنها | خاف منها | تجنّب.
Q | ما معنى «دأب على»؟ | واظب على | ترك | نسي | كتب | دأب = واظب.
@@
@R اقترحت الحكومة إصلاحًا تعليميًا يقلّص عدد التلاميذ في الصفوف بالمناطق الفقيرة. ورحّب المعلمون بذلك مع التنبيه إلى أن حجم الصف ليس كل شيء: فبلا تدريب مستمر ووسائل تعليمية سيبقى الأثر محدودًا. ووعد الوزير بالدعم دون أن يحدّد جدولًا زمنيًا.
Q | ما مضمون الإصلاح؟ | تقليص عدد التلاميذ في الصفوف | زيادة الإجازات | تقليل الدروس | امتحان جديد | صفوف أصغر.
Q | كيف استقبل المعلمون الإصلاح؟ | رحّبوا مع تحفظات | رفضوا | تجاهلوه | استقالوا | ترحيب وتحفظ.
Q | ما الذي يحتاجونه أيضًا؟ | تدريب مستمر ووسائل | مزيد من التلاميذ | ساعات أقل | عقوبات | تدريب ووسائل.
Q | ماذا وعد الوزير؟ | بالدعم دون جدول زمني | بلا شيء | بميزانية فورية | باستقالته | دعم بلا جدول.
Q | ما معنى «محدودًا»؟ | ضيق النطاق | لا نهاية له | كبيرًا | سريعًا | محدود = قليل.
@@
@R بعد سنوات من النمو دخل سوق الكتاب مرحلة ركود. ويشير الناشرون إلى ارتفاع أسعار الورق ومنافسة الكتب الصوتية. ويراهن بعضهم على طبعات أقل عددًا وأعلى جودة، وهي مطلوبة كهدايا، مما يسمح بتفاؤل حذر.
Q | كيف حال سوق الكتاب؟ | في ركود | ينمو بسرعة | اختفى | تضاعف | ركود.
Q | ما الأسباب التي يذكرها الناشرون؟ | ارتفاع الورق ومنافسة الكتب الصوتية | التلفاز | الطقس | أزمة سياسية | الورق والكتب الصوتية.
Q | على ماذا يراهن بعض الناشرين؟ | طبعات أقل وأعلى جودة | خفض الأسعار | الإعلانات | الأفلام | جودة أعلى.
Q | ما الموقف الأخير؟ | تفاؤل حذر | تشاؤم تام | لا مبالاة | غضب | تفاؤل حذر.
Q | ما معنى «ركود»؟ | توقف النمو | ازدهار | اختفاء | سرعة | ركود = سكون.
@@
@R كسرت الملّاحة رقمًا قياسيًا في العبور الفردي. وحين سُئلت عن السر تحدثت عن الصبر أكثر من التقنية: أن تقبل بأن البحر هو من يقرر، وأن تتخلى عن السيطرة على ما لا يتوقف عليك. وتعترف بأن أصعب ما واجهته لم يكن البرد بل وحدة الليالي بلا ريح.
Q | أي رقم قياسي كسرت؟ | العبور الفردي | سرعة السباق | الغوص | المشي | العبور الفردي.
Q | ما الذي ذكرته أكثر من التقنية؟ | الصبر | القوة | الحظ | المال | الصبر.
Q | ما أصعب ما واجهت؟ | وحدة الليالي بلا ريح | البرد | الجوع | الخوف من الريح | الوحدة.
Q | ماذا عليها أن تقبل؟ | أن البحر هو من يقرر | أن تتحكم بكل شيء | أن تفوز | أن تستسلم | البحر يقرر.
Q | ما معنى «تتخلى عن»؟ | تتنازل عن | تمسك بـ | تنسى | تُخفي | تخلّى = ترك.
@@
@R يحتدم الجدل حول تسجيل الجنسية في الإحصاءات. يرى المؤيدون أنه أداة لتقييم التمييز، بينما يخشى المعارضون إساءة استخدامه. واقترحت لجنة خبراء حلًّا وسطًا: بيانات مجهولة الهوية لا يطّلع عليها إلا الباحثون مع مراقبة دورية.
Q | ما موضوع الجدل؟ | تسجيل الجنسية في الإحصاءات | الضرائب | المدارس | المعاشات | الجنسية.
Q | كيف يرى المؤيدون الأمر؟ | أداة لتقييم التمييز | تهديد | عبء | مكسب سياسي | تقييم التمييز.
Q | ما الذي يخشاه المعارضون؟ | إساءة الاستخدام | التكلفة | الأخطاء | البطء | إساءة الاستخدام.
Q | ماذا اقترحت اللجنة؟ | بيانات مجهولة ومراقبة | منعًا كاملًا | نشرًا مفتوحًا | تخليًا | حل وسط.
Q | ما معنى «يحتدم»؟ | يشتد | يهدأ | ينتهي | يبدأ | احتدم = اشتد.
@@
@R اضطرت صاحبة المطعم إلى الإغلاق ستة أشهر. وعند إعادة الافتتاح غيّرت القائمة: أطباق أقل ومكوّنات محلية. وتقول إن الزبائن استغربوا أولًا ثم تقبلوا الصيغة الجديدة، وإن الأزمة أجبرتها على ما كانت تؤجله منذ سنوات وهو التبسيط.
Q | كم أُغلق المطعم؟ | ستة أشهر | شهرين | سنة | أسبوعًا | ستة أشهر.
Q | ماذا غيّرت؟ | القائمة | العنوان | الاسم | الطاهي | القائمة.
Q | كيف تفاعل الزبائن؟ | استغربوا ثم تقبلوا | غضبوا | لم يهتموا | غادروا | تقبل.
Q | ماذا أجبرتها الأزمة على فعله؟ | التبسيط | التوسع | الإغلاق | البيع | التبسيط.
Q | ما معنى «تؤجله»؟ | تؤخّره | ترفضه | تجذبه | تدفعه | أجّل = أخّر.
@@
@R لاحظ باحثون طوال عشر سنوات مجموعة من الثعالب تعيش في ضواحي المدينة. وعلى عكس أقاربها في الريف، فهي لا تتنقّل كثيرًا لأن الطعام وفير قرب البيوت. ويبدو أن أعدادها تتأثر بإدارة النفايات أكثر مما تتأثر بالمساحات الخضراء، مما يدعو إلى إعادة التفكير في استراتيجيات التحكم بها.
Q | كم استمرت الملاحظة؟ | عشر سنوات | سنة | سنتين | عشرين سنة | عشر سنوات.
Q | لماذا لا تتنقل هذه الثعالب كثيرًا؟ | لأن الطعام وفير | لأنها مريضة | لأن هناك حواجز | لأنها تنام | وفرة الطعام.
Q | بماذا تتأثر أعدادها؟ | بإدارة النفايات | بالمساحات الخضراء | بالمناخ | بالصيد | النفايات.
Q | ما الذي تدعو إليه النتائج؟ | إعادة التفكير في استراتيجيات التحكم | إصلاح التعليم | تغيير العمارة | السياحة | إعادة التفكير.
Q | ما معنى «ضواحي»؟ | أطراف المدينة | وسط المدينة | الريف | البحر | ضواحي = أطراف.
@@
# listening
@L الصحفي: تديرون شركة ناشئة للطاقة الشمسية، كيف كانت البداية؟ المدير: كانت صعبة. كانت لدينا فكرة جيدة لكن دون رأس مال. ولم نتمكّن من توظيف أول الموظفين إلا حين وثق بنا مستثمر.
Q | ما الذي كان ينقصهم في البداية؟ | رأس المال | الفكرة | الزبائن | المكتب | رأس المال.
Q | متى تمكنوا من التوظيف؟ | بعد أن وثق بهم مستثمر | فورًا | بعد عامين | لم يتمكنوا | المستثمر.
Q | في أي مجال تعمل الشركة؟ | الطاقة الشمسية | الحواسيب | الأزياء | الأغذية | الطاقة الشمسية.
Q | كيف يصف المدير البداية؟ | صعبة | سهلة | مملة | ممتعة | صعبة.
Q | ما دور الصحفي؟ | يطرح الأسئلة | يبيع | يستثمر | يدير | مقابلة.
@@
@L هي: هل سمعت أن القطار المتجه إلى الإسكندرية أُلغي؟ هو: لا، ماذا حدث؟ هي: سقطت شجرة على السكة. هناك حافلة بديلة لكنها تستغرق ضعف الوقت تقريبًا. هو: إذن سأذهب بسيارتي.
Q | لماذا أُلغي القطار؟ | سقطت شجرة على السكة | إضراب | حادث | ثلج | سقوط شجرة.
Q | ما البديل؟ | حافلة بديلة | طائرة | سيارة أجرة | لا شيء | حافلة.
Q | كم تستغرق الحافلة؟ | ضعف الوقت تقريبًا | النصف | نفس الوقت | ثلاثة أيام | ضعف.
Q | ماذا قرر الرجل؟ | الذهاب بسيارته | البقاء | ركوب الحافلة | الانتظار | سيارته.
Q | إلى أين يتجه القطار؟ | الإسكندرية | القاهرة | أسوان | الأقصر | الإسكندرية.
@@
@L الأستاذ: الرقمنة تغيّر العمل من جذوره. وخلافًا للمخاوف الشائعة، فالوظائف لا تختفي فحسب، بل تظهر مهن جديدة ليس لها اسم بعد. ولذلك فإن أهم شيء هو القدرة على التعلّم مدى الحياة.
Q | ما الذي يؤكده الأستاذ؟ | القدرة على التعلم مدى الحياة | اختفاء كل الوظائف | أن الرقمنة بلا ضرر | عدم ظهور مهن | التعلم المستمر.
Q | ماذا يظهر إلى جانب اختفاء الوظائف؟ | مهن جديدة | مدارس جديدة | قوانين جديدة | مدن جديدة | مهن جديدة.
Q | ما معنى «من جذوره»؟ | تغييرًا جذريًّا | سطحيًّا | سريعًا | ببطء | جذري.
Q | ما المخاوف الشائعة؟ | اختفاء الوظائف | التكلفة | الضجيج | السفر | البطالة.
Q | ما موقف الأستاذ؟ | متوازن | معادٍ | ساذج | خائف | متوازن.
@@
@L الزبون: صباح الخير، اشتريت هذا المحمّصة قبل ثلاثة أسابيع وقد توقفت عن العمل. البائع: هل معك الفاتورة؟ الزبون: نعم، تفضّل. البائع: يمكننا استبدالها أو ردّ المبلغ. الزبون: أفضّل استرداد المبلغ.
Q | ما المشكلة؟ | الجهاز لا يعمل | غالٍ جدًّا | كبير جدًّا | مسروق | عطل.
Q | ماذا طلب البائع؟ | الفاتورة | العبوة | الهوية | الضمان فقط | الفاتورة.
Q | ما الخيارات التي عرضها؟ | استبدال أو ردّ المبلغ | إصلاح فقط | لا شيء | قسيمة | استبدال أو رد.
Q | ماذا اختار الزبون؟ | استرداد المبلغ | جهازًا جديدًا | إصلاحًا | قسيمة | استرداد.
Q | متى اشترى الزبون الجهاز؟ | قبل ثلاثة أسابيع | قبل ثلاث سنوات | أمس | قبل ثلاثة أشهر | ثلاثة أسابيع.
@@
@L المذيع: مساء الخير. ستمطر خلال الليل في أنحاء البلاد، مع تساقط ثلوج فوق ألف ومئتي متر. صباح الغد يسود الضباب، ثم تنقشع الغيوم خلال النهار، وتظهر الشمس بين الحين والآخر بعد الظهر، وتبلغ الحرارة العظمى نحو أربع عشرة درجة.
Q | أين تتساقط الثلوج؟ | فوق ألف ومئتي متر | في كل مكان | على الساحل | لا مكان | الأماكن المرتفعة.
Q | كيف سيكون الصباح؟ | ضبابيًّا | مشمسًا | عاصفًا | حارًّا | ضباب.
Q | ماذا سيحدث بعد الظهر؟ | تظهر الشمس بين الحين والآخر | تثلج | عاصفة | مطر غزير | شمس متقطعة.
Q | كم الحرارة العظمى؟ | نحو أربع عشرة درجة | أربع درجات | أربع وعشرون | أربعون | 14.
Q | ما نوع هذا النص؟ | نشرة جوية | إعلان | مقابلة | خبر | نشرة الطقس.
@@
@L الطالبة: لن أستطيع تسليم بحث التخرج يوم الجمعة. المشرف: لماذا؟ الطالبة: وجدت مصادر أكثر مما توقعت ولا أعرف كيف أنظّمها. المشرف: هذه مشكلة جيدة. اكتفي بأهم ثلاثة مصادر، وسأمدّد لك الموعد أسبوعًا.
Q | لماذا لا تستطيع التسليم؟ | لديها مصادر كثيرة | مريضة | لا مصادر | لا وقت | كثرة المصادر.
Q | بماذا ينصحها المشرف؟ | بالاكتفاء بثلاثة مصادر | بمزيد من البحث | بالاستسلام | بإعادة الكتابة | ثلاثة مصادر.
Q | كم يمدّد الموعد؟ | أسبوعًا | شهرًا | يومًا | لا يمدّد | أسبوع.
Q | كيف يصف المشرف المشكلة؟ | جيدة | كارثة | لا حل لها | محرجة | مشكلة جيدة.
Q | ما الموعد الأصلي؟ | الجمعة | الاثنين | يونيو | غدًا | الجمعة.
@@
@L المراسل: أعلن رئيس البلدية اليوم إنشاء جسر جديد بكلفة أربعين مليون دينار. ويرى المعارضون أنه هدر في وقت تفتقر فيه المدارس إلى التمويل، بينما ردّ رئيس البلدية بأن الجسر سيحرّك اقتصاد المنطقة كلها.
Q | ماذا أعلن رئيس البلدية؟ | إنشاء جسر | هدم جسر | ضريبة | انتخابات | جسر.
Q | كم كلفته؟ | أربعون مليون دينار | أربعة ملايين | أربعمئة مليون | أربعة عشر مليونًا | 40 مليون.
Q | ماذا يقول المعارضون؟ | هدر والمدارس تفتقر للتمويل | قبيح | كبير | لا خطة له | هدر.
Q | بماذا ردّ رئيس البلدية؟ | سيحرّك اقتصاد المنطقة | صمت | ألغى | ذكر المدارس | تحريك الاقتصاد.
Q | ما نوع هذا النص؟ | خبر | قصيدة | إعلان | رسالة | خبر.
@@
@L الأم: كيف كان يومك الأول في العمل؟ الابنة: متعب لكنه جيد. كان الجميع لطفاء، وقد أوكل إليّ المدير مشروعًا فورًا. الأم: من اليوم الأول؟ الابنة: نعم، خفت قليلًا لكن أن أتحمّل هذه المسؤولية ممتع.
Q | كيف كان اليوم الأول؟ | متعب لكن جيد | سيئ | ممل | كارثي | متعب وجيد.
Q | ماذا أوكل إليها المدير؟ | مشروعًا | إجازة | مكافأة | فصلًا | مشروع.
Q | ما شعورها؟ | خوف قليل مع متعة | غضب | حزن | لامبالاة | خوف ومتعة.
Q | كيف كان الزملاء؟ | لطفاء | باردين | غائبين | صارمين | لطفاء.
Q | من يتحدث مع من؟ | الابنة مع أمها | المدير مع الأم | زميلان | صديقان | الابنة والأم.
@@
@L الطبيب: نتائج فحوصاتك جيدة عمومًا لكن ضغط الدم مرتفع قليلًا. أنصحك بمزيد من الحركة وتقليل الملح. سنعيد الفحص بعد ثلاثة أشهر، وإن لم يتغيّر شيء فسنتحدث عن الأدوية.
Q | ما المرتفع قليلًا؟ | ضغط الدم | السكر | الحرارة | الوزن | ضغط الدم.
Q | ماذا على المريض أن يفعل؟ | مزيدًا من الحركة وتقليل الملح | أخذ الأدوية | لا شيء | البقاء في السرير | حركة وملح.
Q | متى الفحص القادم؟ | بعد ثلاثة أشهر | بعد ثلاثة أيام | بعد سنة | غدًا | ثلاثة أشهر.
Q | متى سيتحدثان عن الأدوية؟ | إن لم يتغيّر شيء | فورًا | أبدًا | العام القادم | بشرط.
Q | كيف النتائج عمومًا؟ | جيدة | سيئة | خطيرة | غير واضحة | جيدة.
@@
@L وكالة السفر: تم إلغاء رحلتك إلى فيينا. يمكننا نقلك إلى رحلة الخميس أو استرداد المبلغ كاملًا. العميل: الخميس متأخر جدًّا فلدي موعد يوم الأربعاء. الوكالة: إذن لم يبقَ إلا الاسترداد، وعليك حجز رحلة أخرى بنفسك.
Q | ماذا حدث للرحلة؟ | أُلغيت | تأخرت | قُدّمت | بيعت | أُلغيت.
Q | ماذا اقترحت الوكالة؟ | النقل أو الاسترداد | القطار | الفندق | قسيمة | نقل أو استرداد.
Q | لماذا لا يناسب الخميس؟ | لديه موعد الأربعاء | مريض | بلا مال | لا يحب الطيران | موعد الأربعاء.
Q | ما الذي يبقى في النهاية؟ | الاسترداد | النقل | قسيمة | تعويض | الاسترداد.
Q | إلى أين يسافر العميل؟ | فيينا | برلين | زيورخ | براغ | فيينا.
@@
@L المدرّب: لعبتم جيدًا في الشوط الأول لكنكم أضعتم كرات كثيرة. في الشوط الثاني يجب أن تكونوا أكثر هدوءًا وأن تستغلوا المساحات. القائد: وإن ضغطوا في مناطقنا؟ المدرّب: عندها نلعب كرات طويلة على الأطراف.
Q | ماذا مدح المدرب؟ | الشوط الأول | الدفاع | الجمهور | الملعب | الشوط الأول.
Q | ماذا انتقد؟ | ضياع كرات كثيرة | قلة الجري | الشجار | التأخر | ضياع الكرات.
Q | ماذا على اللاعبين؟ | أن يكونوا أكثر هدوءًا | أن يركضوا أكثر | أن يضغطوا | أن يستسلموا | الهدوء.
Q | ماذا يفعلون إن ضغط الخصم عاليًا؟ | كرات طويلة على الأطراف | التراجع | التبديل | التوقف | كرات طويلة.
Q | من طرح السؤال؟ | القائد | المدرب | مشجع | الحكم | القائد.
@@
@L الصحفي: كيف تفسّرون نجاح حزبكم؟ الوزيرة: لأننا قدّمنا حلولًا ملموسة بدل إثارة المخاوف. الصحفي: يقول خصومكم إنه لا توجد خطة تمويل. الوزيرة: هذا غير صحيح. الخطة معلنة، يكفي أن تقرأوها.
Q | كيف فسّرت النجاح؟ | بحلول ملموسة | بالحظ | بالمال | بالدعاية | حلول ملموسة.
Q | ماذا يقول الخصوم؟ | لا توجد خطة تمويل | إنها تكذب | فساد | عجز | لا خطة تمويل.
Q | كيف ردّت الوزيرة؟ | نفت ذلك | اعترفت | صمتت | غادرت | نفت.
Q | كيف كانت نبرتها؟ | واثقة | خائفة | لامبالية | حزينة | واثقة.
Q | ماذا تعني «معلنة»؟ | معروفة للجميع | عقد | كتاب | فاتورة | معلنة = منشورة.
@@
@L إعلان: أيها المسافرون الكرام، بسبب عطل في إشارات السكة يتأخر القطار رقم 574 المتجه إلى الأقصر نحو عشرين دقيقة. نعتذر عن الإزعاج. أما المسافرون إلى بني سويف فيرجى استخدام القطار الإقليمي على الرصيف السابع، وينطلق بعد خمس دقائق.
Q | لماذا يتأخر القطار؟ | عطل في الإشارات | إضراب | حادث | طقس | عطل الإشارات.
Q | كم مدة التأخير؟ | نحو عشرين دقيقة | ساعتان | خمس دقائق | ساعة | 20 دقيقة.
Q | إلى أين يتجه القطار؟ | الأقصر | بني سويف | القاهرة | أسوان | الأقصر.
Q | ماذا يفعل المسافرون إلى بني سويف؟ | يستخدمون القطار الإقليمي على الرصيف السابع | ينتظرون | يأخذون سيارة أجرة | يركبون القطار 574 | الإقليمي.
Q | متى ينطلق القطار الإقليمي؟ | بعد خمس دقائق | بعد ساعة | الآن | لا ينطلق | خمس دقائق.
@@
@L الجار: جئت بسبب الضجيج. الليلة الماضية أقمتم حفلًا حتى الثالثة فجرًا. الجارة: أعتذر جدًّا. كان عيد ميلاد ابني ولم نتوقع أن الصوت يُسمع إلى هذا الحد. الجار: أتفهّم ذلك لكن لا ينبغي أن يتكرر. الجارة: بالتأكيد سنكون حذرين.
Q | لماذا جاء الجار؟ | بسبب الضجيج | القمامة | موقف السيارات | الإيجار | الضجيج.
