# gramatica
Q | राम ＿＿ किताब पढ़ी। | ने | को | से | में | सकर्मक क्रिया के भूतकाल में कर्ता के साथ ने: राम ने किताब पढ़ी।
@R एक विधेयक तैयार किया गया है जो संगठनों में अनियमितताओं की सूचना देने वालों की बेहतर सुरक्षा करेगा। यह पहचान गुप्त रखने की गारंटी देता है और हर प्रकार के प्रतिशोध पर रोक लगाता है। नागरिक संगठनों ने इसे प्रगति बताया, पर पहले वरिष्ठ अधिकारी के पास जाने की शर्त पर खेद जताया, क्योंकि पहचान उजागर होने से डरने वाले लोग इससे हतोत्साहित हो सकते हैं।
Q | विधेयक का उद्देश्य क्या है? | सूचना देने वालों की रक्षा | उन्हें दंड देना | उन्हें वेतन देना | उन्हें प्रशिक्षण देना | सुरक्षा।
Q | विधेयक क्या गारंटी देता है? | पहचान की गोपनीयता | वेतन | आजीवन नौकरी | पुरस्कार | गोपनीयता।
Q | नागरिक संगठनों को किस बात का खेद है? | पहले वरिष्ठ अधिकारी के पास जाने की शर्त | कानून का अभाव | अवधि | लागत | शर्त।
Q | यह शर्त लोगों को क्यों हतोत्साहित कर सकती है? | पहचान उजागर होने का डर | यह महँगी है | यह लंबी है | यह गुप्त है | पहचान का डर।
Q | «प्रतिशोध» का अर्थ है | बदला | पुरस्कार | सलाह | रिपोर्ट | प्रतिशोध = बदला।
@@
@R किशोरों की नींद लगातार कम रहती है। कुछ विद्यालयों की तरह यदि कक्षाओं का आरंभ एक घंटा देर से किया जाए, तो उपस्थिति बढ़ती है और सड़क दुर्घटनाएँ घटती हैं। विरोधी समय-सारणी बिगड़ने की चिंता करते हैं, पर शोधकर्ताओं के अनुसार मिले लाभ की तुलना में यह असुविधा छोटी है।
Q | कक्षाएँ देर से शुरू करने पर क्या सुधरता है? | उपस्थिति और सड़क सुरक्षा | केवल अंक | वेतन | छुट्टियाँ | उपस्थिति, सुरक्षा।
Q | विरोधियों को किस बात की चिंता है? | समय-सारणी बिगड़ने की | थकान | खर्च | शोर | समय-सारणी।
Q | शोधकर्ता इस असुविधा को कैसा मानते हैं? | छोटा | बहुत बड़ा | अस्वीकार्य | अस्तित्वहीन | छोटी।
Q | «लगातार» का अर्थ है | निरंतर | अचानक | कभी-कभी | नया | लगातार = निरंतर।
Q | गद्यांश का संभावित निष्कर्ष क्या है? | लाभ असुविधा से अधिक हैं | इसे छोड़ देना चाहिए | कुछ नहीं बदलेगा | नींद ज़रूरी नहीं | लाभ अधिक।
@@
@R गाँव ने अपनी आख़िरी चाय की दुकान खो दी और उसके साथ लोगों के मिलने की जगह भी। निवासियों ने संस्था बनाई, इमारत खरीदी और मिलकर उसे चलाने लगे। दुकान थोड़ा-सा मुनाफ़ा कमाती है, पर अध्यक्ष ज़ोर देती हैं कि असली बात पैसा नहीं, बल्कि वह जगह बचाना है जहाँ लोग आपस में मिलते रहें।
Q | गाँव ने क्या खोया? | आख़िरी चाय की दुकान | स्कूल | पंचायत घर | स्टेशन | दुकान।
Q | दुकान को कैसे बचाया गया? | निवासियों की संस्था ने | नगर ने | कंपनी ने | दान से | निवासियों की संस्था।
Q | अध्यक्ष किस बात पर ज़ोर देती हैं? | पैसा नहीं, मिलने की जगह ज़रूरी है | मुनाफ़ा | दुकान बंद करना | बेचना | मिलने की जगह।
Q | «मुनाफ़ा» का अर्थ है | लाभ | हानि | ऋण | कर | मुनाफ़ा = लाभ।
Q | दुकान का मुनाफ़ा कैसा है? | थोड़ा | भारी घाटा | बहुत बड़ा | कोई नहीं | थोड़ा।
@@
@R एक शोधकर्ता बताती हैं कि मधुमक्खियों की संख्या घटने का कारण केवल कीटनाशक नहीं हैं। एक ही फ़सल उगाने की प्रथा से तरह-तरह के फूल कम हो गए हैं, जिससे उन्हें संतुलित भोजन नहीं मिलता। जो किसान फूलों की पट्टियाँ बनाते हैं, वे अधिक उपज की बात बताते हैं, क्योंकि अधिक कीट परागण करते हैं।
Q | मधुमक्खियों के लिए एक और खतरा क्या है? | विविध फूलों की कमी | फूलों की अधिकता | बारिश | शहद | विविधता की कमी।
Q | एक ही फ़सल उगाने की प्रथा का क्या परिणाम है? | असंतुलित भोजन | संतुलित भोजन | अधिक शहद | अधिक फूल | असंतुलन।
Q | फूलों की पट्टियाँ बनाने वाले किसान क्या बताते हैं? | अधिक उपज | कम उपज | अधिक काम | कम मधुमक्खियाँ | अधिक उपज।
Q | उपज क्यों बढ़ती है? | अधिक कीट परागण करते हैं | अधिक बारिश होती है | अधिक खाद है | खेत बड़े हैं | परागण।
Q | «परागण» का अर्थ है | पराग एक फूल से दूसरे तक पहुँचना | सिंचाई | बिक्री | माप | परागण।
@@
@R मुक़दमा बिना किसी नाटकीय मोड़ के समाप्त हुआ। अदालत में हर गवाह ने अपना बयान नरम कर दिया, यहाँ तक कि अभियोजन का पक्ष उस इमारत जैसा लगने लगा जिसके खंभे निकाल लिए गए हों। फ़ैसले ने किसी को नहीं चौंकाया, यहाँ तक कि उस अभियुक्त को भी नहीं, जो अंतिम सुनवाई में छत ताकता रहा।
Q | मुक़दमा कैसे समाप्त हुआ? | बिना नाटकीय मोड़ के | नाटकीय ढंग से | स्वीकारोक्ति से | दंगे से | शांत।
Q | हर गवाह ने क्या किया? | बयान नरम कर दिया | बयान कड़ा किया | भाग गया | चिल्लाया | नरम।
Q | खंभे निकली इमारत की उपमा क्या दर्शाती है? | अभियोजन का पक्ष आधारहीन हो गया | इमारत मज़बूत है | लागत ज़्यादा है | नई इमारत | आधार खोना।
Q | अभियुक्त का व्यवहार क्या संकेत देता है? | उसे फ़ैसले का अनुमान था | वह क्रोधित था | वह चौंक गया | वह निर्दोष है | अनुमान।
Q | «फ़ैसला» का अर्थ है | अदालत का निर्णय | भाषण | कानून | बचाव | फ़ैसला = निर्णय।
@@
@R एक नगर-नियोजक मानते हैं कि शहर मशीन से अधिक पारिस्थितिकी तंत्र जैसा है: उसके हिस्से बिना किसी योजना के अनुकूल होते, होड़ लगाते और सहयोग करते हैं। सबसे सफल मोहल्ले वे हैं जिनकी योजना कम बनाई गई और निवासियों को अपने ढंग से सुधारने की गुंजाइश दी गई।
Q | वे शहर की तुलना किससे करते हैं? | पारिस्थितिकी तंत्र से | मशीन से | पुस्तक से | संग्रहालय से | पारिस्थितिकी।
Q | सबसे सफल मोहल्ले कौन-से हैं? | जिनकी योजना कम बनी | जिनकी योजना विस्तृत बनी | सबसे पुराने | सबसे नए | कम योजना।
Q | निवासियों को क्या मिलता है? | अपने ढंग से सुधारने की गुंजाइश | कुछ नहीं | आदेश | योजनाएँ | गुंजाइश।
Q | «अनुकूल होना» का अर्थ है | परिस्थिति के अनुरूप ढलना | चले जाना | गायब होना | आदेश देना | अनुकूलन।
Q | मुख्य तर्क क्या है? | शहर को केवल योजना से नहीं समझा जा सकता | शहर मशीन है | शहर पूर्वानुमेय है | शहर व्यर्थ है | पारिस्थितिकी।
@@
@R स्ट्रीमिंग के प्रसार के साथ संगीत की खोज अब एल्गोरिदम के ज़रिए होती है। समर्थक इसे लोकतंत्रीकरण कहते हैं, तो आलोचक अपनी ही पसंद के घेरे में कैद होना। हाल का एक अध्ययन बताता है कि व्यक्तिगत सूची सुनने वाले लोग स्वतंत्र रूप से खोजने वालों की तुलना में कहीं कम शैलियाँ सुनते हैं।
Q | संगीत की खोज कैसे होती है? | एल्गोरिदम से | रेडियो से | आलोचकों से | संगीत सभा से | एल्गोरिदम।
Q | आलोचक क्या आरोप लगाते हैं? | अपनी पसंद के घेरे में कैद होना | ऊँची लागत | पहुँच की कमी | खराब गुणवत्ता | पसंद का घेरा।
Q | अध्ययन क्या बताता है? | सूची सुनने वाले कम शैलियाँ सुनते हैं | सब अधिक सुनते हैं | स्ट्रीमिंग मुफ़्त है | रेडियो बढ़ा | कम शैलियाँ।
Q | «आलोचक» का अर्थ है | कमी निकालने वाला | प्रशंसक | संगीतकार | मालिक | आलोचक।
Q | गद्यांश दोनों पक्षों को कैसे रखता है? | संतुलित रूप से | एक ही पक्ष | विज्ञापन की तरह | कविता की तरह | संतुलन।
@@
@R अख़बार के संपादक लंबी खोजी पत्रकारिता का समर्थन करते हैं। तुरंत ख़बरों की दौड़ के बजाय वे कम बार छपने की कीमत पर भी गहरी रिपोर्टें देना चाहते हैं। उनके अनुसार विज्ञापनदाता भी निष्ठावान पाठक को महत्व देते हैं। विरोधी कहते हैं कि यह मॉडल केवल उन गिने-चुने पत्रों में चल सकता है जिन्हें संरक्षक मिल जाते हैं।
Q | संपादक किसका समर्थन करते हैं? | लंबी खोजी पत्रकारिता का | तुरंत ख़बरों का | विज्ञापन का | मुफ़्त वितरण का | खोजी पत्रकारिता।
Q | वे किससे बचना चाहते हैं? | ख़बरों की दौड़ से | विज्ञापनदाताओं से | रिपोर्टों से | पाठकों से | दौड़ से बचना।
Q | विरोधियों का तर्क क्या है? | यह मॉडल केवल गिने-चुने पत्रों में चल सकता है | यह सस्ता है | सबको पसंद है | यह गैरकानूनी है | गिने-चुने।
Q | «संरक्षक» का अर्थ है | सहारा देने वाला | विरोधी | ग्राहक | कर्मचारी | संरक्षक = patrón.
Q | संपादक के अनुसार विज्ञापनदाता किसे महत्व देते हैं? | निष्ठावान पाठक को | तुरंत ख़बरों को | मुफ़्त को | किसी को नहीं | निष्ठावान पाठक।
@@
@R रोज़मर्रा की छोटी वस्तुओं पर केंद्रित प्रदर्शनी दर्शक को उस चीज़ को नई दृष्टि से देखने को कहती है जिसे वह अब देखता ही नहीं। एक चम्मच, एक बटन, एक चाबी: हर वस्तु एक युग, पेशे और जीवन-शैली की कहानी कहती है। प्रदर्शनी-संयोजक स्पष्ट करते हैं कि उन्हें न पुरानी यादें चाहिए थीं, न पांडित्य; केवल सजग दृष्टि चाहिए थी।
Q | प्रदर्शनी किस पर केंद्रित है? | रोज़मर्रा की छोटी वस्तुओं पर | चित्रों पर | कारों पर | गहनों पर | रोज़मर्रा की वस्तुएँ।
Q | संयोजक क्या चाहते थे? | सजग दृष्टि | पुरानी यादें | पांडित्य | सदमा | सजगता।
Q | हर वस्तु क्या कहती है? | एक युग और जीवन-शैली की कहानी | एक रहस्य | एक मुक़दमा | एक यात्रा | युग की कहानी।
Q | «संयोजक» कौन है? | आयोजन करने वाला | डॉक्टर | न्यायाधीश | गाइड | संयोजक।
Q | गद्यांश का स्वर कैसा है? | शांत | हिंसक | हास्यपूर्ण | जल्दबाज़ | शांत।
@@
@R समुद्र का जलस्तर बढ़ने के कारण कुछ तटीय नगर अपने निवासियों को अन्यत्र बसाने पर विचार कर रहे हैं। लंबे समय तक वर्जित माने जाने वाले इस विचार को समर्थन मिल रहा है, क्योंकि बाँधों की देखरेख का खर्च बढ़ता जा रहा है और उनकी प्रभावशीलता घट रही है। यह अब भी तय नहीं कि विस्थापन का खर्च कौन उठाएगा।
Q | कुछ तटीय नगर किस पर विचार कर रहे हैं? | निवासियों को बसाने पर | बाँध बनाने पर | समुद्र तट बंद करने पर | ज़मीन बेचने पर | विस्थापन।
Q | इस विचार को समर्थन क्यों मिल रहा है? | बाँध महँगे और कम कारगर हैं | बारिश कम है | समुद्र घट गया | सब माँग रहे हैं | खर्च और प्रभावशीलता।
Q | कौन-सा प्रश्न अनसुलझा है? | विस्थापन का खर्च कौन उठाएगा | बाँध कौन बनाएगा | बंदरगाह कहाँ बनेंगे | मछली कौन पकड़ेगा | खर्च।
Q | «वर्जित» का अर्थ है | जिस पर रोक हो | लोकप्रिय | पुराना | मुफ़्त | वर्जित = निषिद्ध।
Q | «समर्थन मिलना» का अर्थ है | पक्षधर बढ़ना | शक्ति घटना | गायब होना | छिपना | समर्थन = समर्थक बढ़ना।
@@
@R दूर से काम करने के प्रसार ने सहकर्मियों के संबंध बदल दिए हैं। व्यक्तिगत कार्यों की कुशलता बढ़ी है, पर अनौपचारिक बातचीत, जो नवाचार को पोषण देती है, घट गई है। जो कंपनियाँ पूरी तरह कार्यालय लौटने की बाध्यता रखती हैं, वे असंतोष का जोखिम उठाती हैं, और जो इसे छोड़ देती हैं, वे साझा संस्कृति खो देती हैं।
Q | दूर से काम ने क्या बदला? | सहकर्मियों के संबंध | वेतन | समय-सारणी | यातायात | संबंध।
Q | क्या घट गया? | अनौपचारिक बातचीत | काम | बैठकें | ईमेल | अनौपचारिक बातचीत।
Q | पूरी तरह कार्यालय लौटने की बाध्यता से क्या होता है? | असंतोष का जोखिम | नवाचार बढ़ता है | शोर घटता है | दूर से काम बढ़ता है | असंतोष।
Q | कार्यालय लौटना छोड़ने वाली कंपनियाँ क्या खोती हैं? | साझा संस्कृति | कर्मचारी | पैसा | कार्यालय | संस्कृति।
Q | «पोषण देना» का यहाँ अर्थ है | विकसित होने में सहायता देना | रोकना | मना करना | छिपाना | पोषण = बढ़ावा।
@@
@R कवि ने हमेशा समारोहों से दूरी बनाए रखी। जब उन्हें बड़े पुरस्कार की सूचना दी गई, तो पहले उन्होंने इसे मज़ाक समझा, फिर न आ पाने के लिए क्षमा माँगी। उनकी जगह एक छोटा पाठ पढ़वाया गया, जिसमें उन्होंने विशेष रूप से पाठकों का आभार माना, «जो कविता को साथ लेकर चलते हैं और उसे जीवित रखते हैं।»
Q | कवि की पहली प्रतिक्रिया क्या थी? | उसे मज़ाक समझा | बहुत खुश हुए | मना कर दिया | रोए | मज़ाक।
Q | समारोह के दिन उन्होंने क्या किया? | अपना पाठ पढ़वाया | स्वयं आए | गाना गाया | पुस्तक लिखी | पाठ पढ़वाया।
Q | उन्होंने विशेष आभार किसका माना? | पाठकों का | निर्णायकों का | परिवार का | प्रकाशकों का | पाठक।
Q | समारोहों के प्रति उनका रवैया कैसा था? | हमेशा दूरी बनाए रखी | उत्साही | जिज्ञासु | भयभीत | दूरी।
Q | «दूरी बनाए रखना» का अर्थ है | अलग रहना | पास आना | जानना | लिखना | दूरी बनाना = परहेज़।
@@
@R सरकार ने शिक्षा सुधार का प्रस्ताव रखा है, जिसके तहत वंचित क्षेत्रों में प्रति कक्षा छात्रों की संख्या घटाई जाएगी। शिक्षकों ने इसका स्वागत किया, पर याद दिलाया कि कक्षा का आकार ही सब कुछ नहीं है: निरंतर प्रशिक्षण और शिक्षण-सामग्री के बिना प्रभाव सीमित रहेगा। मंत्री ने सहायता का वादा किया, पर कोई समय-सीमा नहीं बताई।
Q | सुधार का मूल क्या है? | कक्षा में छात्र कम करना | छुट्टियाँ बढ़ाना | कक्षाएँ घटाना | नई परीक्षा | कम छात्र।
Q | शिक्षकों की प्रतिक्रिया कैसी रही? | स्वागत के साथ शर्तें | विरोध | उपेक्षा | इस्तीफ़ा | स्वागत + शर्तें।
Q | शिक्षकों के अनुसार और क्या चाहिए? | निरंतर प्रशिक्षण और सामग्री | अधिक छात्र | कम घंटे | दंड | प्रशिक्षण और सामग्री।
Q | मंत्री ने क्या वादा किया? | सहायता, पर समय-सीमा नहीं | कुछ नहीं | तुरंत बजट | इस्तीफ़ा | सहायता का वादा।
Q | «सीमित» का अर्थ है | जिसकी हद हो | असीम | बड़ा | तेज़ | सीमित।
@@
@R कुछ वर्षों की वृद्धि के बाद पुस्तक-बाज़ार ठहर गया है। प्रकाशक कागज़ की कीमतों में उछाल और ऑडियो-पुस्तकों की प्रतिस्पर्धा का हवाला देते हैं। कुछ प्रकाशक कम प्रतियाँ छापकर सुरुचिपूर्ण संस्करण निकालने का दाँव लगा रहे हैं, जिनकी उपहार के रूप में माँग है, इसलिए सतर्क आशावाद बना हुआ है।
Q | पुस्तक-बाज़ार की स्थिति कैसी है? | ठहरा हुआ है | तेज़ी से बढ़ रहा है | खत्म हो गया | दोगुना हो गया | ठहराव।
Q | प्रकाशक किसका हवाला देते हैं? | कागज़ की कीमतें और ऑडियो-पुस्तकें | टेलीविज़न | मौसम | राजनीतिक संकट | कागज़, ऑडियो।
Q | कुछ प्रकाशक किस पर दाँव लगा रहे हैं? | कम प्रतियाँ और सुरुचिपूर्ण संस्करण | कम दाम | विज्ञापन | फ़िल्में | सुरुचिपूर्ण संस्करण।
Q | अंतिम भाव क्या है? | सतर्क आशावाद | पूर्ण निराशा | उदासीनता | क्रोध | सतर्क आशावाद।
Q | «संस्करण» का अर्थ है | पुस्तक का एक प्रकाशन-रूप | टिकट | लॉटरी | अलमारी | संस्करण = edición।
@@
@R महिला नाविक ने अकेले महासागर पार करने का रिकॉर्ड तोड़ दिया। रहस्य पूछने पर उन्होंने तकनीक से अधिक धैर्य की बात की: यह मान लेना कि समुद्र ही तय करता है, और उन चीज़ों पर नियंत्रण की इच्छा छोड़ देना जो हमारे बस में नहीं। उन्होंने माना कि सबसे कठिन ठंड नहीं थी, बल्कि हवा-रहित रातों का अकेलापन था।
Q | उन्होंने कौन-सा रिकॉर्ड तोड़ा? | अकेले महासागर पार करने का | दौड़ की गति | गोताखोरी | पैदल दूरी | अकेले पार।
Q | उन्होंने तकनीक से अधिक किसे महत्व दिया? | धैर्य को | ताक़त को | भाग्य को | धन को | धैर्य।
Q | सबसे कठिन क्या था? | हवा-रहित रातों का अकेलापन | ठंड | भूख | हवा का डर | अकेलापन।
Q | क्या मान लेना चाहिए? | कि समुद्र ही तय करता है | कि सब नियंत्रित करें | कि जीतें | कि हार मान लें | समुद्र तय करता है।
Q | «छोड़ देना» का यहाँ आशय है | आग्रह त्याग देना | वस्तु गिरा देना | भूल जाना | पकड़ना | छोड़ना = त्यागना।
@@
@R आँकड़ों में राष्ट्रीयता दर्ज करने पर बहस तेज़ है। पक्षधर इसे भेदभाव के मूल्यांकन का साधन मानते हैं, जबकि विरोधी दुरुपयोग की आशंका जताते हैं। विशेषज्ञ समिति ने बीच का रास्ता सुझाया: गुप्त रखे गए आँकड़े जिन्हें केवल शोधकर्ता देख सकें, और नियमित जाँच।
Q | बहस का विषय क्या है? | आँकड़ों में राष्ट्रीयता दर्ज करना | कर | स्कूल | पेंशन | राष्ट्रीयता।
Q | पक्षधर क्या मानते हैं? | भेदभाव के मूल्यांकन का साधन | खतरा | बोझ | राजनीतिक लाभ | साधन।
Q | विरोधियों को क्या आशंका है? | दुरुपयोग | खर्च | गलतियाँ | धीमापन | दुरुपयोग।
Q | समिति का सुझाव क्या है? | गुप्त आँकड़े और नियमित जाँच | पूर्ण प्रतिबंध | खुला प्रकाशन | त्याग | बीच का रास्ता।
Q | «आशंका» का अर्थ है | डर या संदेह | विश्वास | उत्सुकता | प्रेम | आशंका = शंका।
@@
@R रेस्तराँ की मालकिन को छह महीने बंद रखना पड़ा। दोबारा खुलने पर उसने मेन्यू बदला: व्यंजन कम, पर स्थानीय सामग्री। ग्राहक पहले चकित हुए, फिर नए रूप के अभ्यस्त हो गए। उसका कहना है कि संकट ने उसे वही करने पर मजबूर किया जिसे वह वर्षों से टाल रही थी: चीज़ों को सरल बनाना।
Q | रेस्तराँ कितने समय बंद रहा? | छह महीने | दो महीने | एक साल | एक सप्ताह | छह महीने।
Q | उसने क्या बदला? | मेन्यू | पता | नाम | रसोइया | मेन्यू।
Q | ग्राहकों की प्रतिक्रिया कैसी रही? | पहले चकित, फिर अभ्यस्त | नाराज़ | उदासीन | चले गए | अभ्यस्त।
Q | संकट ने उसे क्या करने पर मजबूर किया? | सरल बनाना | विस्तार | बंद करना | बेचना | सरलीकरण।
Q | «टालना» का अर्थ है | स्थगित करना | रद्द करना | खींचना | धकेलना | टालना = स्थगित।
@@
@R शोधकर्ताओं ने दस साल तक शहर के बाहरी इलाके में रहने वाले लोमड़ियों के एक झुंड का अध्ययन किया। गाँव के लोमड़ों के विपरीत ये बहुत कम घूमते हैं, क्योंकि घरों के आसपास खाना भरपूर है। इनकी संख्या हरियाली से अधिक कूड़े के प्रबंधन पर निर्भर लगती है, जिससे नियंत्रण की रणनीतियों पर दोबारा सोचने की ज़रूरत पड़ती है।
Q | अध्ययन कितने साल चला? | दस | एक | दो | बीस | दस साल।
Q | ये लोमड़ियाँ कम क्यों घूमती हैं? | घरों के आसपास खाना भरपूर है | वे बीमार हैं | बाड़ लगी है | वे सोती हैं | भोजन की प्रचुरता।
Q | इनकी संख्या किस पर निर्भर लगती है? | कूड़े के प्रबंधन पर | हरियाली पर | मौसम पर | शिकार पर | कूड़ा।
Q | इस निष्कर्ष से किस पर दोबारा सोचना पड़ता है? | नियंत्रण की रणनीतियों पर | शिक्षा पर | वास्तुकला पर | पर्यटन पर | रणनीतियाँ।
Q | «बाहरी इलाका» का अर्थ है | शहर के किनारे का क्षेत्र | शहर का केंद्र | गाँव | समुद्र | बाहरी इलाका।
@@
# listening
@L पत्रकार: आप सौर ऊर्जा की एक नई कंपनी चलाते हैं, शुरुआत कैसी रही? निदेशक: कठिन। हमारे पास अच्छा विचार था, पर पूँजी नहीं थी। जब एक निवेशक ने हम पर भरोसा किया, तभी हम पहले कर्मचारी रख सके।
Q | शुरुआत में किसकी कमी थी? | पूँजी की | विचार की | ग्राहकों की | दफ़्तर की | पूँजी।
Q | कर्मचारी कब रखे जा सके? | निवेशक के भरोसा करने के बाद | तुरंत | दो साल बाद | कभी नहीं | निवेशक के बाद।
Q | कंपनी किस क्षेत्र में काम करती है? | सौर ऊर्जा | कंप्यूटर | कपड़े | खाद्य | सौर ऊर्जा।
Q | निदेशक शुरुआत को कैसा बताते हैं? | कठिन | आसान | उबाऊ | मज़ेदार | कठिन।
Q | पत्रकार की भूमिका क्या है? | प्रश्न पूछना | बेचना | निवेश करना | चलाना | साक्षात्कार।
@@
@L वह: क्या तुमने सुना कि जयपुर जाने वाली ट्रेन रद्द हो गई? वह: नहीं, क्या हुआ? वह: पटरी पर पेड़ गिर गया। एक बस चलाई गई है, पर उसमें लगभग दोगुना समय लगेगा। वह: तो मैं कार से चला जाऊँगा।
Q | ट्रेन क्यों रद्द हुई? | पटरी पर पेड़ गिर गया | हड़ताल | दुर्घटना | बर्फ़ | पेड़।
Q | उसकी जगह क्या चलाया गया है? | बस | हवाई जहाज़ | टैक्सी | कुछ नहीं | बस।
Q | बस में कितना समय लगेगा? | लगभग दोगुना | आधा | उतना ही | तीन दिन | दोगुना।
Q | आदमी ने क्या तय किया? | कार से जाना | घर पर रहना | बस से जाना | इंतज़ार करना | कार।
Q | ट्रेन कहाँ जा रही है? | जयपुर | दिल्ली | मुंबई | पुणे | जयपुर।
@@
@L प्रोफ़ेसर: डिजिटलीकरण काम को जड़ से बदल रहा है। आम डर के उलट, नौकरियाँ केवल खत्म नहीं होतीं; ऐसे नए पेशे भी उभरते हैं जिनका अभी नाम तक नहीं है। इसलिए जीवन भर सीखते रहने की क्षमता सबसे ज़रूरी है।
Q | प्रोफ़ेसर किस बात पर ज़ोर देते हैं? | जीवन भर सीखने की क्षमता | सारी नौकरियाँ खत्म होंगी | डिजिटलीकरण हानिरहित है | नए पेशे नहीं होंगे | आजीवन सीखना।
Q | नौकरियों के खत्म होने के साथ क्या उभरता है? | नए पेशे | नए स्कूल | नए कानून | नए शहर | नए पेशे।
Q | «जड़ से» का अर्थ है | बुनियादी रूप से | ऊपरी तौर पर | तेज़ी से | धीरे | जड़ से = मूल रूप से।
Q | आम डर क्या है? | नौकरियों का खत्म होना | खर्च | शोर | यात्रा | बेरोज़गारी।
Q | प्रोफ़ेसर का रुख कैसा है? | संतुलित | शत्रुतापूर्ण | भोला | भयभीत | संतुलित।
@@
@L ग्राहक: नमस्ते, मैंने यह टोस्टर तीन हफ़्ते पहले खरीदा था और अब यह काम नहीं कर रहा। दुकानदार: क्या आपके पास रसीद है? ग्राहक: जी, यह रही। दुकानदार: तब हम इसे बदल सकते हैं या पैसे लौटा सकते हैं। ग्राहक: कृपया पैसे लौटा दीजिए।
Q | समस्या क्या है? | उपकरण काम नहीं कर रहा | बहुत महँगा है | बहुत बड़ा है | चोरी का है | खराबी।
Q | दुकानदार क्या माँगता है? | रसीद | डिब्बा | पहचान-पत्र | केवल वारंटी | रसीद।
Q | दुकानदार क्या विकल्प देता है? | बदलना या पैसे लौटाना | केवल मरम्मत | कुछ नहीं | कूपन | बदलना या वापसी।
Q | ग्राहक क्या चुनता है? | पैसे वापस | नया उपकरण | मरम्मत | कूपन | पैसे वापस।
Q | ग्राहक ने उपकरण कब खरीदा था? | तीन हफ़्ते पहले | तीन साल पहले | कल | तीन महीने पहले | तीन हफ़्ते।
@@
@L उद्घोषक: नमस्कार। रात में पूरे देश में बारिश होगी और बारह सौ मीटर से ऊपर के पहाड़ी इलाकों में बर्फ़ गिरेगी। कल सुबह कोहरा रहेगा, दिन में बादल छँटेंगे, दोपहर बाद कहीं-कहीं धूप निकलेगी और अधिकतम तापमान चौदह डिग्री के आसपास रहेगा।
Q | बर्फ़ कहाँ गिरेगी? | बारह सौ मीटर से ऊपर पहाड़ी इलाकों में | हर जगह | तट पर | कहीं नहीं | ऊँचे इलाके।
Q | कल सुबह मौसम कैसा रहेगा? | कोहरा | धूप | आँधी | गर्मी | कोहरा।
Q | दोपहर बाद क्या होगा? | कहीं-कहीं धूप निकलेगी | बर्फ़ गिरेगी | तूफ़ान आएगा | भारी बारिश होगी | कहीं-कहीं धूप।
Q | अधिकतम तापमान कितना रहेगा? | चौदह डिग्री के आसपास | चार | चौबीस | चालीस | 14 डिग्री।
Q | यह किस प्रकार का पाठ है? | मौसम का पूर्वानुमान | विज्ञापन | साक्षात्कार | लेख | पूर्वानुमान।
@@
@L छात्रा: मैं शुक्रवार तक शोध-प्रबंध जमा नहीं कर पाऊँगी। मार्गदर्शक: क्यों? छात्रा: उम्मीद से ज़्यादा स्रोत मिल गए हैं और समझ नहीं आ रहा कि उन्हें कैसे व्यवस्थित करूँ। मार्गदर्शक: यह अच्छी समस्या है। सबसे ज़रूरी तीन रख लो, हम समय-सीमा एक सप्ताह बढ़ा देंगे।
Q | छात्रा जमा क्यों नहीं कर पाएगी? | स्रोत बहुत अधिक हैं | वह बीमार है | कोई स्रोत नहीं | समय नहीं | अधिक स्रोत।
Q | मार्गदर्शक की सलाह क्या है? | तीन ज़रूरी स्रोत रखो | और खोजो | छोड़ दो | दोबारा लिखो | तीन स्रोत।
Q | समय-सीमा कितनी बढ़ेगी? | एक सप्ताह | एक महीना | एक दिन | नहीं बढ़ेगी | एक सप्ताह।
Q | मार्गदर्शक इस समस्या को क्या कहता है? | अच्छी समस्या | आपदा | असाध्य | शर्मनाक | अच्छी समस्या।
Q | मूल समय-सीमा कब थी? | शुक्रवार | सोमवार | जून | कल | शुक्रवार।
@@
@L संवाददाता: महापौर ने आज एक नए पुल के निर्माण की घोषणा की, जिस पर चालीस करोड़ रुपये खर्च होंगे। विरोधी इसे फ़िज़ूलख़र्ची बताते हैं, जबकि स्कूलों के पास पैसे की कमी है। महापौर का कहना है कि पुल पूरे क्षेत्र की अर्थव्यवस्था को गति देगा।
Q | महापौर ने क्या घोषणा की? | नए पुल के निर्माण की | पुल गिराने की | कर की | चुनाव की | पुल।
Q | पुल पर कितना खर्च होगा? | चालीस करोड़ रुपये | चार करोड़ | चार सौ करोड़ | चौदह करोड़ | 40 करोड़।
Q | विरोधी क्या कहते हैं? | स्कूलों के पास पैसा नहीं, यह फ़िज़ूलख़र्ची है | यह बदसूरत है | यह बड़ा है | योजना नहीं | फ़िज़ूलख़र्ची।
Q | महापौर का जवाब क्या है? | पुल अर्थव्यवस्था को गति देगा | वे चुप हैं | योजना रद्द | स्कूलों की बात | आर्थिक लाभ।
Q | यह किस प्रकार का पाठ है? | समाचार | कविता | विज्ञापन | पत्र | समाचार।
@@
@L माँ: पहला दिन दफ़्तर में कैसा रहा? बेटी: थकाने वाला, पर अच्छा। सब बहुत मिलनसार थे और मैनेजर ने तुरंत मुझे एक प्रोजेक्ट सौंप दिया। माँ: पहले ही दिन? बेटी: हाँ, थोड़ा डर लगा, पर इतनी ज़िम्मेदारी मिलना अच्छा लग रहा है।
