# gramatica
Q | Я давно мечтал ＿＿ такой возможности. | о | про | за | над | Мечтать о + предложный падеж.
Q | «Питать» инновации — это | поддерживать их развитие | тормозить | запрещать | скрывать | Питать = поддерживать.
@@
@R Поэт всегда избегал церемоний. Когда ему сообщили о присуждении крупной премии, он сначала принял это за шутку, потом извинился, что не сможет приехать. Вместо себя он попросил зачитать короткий текст, где особенно благодарит читателей, «тех, кто носит стихотворение с собой и тем поддерживает в нём жизнь».
Q | Как поэт отреагировал сначала? | Принял за шутку. | Обрадовался. | Отказался. | Заплакал. | Шутка.
Q | Что он сделал в день церемонии? | Попросил зачитать текст. | Приехал. | Спел. | Написал книгу. | Чтение текста.
Q | Кого он особенно поблагодарил? | читателей | жюри | семью | издателей | Читатели.
Q | Каково его отношение к церемониям? | Он их избегал. | Он их любил. | Ему было любопытно. | Он их боялся. | Избегал.
Q | «Избегать» — это | стараться не иметь дела | любить | знать | писать | Избегать.
@@
@R Правительство предложило образовательную реформу: сократить число учеников в классах в бедных районах. Учителя одобряют, но напоминают, что размер класса — не всё: без постоянной подготовки и материалов эффект будет ограниченным. Министр обещал поддержку, не назвав конкретных сроков.
Q | В чём суть реформы? | сократить число учеников в классе | увеличить каникулы | сократить уроки | ввести экзамен | Меньше учеников.
Q | Как отреагировали учителя? | Одобрили, но с оговорками. | Выступили против. | Проигнорировали. | Уволились. | Одобрение с условием.
Q | Что ещё нужно, по их мнению? | постоянная подготовка и материалы | больше учеников | меньше часов | наказания | Подготовка и материалы.
Q | Что обещал министр? | поддержку без сроков | ничего | немедленное финансирование | отставку | Поддержка без сроков.
Q | «Ограниченный» — это | имеющий пределы | безграничный | большой | быстрый | Ограниченный.
@@
@R После нескольких лет роста книжный рынок замер. Издатели ссылаются на подорожание бумаги и конкуренцию аудиокниг. Некоторые ставят на небольшие тиражи и тщательно изданные книги, на которые растёт спрос как на подарки, что позволяет говорить об осторожном оптимизме.
Q | Как обстоят дела на книжном рынке? | Он стагнирует. | Он бурно растёт. | Он исчез. | Он удвоился. | Стагнация.
Q | Что называют издатели? | подорожание бумаги и аудиокниги | телевидение | погоду | политический кризис | Бумага, аудиокниги.
Q | На что ставят некоторые? | малые тиражи и качественные издания | снижение цен | рекламу | кино | Малые тиражи.
Q | Каково итоговое настроение? | осторожный оптимизм | полный пессимизм | равнодушие | злость | Осторожный оптимизм.
Q | «Тираж» — это | количество напечатанных экземпляров | билет | лотерея | полка | Тираж.
@@
@R Яхтсменка побила рекорд одиночного пересечения океана. На вопрос о секрете она отвечает: главное — не техника, а терпение; нужно принять, что решает море, и отказаться от контроля над тем, что от тебя не зависит. Самым трудным, признаётся она, был не холод, а одиночество безветренных ночей.
Q | Какой рекорд она побила? | одиночное пересечение | скорость гонки | погружение | пешая дистанция | Одиночное.
Q | Что она ставит выше техники? | терпение | силу | удачу | деньги | Терпение.
Q | Что было самым трудным? | одиночество безветренных ночей | холод | голод | страх ветра | Одиночество.
Q | Что нужно принять? | что решает море | что нужно всё контролировать | что нужно победить | что надо сдаться | Море решает.
Q | «Отказаться от» — это | перестать держаться за | выбрать | попросить | скопировать | Отказаться.
@@
@R Спор о том, указывать ли гражданство в статистике, накалился. Сторонники видят в этом инструмент оценки дискриминации, противники опасаются злоупотреблений. Комиссия экспертов предложила компромисс: обезличенные данные, доступные только исследователям, с регулярными проверками.
Q | О чём спор? | об указании гражданства в статистике | о налогах | о школах | о пенсиях | Гражданство.
Q | Что видят сторонники? | инструмент оценки дискриминации | угрозу | издержки | политическую выгоду | Оценка дискриминации.
Q | Чего опасаются противники? | злоупотреблений | расходов | ошибок | медлительности | Злоупотребления.
Q | Что предложила комиссия? | обезличенные данные и проверки | полный запрет | открытую публикацию | отказ | Компромисс.
Q | «Накалиться» — это | стать очень острым | остыть | закончиться | начаться | Накалиться.
@@
@R Владелице ресторана пришлось закрыться на полгода. При открытии она обновила меню: блюд стало меньше, но продукты местные. Гости сначала удивились, потом привыкли к новому формату. По её словам, кризис заставил сделать то, что она откладывала годами, — упростить.
Q | На сколько закрылся ресторан? | на полгода | на два месяца | на год | на неделю | Полгода.
Q | Что она изменила? | меню | адрес | название | повара | Меню.
Q | Как отреагировали гости? | Удивились, потом привыкли. | Рассердились. | Остались равнодушными. | Ушли. | Привыкли.
Q | Что заставил сделать кризис? | упростить | расшириться | закрыться | продать | Упростить.
Q | «Откладывать» — это | переносить на потом | отвергать | притягивать | толкать | Откладывать.
@@
@R Исследователи десять лет наблюдали за группой лис, живущих на окраине города. В отличие от сельских собратьев, они почти не перемещаются, потому что корма возле жилья хватает. Численность, по всей видимости, зависит скорее от вывоза мусора, чем от зелёных зон, что заставляет пересмотреть стратегии регулирования.
Q | Сколько длилось наблюдение? | десять лет | год | два года | двадцать лет | Десять лет.
Q | Почему лисы почти не перемещаются? | Возле жилья много корма. | Они больны. | Есть заграждения. | Они спят. | Корм.
Q | От чего зависит их численность? | от вывоза мусора | от зелёных зон | от климата | от охоты | Мусор.
Q | Что заставляет пересмотреть результат? | стратегии регулирования | образование | архитектуру | туризм | Регулирование.
Q | «Окраина» — это | район на краю города | центр | село | море | Окраина.
@@
# listening
@L Журналист: Вы руководите стартапом в области солнечной энергетики. Как всё начиналось? Директор: Тяжело. Идея была хорошая, но не было капитала. Только когда инвестор поверил в нас, мы смогли нанять первых сотрудников.
Q | Чего не хватало вначале? | капитала | идеи | клиентов | офиса | Капитал.
Q | Когда они смогли нанять сотрудников? | когда инвестор поверил в них | сразу | через два года | никогда | Инвестор.
Q | Чем занимается компания? | солнечной энергетикой | компьютерами | одеждой | продуктами | Солнечная энергия.
Q | Как директор описывает начало? | тяжёлым | лёгким | скучным | весёлым | Тяжёлым.
Q | Какова роль журналиста? | задавать вопросы | продавать | инвестировать | руководить | Интервью.
@@
@L Она: Ты слышал, что поезд в Казань отменили? Он: Нет, что случилось? Она: Дерево упало на пути. Пустили запасной автобус, но он идёт почти вдвое дольше. Он: Тогда я поеду на машине.
Q | Почему отменили поезд? | На пути упало дерево. | Забастовка | Авария | Снег | Дерево.
Q | Что пустили взамен? | запасной автобус | самолёт | такси | ничего | Автобус.
Q | Сколько времени идёт автобус? | почти вдвое дольше | вдвое меньше | столько же | три дня | Вдвое.
Q | Что решает мужчина? | поехать на машине | остаться | ехать на автобусе | ждать | Машина.
Q | Куда идёт поезд? | в Казань | в Москву | в Самару | в Уфу | Казань.
@@
@L Профессор: Цифровизация в корне меняет работу. Вопреки распространённому страху, рабочие места не только исчезают: возникают и новые профессии, у которых пока нет даже названия. Поэтому важнее всего умение учиться всю жизнь.
Q | Что подчёркивает профессор? | умение учиться всю жизнь | что все профессии исчезнут | что цифровизация безвредна | что новых профессий нет | Учиться.
Q | Что возникает наряду с исчезновением мест? | новые профессии | новые школы | новые законы | новые города | Новые профессии.
Q | «В корне» — это | кардинально | поверхностно | быстро | медленно | В корне = radicalmente.
Q | Каков распространённый страх? | исчезновение рабочих мест | расходы | шум | поездки | Безработица.
Q | Позиция профессора | взвешенная | враждебная | наивная | испуганная | Взвешенная.
@@
@L Покупатель: Здравствуйте, я купил этот тостер три недели назад, и он перестал работать. Продавец: У вас есть чек? Покупатель: Да, вот. Продавец: Тогда мы можем заменить его или вернуть деньги. Покупатель: Верните деньги, пожалуйста.
Q | В чём проблема? | Прибор не работает. | Он слишком дорогой. | Он слишком большой. | Он украден. | Поломка.
Q | Что просит продавец? | чек | упаковку | паспорт | только гарантию | Чек.
Q | Какие варианты предлагает продавец? | замена или возврат денег | только ремонт | никаких | подарочная карта | Замена или возврат.
Q | Что выбирает покупатель? | возврат денег | новый прибор | ремонт | карту | Возврат.
Q | Когда куплен тостер? | три недели назад | три года назад | вчера | три месяца назад | Три недели.
@@
@L Диктор: Добрый вечер. Ночью по всей стране пройдут дожди, в горах выше тысячи двухсот метров снег. Завтра утром туман, днём облачность рассеется, после обеда местами проглянет солнце, максимальная температура около четырнадцати градусов.
Q | Где пойдёт снег? | в горах выше тысячи двухсот метров | везде | на побережье | нигде | Высокогорье.
Q | Какая погода будет утром? | туман | солнце | гроза | жара | Туман.
Q | Что будет после обеда? | местами проглянет солнце | снег | буря | сильный дождь | Солнце местами.
Q | Какова максимальная температура? | около четырнадцати градусов | четыре | двадцать четыре | сорок | 14.
Q | Что это за текст? | прогноз погоды | реклама | интервью | статья | Прогноз.
@@
@L Студентка: Я не успею сдать диплом в пятницу. Руководитель: Почему? Студентка: Нашла больше источников, чем ожидала, и не знаю, как их систематизировать. Руководитель: Это хорошая проблема. Ограничьтесь тремя главными, а срок мы продлим на неделю.
Q | Почему она не успеет? | Слишком много источников. | Она больна. | Нет источников. | Нет времени. | Много источников.
Q | Что советует руководитель? | ограничиться тремя источниками | искать ещё | отказаться | всё переписать | Три источника.
Q | На сколько продлят срок? | на неделю | на месяц | на день | не продлят | Неделя.
Q | Как руководитель называет проблему? | хорошей | катастрофой | нерешаемой | неловкой | Хорошая проблема.
Q | Когда был исходный срок? | в пятницу | в понедельник | в июне | завтра | Пятница.
@@
@L Репортёр: Мэр объявил о строительстве нового моста стоимостью сорок миллионов рублей. Противники называют это расточительством, когда школам не хватает денег. Мэр отвечает, что мост оживит экономику всего региона.
Q | О чём объявил мэр? | о строительстве моста | о сносе моста | о налоге | о выборах | Мост.
Q | Сколько стоит проект? | сорок миллионов | четыре миллиона | четыреста миллионов | четырнадцать миллионов | 40 млн.
Q | В чём упрекают проект противники? | в расточительности при нехватке денег школам | в некрасивости | в размере | в отсутствии плана | Расточительность.
Q | Что отвечает мэр? | Мост оживит экономику. | Он молчит. | Он отменяет. | Он ссылается на школы. | Экономика.
Q | Что это за текст? | новость | стихотворение | реклама | письмо | Новость.
@@
@L Мама: Как прошёл первый рабочий день? Дочь: Тяжело, но хорошо. Все были очень приветливы, а начальник сразу поручил мне свой проект. Мама: В первый же день? Дочь: Да, было немного страшно, но мне даже нравится нести такую ответственность.
Q | Как прошёл первый день? | тяжело, но хорошо | плохо | скучно | катастрофа | Тяжело, но хорошо.
Q | Что поручил начальник? | проект | отпуск | премию | увольнение | Проект.
Q | Как чувствует себя дочь? | немного страшно, но нравится | зла | грустит | равнодушна | Страх и радость.
Q | Какими были коллеги? | приветливыми | холодными | отсутствовали | строгими | Приветливые.
Q | Кто с кем разговаривает? | дочь с мамой | начальник с мамой | два коллеги | два друга | Мать и дочь.
@@
@L Врач: В целом анализы хорошие, но давление немного повышено. Советую больше двигаться и меньше соли. Через три месяца сделаем повторное обследование, и если ничего не изменится, поговорим о лекарствах.
Q | Что слегка повышено? | давление | сахар | температура | вес | Давление.
Q | Что должен делать пациент? | больше двигаться и меньше соли | принимать лекарства | ничего | лежать | Двигаться и меньше соли.
Q | Когда следующее обследование? | через три месяца | через три дня | через год | завтра | Три месяца.
Q | Когда поговорят о лекарствах? | если ничего не изменится | сразу | никогда | в следующем году | При условии.
Q | Каковы анализы в целом? | хорошие | плохие | опасные | неясные | Хорошие.
@@
@L Турагентство: Ваш рейс в Вену отменён. Мы можем переоформить билет на четверг или полностью вернуть деньги. Клиент: Четверг слишком поздно, в среду у меня встреча. Турагентство: Тогда остаётся только возврат, а другой рейс вам придётся забронировать самостоятельно.
Q | Что случилось с рейсом? | Его отменили. | Его задержали. | Его перенесли раньше. | Его продали. | Отмена.
Q | Что предлагает агентство? | переоформить или вернуть деньги | поезд | гостиницу | подарочный сертификат | Обмен или возврат.
Q | Почему четверг не подходит? | В среду у клиента встреча. | Он болен. | У него нет денег. | Он не любит летать. | Встреча.
Q | Что остаётся в итоге? | возврат денег | переоформление | сертификат | компенсация | Возврат.
Q | Куда едет клиент? | в Вену | в Берлин | в Цюрих | в Прагу | Вена.
@@
@L Тренер: В первом тайме вы сыграли хорошо, но слишком много теряли мяч. Во втором нужно быть спокойнее и лучше использовать пространство. Капитан: А если они начнут прессинговать высоко? Тренер: Тогда играем длинными передачами на фланги.
Q | Что хвалит тренер? | первый тайм | защиту | болельщиков | газон | Первый тайм.
Q | Что он критикует? | слишком много потерь мяча | мало бега | ссоры | опоздание | Потери.
Q | Что должны делать игроки? | быть спокойнее | больше бегать | прессинговать | сдаться | Спокойствие.
Q | Что делать при высоком прессинге соперника? | играть длинными передачами на фланги | отступить | заменить | остановиться | Длинные передачи.
Q | Кто задаёт вопрос? | капитан | тренер | болельщик | судья | Капитан.
@@
@L Журналист: Чем вы объясняете успех вашей партии? Министр: Мы предложили конкретные решения вместо запугивания. Журналист: Оппоненты говорят, что у вас нет плана финансирования. Министр: Это неправда. План уже опубликован, достаточно его прочитать.
Q | Чем министр объясняет успех? | конкретными решениями | удачей | деньгами | рекламой | Решения.
Q | Что говорят оппоненты? | что нет плана финансирования | что она лжёт | что коррупция | что бездействие | План.
Q | Как реагирует министр? | Опровергает. | Признаёт. | Молчит. | Уходит. | Отрицает.
Q | Тон министра | уверенный | испуганный | равнодушный | грустный | Уверенность.
Q | Что значит «уже опубликован»? | Любой может с ним ознакомиться. | Это договор. | Это книга. | Это счёт. | Открыт.
@@
@L Объявление: Уважаемые пассажиры! Из-за неисправности сигнализации скорый поезд номер пятьсот семьдесят четыре до Твери задерживается примерно на двадцать минут. Просим извинения. Пассажиров, следующих до Клина, просим воспользоваться электричкой с седьмой платформы, которая отправляется через пять минут.
Q | Почему задерживается поезд? | неисправность сигнализации | забастовка | авария | погода | Сигнализация.
Q | На сколько задерживается поезд? | примерно на двадцать минут | на два часа | на пять минут | на час | 20 минут.
Q | Куда идёт скорый поезд? | до Твери | до Клина | до Москвы | до Санкт-Петербурга | Тверь.
Q | Что делать пассажирам до Клина? | сесть на электричку с седьмой платформы | ждать | взять такси | ехать на скором | Электричка.
Q | Когда отправляется электричка? | через пять минут | через час | сейчас | никогда | Пять минут.
@@
@L Сосед: Я пришёл по поводу шума. Вчера вечером у вас гуляли до трёх часов ночи. Соседка: Простите, пожалуйста. У сына был день рождения, мы не думали, что так слышно. Сосед: Понимаю, но чтобы этого больше не было. Соседка: Конечно, мы будем внимательнее.
Q | Почему пришёл сосед? | из-за шума | из-за мусора | из-за парковки | из-за аренды | Шум.
Q | По какому поводу праздновали? | день рождения сына | свадьба | Новый год | новоселье | День рождения.
Q | Как реагирует соседка? | Извиняется. | Злится. | Отрицает. | Смеётся. | Извинения.
Q | Чего требует сосед? | чтобы это не повторилось | денег | подать в суд | переехать | Не повторять.
Q | До какого часа шумели? | до трёх | до десяти | до полуночи | до пяти | Три часа.
@@
@L Профессор: Изменение климата — не проблема будущего, а проблема настоящего. Экстремальные явления учащаются, страдает урожай, под угрозой побережья. Полностью остановить это нельзя, но каждая десятая градуса, на которую удаётся снизить потепление, заметно уменьшает последствия.
Q | Когда, по мнению профессора, проблема существует? | уже сейчас | только в будущем | никогда | через сто лет | Сейчас.
Q | Что учащается? | экстремальные явления | урожай | побережья | только дожди | Экстремальные явления.
Q | Можно ли полностью остановить процесс? | нет | да | да, на севере | возможно | Нельзя.
Q | Что уменьшает последствия? | снижение потепления даже на десятую градуса | больше машин | больше промышленности | бездействие | Снижение потепления.
Q | Тон профессора | настойчивый | весёлый | ироничный | равнодушный | Настойчивый.
@@
@L Она: Я думаю продать квартиру. Он: Правда? Ты же только что сделала ремонт. Она: Именно поэтому сейчас. Стоимость выросла, а ставки пока приемлемые. На вырученные деньги я могла бы купить что-нибудь поменьше в центре. Он: Разумно, но не торопись.
Q | Что собирается сделать женщина? | продать квартиру | снять дом | переехать без продажи | выйти замуж | Продажа.
Q | Почему именно сейчас? | Стоимость выросла. | Нужны деньги. | Она ненавидит квартиру. | Ссора. | Рост цены.
Q | Что она хочет купить? | что-нибудь поменьше в центре | дом в деревне | машину | участок | Меньше в центре.
Q | Что советует мужчина? | не торопиться | продавать сразу | ничего не делать | ждать пять лет | Не спешить.
Q | Что она недавно сделала с квартирой? | ремонт | сдала | продала | снесла | Ремонт.
@@
@L Сотрудник: Отчёт готов, но у меня сомнения по цифрам. Начальница: По каким? Сотрудник: Продажи в третьем квартале слишком высокие, я подозреваю ошибку ввода. Начальница: Тогда проверьте всё перед отправкой.
Q | Что смущает сотрудника? | цифры продаж | оформление | срок | заголовок | Цифры.
Q | Что он подозревает? | ошибку ввода | мошенничество | кражу | вирус | Ошибка ввода.
Q | Что требует начальница? | проверить до отправки | отправить сразу | уволить | переписать | Проверка.
Q | О каком квартале речь? | о третьем | о первом | о втором | о четвёртом | Третий.
Q | Каково состояние отчёта? | готов | не начат | потерян | опубликован | Готов.
@@
@L Голос: Вы позвонили на автоответчик госпожи Бергер. Меня не будет на месте до пятнадцатого мая. В срочных случаях обращайтесь к моему коллеге, господину Лангу, по внутреннему номеру четыре пять шесть семь. Я отвечу на ваше сообщение после возвращения.
Q | До какого числа её не будет? | до пятнадцатого мая | до конца мая | до завтра | до понедельника | 15 мая.
Q | К кому обращаться в срочных случаях? | к господину Лангу | к госпоже Бергер | к директору | в приёмную | Ланг.
Q | Когда она ответит? | после возвращения | сейчас | никогда | завтра | После возвращения.
Q | Что это за запись? | сообщение автоответчика | реклама | письмо | разговор | Автоответчик.
Q | Каков внутренний номер коллеги? | 4567 | 7654 | 4576 | 5467 | 4567.
@@
@L Учитель: Прежде чем начать новую тему, обсудите в группах, что вы уже знаете об устойчивом развитии. Запишите три пункта, затем каждая группа представит по одному результату. У вас десять минут.
Q | Что учащиеся делают сначала? | обсуждают в группах, что уже знают | пишут контрольную | только слушают | идут домой | Обсуждение.
Q | Сколько пунктов надо записать? | три | два | пять | десять | Три.
Q | Что будет потом? | Каждая группа представит результат. | Учитель проверит. | Перемена. | Контрольная. | Презентация.
Q | Сколько времени у учащихся? | десять минут | час | пять минут | двадцать минут | Десять минут.
Q | Какая тема? | устойчивое развитие | история | спорт | политика | Устойчивое развитие.
@@
@L Коллега А: Клиент опять пожаловался. Коллега Б: На что на этот раз? Коллега А: Говорит, что посылка пришла неполной. А мы всё упаковали по списку. Коллега Б: Может, что-то потерялось при перевозке. Позвоню в транспортную компанию.
Q | На что жалуется клиент? | что посылка неполная | на цену | на качество | на задержку | Неполная.
Q | Что говорят коллеги об упаковке? | Всё упаковано по списку. | Чего-то не хватило. | Ничего не упаковано. | Клиент лжёт. | По списку.
Q | Что предполагает коллега Б? | потерю при перевозке | мошенничество | ошибку клиента | кражу на складе | Перевозка.
Q | Что он собирается сделать? | позвонить в транспортную компанию | позвонить клиенту | вызвать полицию | уволиться | Позвонить.
Q | Сколько раз клиент уже жаловался? | не в первый раз | впервые | ни разу | редко | Опять.
@@
# writing
Q | Выберите подходящий союз: Проект дорогой, ＿＿ он окупится в долгосрочной перспективе. | однако | поэтому | кроме того | потому что | Противопоставление: однако.
Q | Выберите подходящий союз: Он не готовился, ＿＿ провалил экзамен. | следовательно | однако | тогда как | впрочем | Следствие: следовательно.
Q | Выберите подходящий союз: Поторопитесь, ＿＿ опоздаете на поезд. | иначе | следовательно | кроме того | хотя | Иначе = в противном случае.
Q | Выберите подходящий союз: Город красив, ＿＿ очень дорог. | но | поэтому | итак | ибо | Противопоставление: но.
Q | Выберите подходящий союз: ＿＿ плохую погоду, праздник состоялся. | Несмотря на | Благодаря | Из-за | Вследствие | Несмотря на + винительный: уступка.
Q | Выберите подходящий союз: Цены растут, ＿＿ зарплаты снижаются. | в то время как | поэтому | то есть | например | Противопоставление: в то время как.
Q | Выберите подходящий союз: У него большой опыт, ＿＿ он совсем молод. | хотя | поэтому | так что | потому что | Уступка: хотя.
Q | Выберите подходящее обращение в официальном письме: | Уважаемый господин Иванов! | Привет, Иванов! | Эй, Иванов! | Слушай, Иванов! | Официальное обращение.
Q | Выберите подходящее завершение официального письма: | С уважением, | Пока! | Целую! | Бывай! | Официальная концовка.
Q | Какая фраза самая вежливая? | Не могли бы вы сообщить, когда придут документы? | Скажи, когда придут документы. | Когда придут документы? | Хочу знать, когда. | Вежливая просьба.
Q | Какая фраза подходит для жалобы? | Прошу устранить недостаток в кратчайшие сроки. | Всё отлично. | Спасибо ни за что. | Мне всё равно. | Официальная жалоба.
Q | Какая фраза наиболее официальная? | Прошу рассмотреть мою кандидатуру на данную должность. | Хочу эту работу. | Возьмите меня на работу. | Дайте место. | Официальный стиль.
Q | Выберите правильный вариант: Он ＿＿ платить за проезд. | забыл | забыл о | забыл за | забыл про | Забыть + инфинитив.
Q | Выберите правильный вариант: Надо ＿＿ проезд. | оплатить | оплатить за | заплатить проезд за | платить за проездом | Оплатить + винительный (без предлога).
Q | Выберите правильный вариант: Согласно ＿＿ , собрание отложено. | приказу | приказа | приказом | приказе | Согласно + дательный.
Q | Выберите правильный вариант: Благодаря ＿＿ мы успели. | помощи | помощь | помощью | помощей | Благодаря + дательный: помощи.
Q | Выберите правильный вариант: Он ＿＿ пальто. | надел | одел | надевал бы | одел себя | «Надеть» что: надел пальто.
Q | Выберите правильный вариант: Он ＿＿ ребёнка. | одел | надел | оделся | надевал себе | «Одеть» кого: одел ребёнка.
Q | Выберите правильный вариант: Он приехал ＿＿ Москве. | в | на | к | у | Приехать в Москву (направление).
Q | Выберите правильный вариант: Он приехал ＿＿ Москвы. | из | с | от | у | Приехать из Москвы.
Q | Выберите правильный вариант: Я скучаю ＿＿ тебе. | по | о | за | к | Скучать по + дательный.
Q | Выберите правильный вариант: Я не согласен ＿＿ вами. | с | на | к | у | Не согласен с + творительный.
Q | Выберите правильный вариант: Он извинился ＿＿ ошибку. | за | о | на | по | Извиниться за + винительный.
Q | Выберите правильный вариант: Он ＿＿ на работе допоздна. | задержался | задержал | задержался бы | задерживал | Задержаться = остаться дольше.
Q | Выберите правильный вариант: Мы ＿＿ вас на праздник. | пригласили | пригласили бы | приглашали вчера | пригласят вчера | Пригласили: совершенный вид.
Q | Выберите правильный вариант: Нам нужен ＿＿ ответ. | быстрый | быстро | быстрее | быстрота | Прилагательное перед существительным.
Q | Выберите правильный вариант: Он говорит ＿＿ . | быстро | быстрый | быстрее | быстроты | Наречие.
Q | Выберите правильный вариант: Он ＿＿ лучше меня. | играет | играть | играющий | игравший | Сказуемое: играет.
Q | Выберите правильный вариант: Эта задача ＿＿ , чем та. | сложнее | сложный | сложно | сложность | Сравнительная степень.
Q | Выберите правильный вариант: Это самый ＿＿ фильм, который я видел. | интересный | интереснее | интересно | интерес | Превосходная степень.
Q | Выберите правильный вариант: Он ＿＿ в институте. | учится | учит | изучает (себя) | обучает | Учиться в институте.
Q | Выберите правильный вариант: Он ＿＿ студентов. | учит | учится | изучает | занимается | Учить кого.
Q | Выберите правильный вариант: ＿＿ ты пойдёшь? | Куда | Где | Откуда | Зачем | Направление: куда.
Q | Выберите правильный вариант: ＿＿ ты живёшь? | Где | Куда | Откуда | Когда | Местоположение: где.
Q | Выберите правильный вариант: ＿＿ ты приехал? | Откуда | Куда | Где | Почему | Откуда = из какого места.
Q | Выберите правильный вариант: Я ＿＿ его давно. | знаю | знал | буду знать | узнал | Настоящее с давностью: знаю.
Q | Выберите правильный вариант: Он ＿＿ , что опоздает. | сказал | сказать | скажите | скажи | Сказал, что...
Q | Выберите правильный вариант: Я хочу ＿＿ вам помочь. | вам | вас | вами | о вас | Помочь кому: дательный.
Q | Выберите правильный вариант: Я хочу ＿＿ мороженое. | купить | купил | куплю | покупаю | Хочу + инфинитив.
Q | Выберите правильный вариант: Он сказал ＿＿ , что придёт. | нам | нас | нами | о нас | Сказал кому: дательный.
Q | Выберите правильный вариант: Он ＿＿ мне. | поверил | поверил в | поверил о | поверил на | Поверить кому.
Q | Как правильно? Мы сдали ＿＿ . | экзамен | экзамена | экзамену | экзамене | Сдать + винительный.
Q | Как правильно? Он ＿＿ по-русски свободно. | говорит | говорить | говорящий | говоря | Сказуемое.
Q | Как правильно? У меня ＿＿ . | нет времени | не время | нет время | не времени | Нет + родительный.
Q | Как правильно? Сколько ＿＿ ? | времени | время | временем | о времени | Сколько + родительный.
Q | Как правильно? Пять ＿＿ . | часов | часа | часы | час | 5 часов.
Q | Как правильно? Три ＿＿ . | часа | часов | часы | час | 3 часа.
Q | Как правильно? Двадцать один ＿＿ . | год | года | лет | годы | 21 год.
Q | Как правильно? Ему двадцать два ＿＿ . | года | лет | год | годы | 22 года.
Q | Как правильно? Ему двадцать пять ＿＿ . | лет | года | год | годы | 25 лет.
Q | Как правильно? Оба ＿＿ пришли. | брата | братья | братов | брат | Оба + родительный единственного (м.р.).
Q | Как правильно? Обе ＿＿ пришли. | сестры | сёстры (им.) | сестёр | сестра | Обе + родительный единственного (ж.р.): сестры.
Q | Как правильно? Двое ＿＿ пришли. | студентов | студента | студенты | студент | Двое + родительный множественного.
Q | Как правильно? Трое ＿＿ пришли. | детей | ребёнка | дети | ребёнок | Трое + родительный множественного.
Q | Как правильно? Мы ＿＿ вместе. | работаем | работать | работая | работавшие | Сказуемое: работаем.
Q | Как правильно? Он ＿＿ работу, потому что устал. | бросил | бросать | бросив | бросающий | Совершенный вид: бросил.
Q | Как правильно? Она ＿＿ к нам вчера. | приходила | приходит | придёт | приходя | Прошедшее.
Q | Как правильно? Мы ＿＿ к вам завтра. | придём | приходили | приходим вчера | пришли вчера | Будущее совершенное: придём.
Q | Как правильно? Он ＿＿ , когда мы вошли. | спал | спит | поспит | заснёт | Одновременность в прошлом: спал.
Q | Как правильно? Она ＿＿ , что не знает ответа. | сказала | скажет вчера | говорит вчера | сказали | Сказала, что...
Q | Как правильно? Как ＿＿ зовут? | вас | вам | вы | вами | Как вас зовут?
Q | Как правильно? Это ＿＿ книга. | моя | мой | мою | мои | Согласование с ж.р.
Q | Как правильно? Это ＿＿ дом. | мой | моя | мою | мои | Согласование с м.р.
Q | Как правильно? Она взяла ＿＿ сумку. | свою | свой | своя | своё | Возвратное притяжательное: свою.
Q | Как правильно? Он взял ＿＿ сумку. (чужую) | её | свою | своя | ей | Притяжательное: её.
Q | Как правильно? Он потерял ＿＿ ключ. | свой | своя | свою | своё | Возвратное притяжательное.
Q | Выберите правильный вариант: Он ＿＿ на лекцию. | опоздал | опоздали | опоздала | опоздало | Согласование по роду.
Q | Выберите правильный вариант: Мы ＿＿ с ним в Москве. | встретились | встретил | встретилась | встретилось | Возвратный глагол во мн. числе.
Q | Выберите правильный вариант: Она ＿＿ на пианино. | играет | играть | играя | играющий | Играть на + предложный.
Q | Выберите правильный вариант: Они ＿＿ друг друга. | любят | любит | любить | любя | Согласование с подлежащим во мн. числе.
Q | Выберите правильный вариант: Я ＿＿ в этом городе десять лет. | живу | жил бы | буду жить вчера | жить | Действие, продолжающееся до настоящего: живу.
Q | Выберите правильный вариант: Мы ＿＿ с друзьями на даче. | отдыхали | отдыхал | отдыхала | отдыхало | Согласование по числу.
Q | Выберите правильный вариант: Всё ＿＿ хорошо. | будет | будут | буду | будешь | Всё + будет.
Q | Выберите правильный вариант: Как ＿＿ ваша фамилия? | пишется | пишет | пишут | писать | Возвратный глагол: пишется.
Q | Выберите правильный вариант: Сколько ＿＿ стоит этот билет? | стоит | стоят | стоил | стоить | Сколько стоит (ед. число).
# speaking
Q | Вы не расслышали. Как вежливо попросить повторить? | Извините, не могли бы вы повторить, пожалуйста? | Что? | Повтори! | Ещё раз! | Вежливая просьба.
Q | Коллега вас благодарит. Что уместно ответить? | Не за что, рад был помочь. | И вас тоже спасибо вам. | Не говорите спасибо. | Не надо про это. | Естественный ответ.
Q | Вы хотите вежливо возразить. Что скажете? | Я понимаю вашу точку зрения, но данные говорят о другом. | Вы неправы. | Чепуха. | Это бред. | Вежливое возражение.
Q | Вы хотите вежливо перебить. Что скажете? | Извините, что перебиваю, можно я добавлю? | Замолчи. | Теперь я скажу. | Хватит. | Вежливое вмешательство.
Q | Вам нужно отказаться от приглашения. Что скажете? | Спасибо за приглашение, но, к сожалению, у меня уже есть планы. | Нет. | Не хочу. | Я не приду, пока. | Вежливый отказ.
