# gramatica
Q | Not until the report was published ＿＿ the extent of the damage. | did we realise | we realised | we did realise | realised we | Tras "Not until" al inicio se invierte auxiliar + sujeto: did we realise.
Q | The director's attitude to the critics is | dismissive | fearful | grateful | confused | Descarta su objeción.
@@
@R Public libraries are not merely warehouses of books; increasingly they function as informal welfare hubs. Staff help people fill in benefit forms, offer warm rooms in winter and quietly connect isolated readers with local services. Funding cuts, however, have forced many branches to reduce hours. Campaigners warn that the savings are illusory: every library closed shifts costs to health and social services that are harder to measure and slower to complain.
Q | What role do libraries increasingly play? | informal welfare hubs | private bookshops | tourist offices | schools | Actúan como centros de apoyo social.
Q | What have funding cuts caused? | reduced opening hours | more staff | new branches | free books | Se redujeron horarios.
Q | Why do campaigners call the savings 'illusory'? | costs move to other services | libraries earn more | staff work harder | books are cheaper | Los costes se trasladan a otros servicios.
Q | 'Quietly' in the passage suggests staff act | without fuss | silently in libraries only | reluctantly | for pay | Sin hacer ruido ni publicidad.
Q | Health and social services are described as | slow to complain | eager to help | wasteful | closed | Más lentos en quejarse.
@@
@R The tortoise, so often a symbol of slowness, has recently become a symbol of resilience. Long-term studies of one island population show that individuals survive droughts by drastically reducing activity, storing water in their bodies and waiting. Biologists caution against romanticising this strategy: it works only where habitat remains intact. Once fences and roads fragment the landscape, waiting is no longer an option, because the water sources lie beyond reach.
Q | What has the tortoise recently come to symbolise? | resilience | speed | fragility | aggression | De lentitud pasó a resiliencia.
Q | How do tortoises survive droughts? | by reducing activity | by migrating | by digging wells | by eating more | Reducen la actividad y guardan agua.
Q | Why do biologists caution against romanticising the strategy? | It only works in intact habitat. | It is dangerous. | It is too slow. | Nobody has observed it. | Requiere hábitat intacto.
Q | 'Fragment' as used in the text means | break into pieces | protect | build | connect | Fragment = fragmentar.
Q | What makes waiting impossible? | water is out of reach | there is no drought | tortoises are fast | fences are absent | Las fuentes de agua quedan fuera de alcance.
@@
@R Innovation is usually pictured as the flash of a lone genius. Historians of science tend to disagree. Most breakthroughs, they argue, emerge from networks: rival labs publish partial results, instrument makers refine tools, and journalists spread ideas across disciplinary boundaries. The 'genius' narrative persists because it is easier to tell, not because it is true, and it flatters prizes that can be awarded only to individuals.
Q | What do historians of science argue? | Breakthroughs come from networks. | Geniuses are essential. | Prizes are fair. | Journalists slow progress. | Las innovaciones surgen de redes.
Q | Why does the 'genius' narrative persist, according to the writer? | It is easier to tell. | It is accurate. | Historians support it. | It is new. | Es más fácil de contar.
Q | The writer's attitude to prizes is | mildly critical | enthusiastic | neutral | admiring | Sugiere que el relato halaga premios individuales.
Q | 'Flatters' in this context means | benefits by suggesting worth | insults | delays | confuses | Flatter = halagar / favorecer.
Q | Which group is NOT mentioned as contributing? | politicians | instrument makers | journalists | rival labs | Los políticos no se mencionan.
@@
@R The proposal to ban cars from the city centre has divided opinion. Shopkeepers fear that customers will stay away, yet evidence from other cities is encouraging: footfall generally rises once streets become pleasant to linger in. Residents worry chiefly about access for the elderly and disabled. The council has responded by promising a shuttle service, though sceptics note that similar promises elsewhere were quietly dropped when budgets tightened.
Q | What do shopkeepers fear? | Customers will stay away. | Rents will rise. | Cars will return. | Shuttles will fail. | Temen que los clientes no vayan.
Q | What does evidence from other cities suggest? | More people visit. | Sales fall. | Traffic worsens. | Residents leave. | El tránsito peatonal suele subir.
Q | What are residents mainly concerned about? | access for the elderly and disabled | noise | pollution | parking fees | Acceso para mayores y personas con discapacidad.
Q | Sceptics doubt the shuttle because | earlier promises were dropped | it is expensive | it is slow | nobody wants it | Promesas similares se abandonaron.
Q | 'Footfall' refers to | number of visitors on foot | shoe sales | noise level | pavement quality | Footfall = afluencia de peatones.
@@
@R Learning a language as an adult is often framed as a race against a closing window. But recent research complicates the picture. While children typically acquire native-like pronunciation, adults are quicker at grasping grammatical rules and can outperform children in the first year. What adults lack is not aptitude but time: hours of immersion, unstructured and free of embarrassment, that children accumulate without noticing.
Q | What does the research suggest about adult learners? | They learn rules faster at first. | They cannot learn pronunciation. | They are slower in all respects. | They lack aptitude. | Adultos captan reglas más rápido.
Q | What do adults lack, according to the passage? | hours of immersion | ability | motivation | teachers | Les falta tiempo de inmersión.
Q | The 'closing window' metaphor refers to | a limited age for learning | a school schedule | a job market | a dictionary | Ventana de aprendizaje que se cierra.
Q | Children typically acquire | native-like pronunciation | grammar faster than adults | fewer words | rules explicitly | Pronunciación nativa.
Q | 'Complicates the picture' means | makes it less simple | clarifies it | changes it entirely | confirms it | Complicar el cuadro = matizarlo.
@@
@R In its first year, the scheme offering free breakfasts in primary schools was judged a success by nearly everyone. Attendance rose, and teachers reported calmer mornings. Then a rigorous evaluation appeared, and the picture grew murkier: test scores had not improved, and the attendance gains were concentrated in a handful of schools. Supporters responded that breakfast was never meant to raise scores, and that measuring it against that yardstick was unfair.
Q | What did the rigorous evaluation find? | No improvement in test scores | Big gains in scores | Lower attendance | Higher costs | No mejoraron las notas.
Q | How did supporters respond? | The scheme was not intended to raise scores. | They rejected attendance data. | They cancelled the scheme. | They blamed teachers. | Dijeron que no era su objetivo.
Q | 'Murkier' means | less clear | cleaner | more positive | shorter | Murky = turbio, poco claro.
Q | Attendance gains were | concentrated in a few schools | universal | negative | irrelevant | Concentradas en pocas escuelas.
Q | The word 'yardstick' refers to | a standard of measurement | a playground | a length of time | an evaluator | Yardstick = criterio de medida.
@@
@R Few professions have changed as swiftly as translation. Machine systems now produce fluent drafts in seconds, and many predicted the end of the human translator. Instead, demand has shifted: routine documents are machine-produced, while human experts are hired to check nuance, adapt tone and take legal responsibility for the result. Whether the profession will be reduced to editing machine output, or elevated into a consultancy role, remains an open question.
Q | How has demand for human translators changed? | It has shifted to checking and adapting. | It has disappeared. | It has doubled. | It is unchanged. | Ahora revisan matices y asumen responsabilidad.
Q | What is 'an open question'? | whether translators will edit or consult | whether machines are fluent | whether documents exist | whether tone matters | Aún no se sabe el destino de la profesión.
Q | Who takes legal responsibility now? | human experts | machines | clients | nobody | Los expertos humanos.
Q | 'Fluent drafts' are produced by | machine systems | translators | clients | editors | Sistemas automáticos.
Q | The writer's prediction is | uncertain | pessimistic | optimistic | dismissive | Presenta una cuestión abierta.
@@
@R The author's memoir avoids the usual arc of triumph over adversity. Instead of a neat lesson, it offers fragments: a childhood in a cramped flat, a failed first marriage, a decade of bureaucratic jobs. Reviewers have divided over whether this reticence is a strength or a failing. To this reader, the withholding is the point; the book trusts us to supply the meaning that lesser memoirs spell out.
Q | What is unusual about the memoir? | It avoids a triumphant story arc. | It is very long. | It is full of lessons. | It is fictional. | Evita el arco de superación.
Q | What is the reviewer's own opinion of the book's reticence? | It is a strength. | It is a failing. | It is irrelevant. | It is unclear. | El reseñista cree que la reticencia es el punto.
Q | 'Spell out' means | explain explicitly | write letter by letter | ignore | hide | Spell out = explicar claramente.
Q | The book assumes the reader can | supply the meaning | write a memoir | ignore fragments | predict endings | Confía en el lector.
Q | Reviewers | disagreed | all praised it | all criticised it | ignored it | Se dividieron.
@@
@R A recent audit found that a majority of the charity's donations were spent on fundraising rather than on its stated cause. The chief executive insisted that this was a necessary investment: without sustained advertising, the flow of donations would dry up. Critics, however, note that the same executive received a substantial bonus, and argue that the charity's accounts are structured to obscure how the money is really used.
Q | What did the audit reveal? | Most funds went on fundraising. | Donations increased. | The charity closed. | Fundraising failed. | La mayoría se gastó en recaudar fondos.
Q | The chief executive's justification is that | advertising sustains donations | donors are foolish | the audit is wrong | costs are low | Es una inversión necesaria.
Q | What do critics allege about the accounts? | They hide how money is used. | They are accurate. | They are missing. | They are public. | Ocultarían el uso real del dinero.
Q | The executive's bonus is mentioned to suggest | a possible conflict of interest | fairness | poverty | generosity | Insinúa conflicto de interés.
Q | 'Dry up' means | stop | increase | change | float | Dry up = agotarse.
@@
@R By the time the expedition reached the ridge, the weather had already turned. Visibility fell to a few metres, and the wind erased their footprints almost as soon as they made them. The leader, who had crossed the range twice before, reckoned they could still make the summit; her deputy argued for turning back. In the end, she yielded, later saying that the hardest decision in the mountains is the one that feels like failure.
Q | What did the leader initially think? | They could reach the summit. | They should return. | They were lost. | The weather was improving. | Creía poder alcanzar la cumbre.
Q | Who wanted to turn back? | her deputy | the leader | a guide | nobody | El segundo al mando.
Q | 'Yielded' means | gave way | won | argued | left | Yield = ceder.
Q | The leader's final remark suggests that | turning back takes courage | summits are easy | deputies are wrong | weather is predictable | La decisión más difícil parece un fracaso.
Q | What happened to their footprints? | The wind erased them. | Snow preserved them. | They followed them. | They marked them. | El viento las borraba.
@@
@R It is tempting to see the decline of handwriting as a straightforward loss. Yet cognitive scientists remind us that writing has always adapted to its tools; the move from quill to ballpoint provoked similar lament. What matters, they suggest, is not the instrument but the depth of attention it encourages. Preliminary studies indicate that students taking notes by hand process material more deeply, though the effect appears to diminish once typists learn to paraphrase rather than transcribe.
Q | What do cognitive scientists remind us? | Writing has always adapted to tools. | Handwriting is superior. | Quills were better. | Typing is harmful. | Escribir siempre se adaptó a sus herramientas.
Q | What matters most, according to the passage? | the depth of attention encouraged | the speed of writing | the price of tools | the quality of paper | Profundidad de atención.
Q | The advantage of handwriting may disappear when typists | paraphrase rather than transcribe | use faster keyboards | take fewer notes | type in silence | Al parafrasear en lugar de transcribir.
Q | 'Lament' means | expression of regret | celebration | invention | rule | Lament = lamento.
Q | The writer's stance on handwriting's decline is | nuanced | alarmed | approving | dismissive | Matizada.
@@
@R Coastal erosion is not a new problem, but the pace has quickened. Homeowners on the eastern shore, some of whom have watched their gardens vanish over the cliff edge, are asking who should pay for defences. The government insists that individuals must bear the risk of living by the sea; residents reply that decades of planning permission, granted by that same government, implied otherwise. A compensation scheme, if introduced, would set a precedent with enormous consequences.
Q | What is new about coastal erosion? | its speed | its existence | its location | its cause | El ritmo se ha acelerado.
Q | The government's position is that | homeowners bear the risk | it will build defences | erosion is not real | compensation is due | Los individuos asumen el riesgo.
Q | Residents argue that | planning permission implied safety | erosion is exaggerated | gardens are cheap | they moved recently | Los permisos otorgados sugerían lo contrario.
Q | A compensation scheme would | set a precedent | end erosion | be cheap | be illegal | Sentaría un precedente.
Q | 'Vanish' means | disappear | grow | change colour | be sold | Vanish = desaparecer.
@@
@R In recent years, the word 'authentic' has become ubiquitous in marketing, attached to everything from coffee to holiday destinations. Yet authenticity, by definition, resists being manufactured. The more relentlessly it is advertised, the more suspicious consumers become, which explains why some brands now emphasise imperfection: the slightly crooked label, the deliberately unpolished video. Whether this is honesty or merely a subtler form of polish is a question the consumer must judge alone.
Q | Why do brands emphasise imperfection? | Consumers distrust over-advertised authenticity. | Costs are lower. | Laws require it. | Designers prefer it. | Buscan parecer auténticos.
Q | 'Ubiquitous' means | found everywhere | rare | expensive | misleading | Ubiquitous = omnipresente.
Q | The writer's view of 'manufactured authenticity' is | sceptical | admiring | neutral | enthusiastic | Sostiene que la autenticidad resiste ser fabricada.
Q | Who decides whether imperfection is honest? | the consumer | the brand | the law | the designer | El consumidor.
Q | 'A subtler form of polish' suggests the imperfection may be | another kind of refinement | truly accidental | cheaper | illegal | Podría ser un pulido más sutil.
@@
@R The trial ended not with a dramatic confession but with a slow accumulation of doubt. Each witness, when cross-examined, retreated slightly from their earlier certainty, until the prosecution's case resembled a structure whose supports had been quietly removed. The verdict, when it came, surprised nobody in the courtroom, least of all the accused, who had spent the final day studying the ceiling.
Q | How did the trial end? | with mounting doubt | with a confession | with a surprise witness | with a riot | Con acumulación de dudas.
Q | Witnesses under cross-examination | became less certain | became angry | were dismissed | repeated their claims | Retrocedieron respecto a su certeza.
Q | The metaphor of the structure suggests the prosecution's case | lost its foundations | was solid | was expensive | was new | Perdió sus soportes.
Q | The accused's behaviour suggests | he expected the verdict | he was furious | he was confused | he was guilty | Estudiar el techo indica que esperaba el veredicto.
Q | 'Least of all' means | especially not | partly | perhaps | first | Least of all = y menos que nadie.
@@
# listening
@L Presenter: Today's guest is Dr Karen Ellis, who studies commuting habits. Dr Ellis: Thanks. What surprised us was that people with longer journeys were not unhappier, provided they could choose their route and time. It's the lack of control, not the distance, that hurts.
Q | What does Dr Ellis say made commuters unhappy? | lack of control | long distance | high cost | noise | La falta de control, no la distancia.
Q | What surprised the researchers? | Longer journeys did not make people unhappier. | Everyone hated commuting. | Short journeys were stressful. | Routes were fixed. | Trayectos largos no implicaban infelicidad.
Q | Dr Ellis's job is to | study commuting | present a show | plan routes | drive buses | Estudia hábitos de desplazamiento.
Q | The condition for long journeys not to cause unhappiness is | being able to choose route and time | being paid more | travelling alone | using public transport | Poder elegir ruta y hora.
Q | The speaker's tone is | informative | angry | bored | sarcastic | Informativo.
@@
@L Man: I thought the lecture on tidal energy was fascinating, though a bit optimistic. Woman: Optimistic? He admitted that the turbines wear out quickly in salt water. Man: True, but he also said maintenance costs have fallen by a third. Woman: Only in the pilot site, though. Nobody knows if that will hold on a larger scale.
Q | What did the man think of the lecture? | fascinating but optimistic | boring | incorrect | too technical | Fascinante aunque algo optimista.
Q | Which problem did the lecturer admit? | turbines wear out quickly | the sea is too calm | energy is too cheap | there are no sites | Se desgastan rápido en agua salada.
Q | What does the woman doubt? | that lower costs will last at scale | that turbines exist | that energy is needed | that the lecture happened | Duda que se mantenga a escala mayor.
Q | Maintenance costs have | fallen by a third | doubled | stayed the same | disappeared | Bajaron un tercio.
Q | The woman's attitude is | sceptical | enthusiastic | uninterested | amused | Escéptica.
@@
@L Announcer: Passengers for the 14:20 to Manchester are advised that the service has been delayed by approximately forty minutes owing to a signalling fault at Crewe. Alternatively, passengers may travel on the 14:35 via Stoke, which will call at all stations and arrive at 16:50. Tickets remain valid on both services.
Q | Why is the 14:20 delayed? | a signalling fault | bad weather | a strike | an accident | Fallo de señalización.
Q | How long is the delay? | about forty minutes | four hours | ten minutes | one hour | Unos cuarenta minutos.
Q | What is the alternative? | the 14:35 via Stoke | a bus | a taxi | tomorrow's train | El 14:35 por Stoke.
Q | The alternative train | stops at every station | is faster | is cancelled | needs new tickets | Para en todas las estaciones.
Q | Passengers' tickets | remain valid on both trains | must be exchanged | are cancelled | cost extra | Siguen siendo válidos.
@@
@L Interviewer: You gave up a stable career to start a bakery. Any regrets? Baker: Not one. Well, that's not quite true. I regret not doing it ten years earlier. The first year was brutal, I slept four hours a night, but once the regulars started coming, I knew I'd made the right call.
Q | What does the baker regret? | not starting sooner | leaving her career | the bakery's location | her staff | No haberlo hecho diez años antes.
Q | What was the first year like? | very hard | easy | profitable | relaxed | Brutal, dormía cuatro horas.
Q | What convinced her she was right? | regular customers | good reviews | a loan | a prize | Los clientes habituales.
Q | 'The right call' means | the correct decision | a phone call | a job offer | a loud shout | Make the right call = tomar la decisión correcta.
Q | Before the bakery, she had | a stable career | no job | a restaurant | a farm | Una carrera estable.
@@
@L Tutor: Your essay has a strong argument, but the structure needs work. You state your conclusion in the second paragraph, which leaves the rest with nowhere to go. Student: I thought that would grab the reader. Tutor: It might in journalism. In academic writing, readers expect the case to build. Try moving it to the end and see how it reads.
Q | What is the main problem with the essay? | the conclusion is placed too early | the argument is weak | it is too long | it has no sources | La conclusión está en el segundo párrafo.
Q | What did the student hope to achieve? | to grab the reader | to save time | to impress the tutor | to shorten the essay | Quería captar al lector.
Q | The tutor says the approach works better in | journalism | science | poetry | law | Podría servir en periodismo.
Q | What does the tutor suggest? | move the conclusion to the end | delete a paragraph | add sources | start again | Trasladarla al final.
Q | The tutor's comment on the argument is | it is strong | it is unclear | it is wrong | it is unoriginal | Tiene un argumento sólido.
@@
@L Estate agent: The flat is on the third floor, with a small balcony. There's no lift, I'm afraid, but the price reflects that. Client: How much is the service charge? Agent: One hundred and twenty a month, which includes heating. Client: And parking? Agent: There's a permit scheme, but spaces are limited.
Q | What is a disadvantage of the flat? | no lift | no balcony | no heating | high price | No hay ascensor.
Q | What does the service charge include? | heating | parking | water only | repairs to the balcony | Incluye la calefacción.
Q | How much is the service charge? | 120 a month | 12 a month | 210 a month | 100 a year | Ciento veinte al mes.
Q | What is said about parking? | spaces are limited | it is free | there is none | it is included | Plazas limitadas.
Q | The flat is on the | third floor | ground floor | first floor | tenth floor | Tercer piso.
@@
@L Presenter: Reports suggest that the mayor will announce her resignation tomorrow. Correspondent: That's right. Sources close to her say she has grown frustrated with the council's refusal to back her transport plan. However, she has not confirmed anything, and her office has declined to comment.
Q | What is expected to happen tomorrow? | the mayor will resign | the mayor will be elected | a plan will pass | a strike will begin | Se espera su renuncia.
Q | Why is she frustrated? | the council refuses to back her plan | she is ill | she lost an election | the press criticised her | El consejo no respalda su plan de transporte.
Q | The mayor has | not confirmed anything | confirmed it | denied it | resigned already | No ha confirmado nada.
Q | Her office | declined to comment | issued a statement | denied the reports | is closed | Se negó a comentar.
Q | The information comes from | sources close to her | an official statement | a court | a poll | Fuentes cercanas.
@@
@L Guide: If you look to your left, you'll see the oldest bridge in the city. Built in 1412, it originally had shops along both sides, though only a handful survive. Tourist: Why did they close the rest? Guide: A fire in the eighteenth century destroyed most of them, and the authorities decided not to rebuild.
Q | When was the bridge built? | 1412 | 1812 | 1712 | 1512 | Construido en 1412.
Q | What did the bridge originally have? | shops on both sides | a tower | a toll | a market | Tenía tiendas a ambos lados.
Q | Why did most shops disappear? | a fire | war | flooding | rent | Un incendio del siglo XVIII.
Q | The authorities | decided not to rebuild | rebuilt everything | sold the bridge | closed the bridge | No reconstruyeron.
Q | The tourist wants to know | why shops closed | who built it | how old it is | where to eat | Pregunta por qué se cerraron.
@@
@L Woman: I don't understand why he turned down the promotion. Man: Apparently it meant relocating, and his wife's just started her own business here. Woman: Surely a pay rise would have covered that. Man: Not if you ask him; he says some things aren't for sale.
Q | Why did he refuse the promotion? | It required moving away. | The pay was low. | He disliked the job. | He was fired. | Implicaba mudarse.
Q | What has his wife done recently? | started a business | changed jobs | retired | moved abroad | Empezó su propio negocio.
Q | What does the woman think? | Money would solve the problem. | He was right. | He is lazy. | The wife is wrong. | Cree que el aumento lo compensaría.
Q | 'Some things aren't for sale' means | some values cannot be bought | he is poor | the business is closed | he sells houses | Hay cosas que el dinero no compra.
Q | The man reports the story | second-hand | as a witness | as the boss | as a joke | Repite lo que sabe por terceros (apparently).
@@
@L Professor: Turning to the causes of the financial crisis, it would be a mistake to look for a single culprit. Lax lending, complex products and slack regulation each contributed, but none alone would have caused the collapse. It was their interaction that proved catastrophic.
Q | What is the professor's main message? | The crisis had several interacting causes. | One bank was to blame. | Regulation was perfect. | The crisis was avoidable by lending. | Ninguna causa por sí sola.
Q | 'Lax' means | not strict | too strict | inefficient | illegal | Lax = laxo.
Q | Which factor is NOT mentioned? | rising unemployment | lax lending | complex products | slack regulation | El desempleo no se cita.
Q | 'Culprit' means | person or thing to blame | victim | customer | investor | Culprit = culpable.
Q | The collapse was caused by | the interaction of factors | one factor | luck | regulation only | Su interacción fue catastrófica.
@@
@L Neighbour: I hate to complain, but the music last night went on until three. Student: I'm so sorry, I had no idea it carried that far. Neighbour: It wasn't just the volume; it was the bass. It came through the floor. Student: Understood. I'll keep it down after eleven from now on.
Q | What is the neighbour's complaint? | loud music late at night | a broken pipe | parking | a dog | Música alta hasta las tres.
Q | What bothered the neighbour most? | the bass through the floor | the lyrics | the guests | the smell | El bajo atravesaba el suelo.
Q | The student promises to | keep it down after eleven | move out | stop playing music | apologise in writing | Bajará el volumen tras las once.
Q | The student's reaction is | apologetic | defensive | angry | indifferent | Se disculpa.
Q | The neighbour begins by saying | I hate to complain | You're disturbing me | I'm calling the police | I'm moving | Introduce con cortesía.
@@
@L Reporter: The festival has drawn record crowds this year, but organisers admit that queues have been a problem. Organiser: We underestimated demand. Next year we'll add gates and sell timed tickets, which should spread arrivals through the day.
Q | What problem did the festival have? | long queues | no crowds | bad weather | theft | Colas largas.
Q | What did the organiser admit? | They underestimated demand. | They overbooked. | They lost money. | They cancelled acts. | Subestimaron la demanda.
Q | What is planned for next year? | timed tickets and more gates | fewer visitors | higher prices | a new venue | Entradas con horario y más accesos.
Q | Timed tickets should | spread arrivals through the day | reduce prices | end the festival early | raise attendance | Distribuir llegadas.
Q | This year's crowds were | a record | small | average | banned | Récord de público.
@@
@L Doctor: The scan shows no sign of a fracture, so I don't think we need to operate. Patient: That's a relief. Will I be able to play in the final? Doctor: I'd advise against it. Two weeks of rest, then gentle exercise. If you push it, you risk turning a minor sprain into something chronic.
Q | What does the scan show? | no fracture | a fracture | a tumour | nothing | No hay fractura.
Q | What does the doctor advise? | two weeks of rest | surgery | playing in the final | no exercise ever | Dos semanas de descanso.
Q | What risk does the doctor mention? | the injury becoming chronic | infection | a fracture | losing the match | Podría volverse crónica.
Q | The patient feels | relieved | angry | worried | bored | Alivio.
Q | The patient wants to | play in the final | quit sport | change doctors | rest longer | Quiere jugar la final.
@@
@L Customer: I ordered this laptop two weeks ago and it still hasn't arrived. Assistant: I do apologise. Let me check. It seems it was dispatched to an old address. Customer: I updated my details before ordering! Assistant: I can see that you did. That's our error. I'll arrange express delivery at no charge.
Q | What went wrong? | The laptop was sent to an old address. | The laptop was faulty. | The order was cancelled. | Payment failed. | Enviado a dirección antigua.
Q | Who is at fault? | the company | the customer | the courier | nobody | El asistente admite el error.
Q | What is offered? | express delivery at no charge | a refund only | a discount | a new laptop | Envío exprés gratuito.
Q | How long has the customer waited? | two weeks | two days | two months | one week | Dos semanas.
Q | The customer's tone is | annoyed | delighted | confused | calm | Molesto.
@@
@L Lecturer: The term 'sustainable' is used so freely that it has almost lost its meaning. In its strict sense, a practice is sustainable only if it could continue indefinitely without depleting the resources it depends on. By that standard, remarkably few of the activities called sustainable would qualify.
Q | What does the lecturer say about the term 'sustainable'? | It is overused and vague. | It is precise. | It is new. | It is legal. | Se usa tanto que casi pierde sentido.
Q | By the strict definition, a sustainable practice | could continue without depleting resources | is profitable | is popular | is legal | Podría continuar indefinidamente.
Q | Few activities called sustainable | would qualify | are green | are illegal | are new | Muy pocas cumplen.
Q | 'Depleting' means | using up | protecting | measuring | creating | Deplete = agotar.
Q | The lecturer's attitude is | critical | admiring | neutral | amused | Crítica.
@@
@L Coach: You've got the strength, but your timing's off. You keep jumping too early, which costs you distance. Athlete: I can feel it, but I can't correct it. Coach: That's because you're thinking about it. Trust your body; we'll drill the run-up until it's automatic.
Q | What is the athlete's problem? | jumping too early | lack of strength | injury | fear | Salta demasiado pronto.
Q | What does the coach say about her strength? | It is sufficient. | It is lacking. | It is excessive. | It is irrelevant. | Tiene fuerza.
Q | Why can't the athlete correct it? | She is thinking about it. | She is tired. | The track is wet. | She is injured. | Piensa demasiado.
Q | The coach's solution is | to drill the run-up | to rest | to change events | to lift weights | Practicar la carrera de impulso.
Q | The consequence of the timing error is | less distance | injury | disqualification | fatigue | Pierde distancia.
@@
@L Presenter: Our next caller is Maria, who says she was turned away from a restaurant because of her dog. Maria: It's a registered assistance dog, and the owner said dogs weren't allowed. Presenter: But that's against the law, isn't it? Maria: Exactly, and he only backed down when I mentioned it.
Q | Why was Maria refused entry? | because of her dog | because she was late | because of her clothes | because of no booking | Por su perro.
Q | What kind of dog is it? | a registered assistance dog | a pet | a guard dog | a puppy | Perro de asistencia registrado.
Q | The presenter says that refusing entry is | illegal | rude | normal | unusual | Es ilegal.
Q | The owner changed his mind when | Maria mentioned the law | police arrived | Maria left | she paid | Se echó atrás al oírlo.
Q | Maria's tone is | indignant | amused | fearful | bored | Indignada.
@@
@L Man: I've been offered a job in Singapore. Woman: That's huge! Are you going to take it? Man: I'm torn. The salary is double, but I'd be leaving my parents just when my father's health is failing. Woman: Whatever you decide, don't do it out of guilt, or you'll resent it later.
Q | What is the man's dilemma? | a better job versus family | two job offers | money versus health | city versus village | Trabajo mejor vs. padres.
Q | How does the salary compare? | It would be doubled. | It would be halved. | It would be the same. | It is unknown. | Doble salario.
Q | The woman advises him | not to decide out of guilt | to accept | to refuse | to wait a year | No decidir por culpa.
Q | 'I'm torn' means | I can't decide | I'm angry | I'm tired | I'm injured | Estar dividido.
Q | The father's health is | failing | improving | perfect | unknown | Empeora.
@@
@L Museum guide: Please note that photography is permitted in the main galleries but not in the special exhibition. Flash is never allowed. Bags larger than a small rucksack must be left in the cloakroom, which is free of charge, and the last entry is thirty minutes before closing.
Q | Where is photography prohibited? | in the special exhibition | in the main galleries | in the cloakroom | everywhere | En la exposición especial.
Q | What is never allowed? | flash | phones | notebooks | children | Nunca se permite el flash.
Q | Large bags must | be left in the cloakroom | be carried | be opened | be paid for | Se dejan en el guardarropa.
Q | The cloakroom is | free | expensive | closed | for staff | Gratuito.
Q | Last entry is | thirty minutes before closing | at closing | an hour after opening | at noon | Treinta minutos antes.
@@
@L Journalist: Critics say the reform will widen inequality. Minister: I'd say the opposite. By tying benefits to retraining, we're giving people a route out of dependency. Journalist: And those unable to retrain? Minister: They'll be protected. But let's not pretend the current system is working; it isn't.
Q | What do critics say about the reform? | It will widen inequality. | It will reduce taxes. | It will help the poor. | It is illegal. | Amplía la desigualdad.
Q | What does the minister link benefits to? | retraining | age | employment history | location | Requalificación.
Q | Who will be protected? | people unable to retrain | everyone | the minister | employers | Quienes no pueden reciclarse.
Q | The minister's opinion of the current system is | it is not working | it is excellent | it is fair | it is cheap | Dice que no funciona.
Q | The minister's tone is | firm | apologetic | uncertain | joking | Firme.
@@
# writing
Q | Choose the best linking word: The plan is ambitious; ＿＿, it is achievable. | nevertheless | therefore | for instance | meanwhile | Nevertheless introduce contraste: ambicioso pero alcanzable.
Q | Choose the best linking word: Sales fell sharply. ＿＿, the company announced job cuts. | Consequently | Nonetheless | Likewise | Otherwise | Consequently indica resultado.
Q | Choose the best linking word: Some argue that tax rises are unavoidable; ＿＿, others favour spending cuts. | conversely | thus | in addition | hence | Conversely marca contraste entre posturas.
Q | Choose the best linking word: The device is cheap. ＿＿, it is very durable. | Moreover | However | Otherwise | Instead | Moreover añade un punto a favor.
Q | Choose the best linking word: Book early; ＿＿, you may not find a seat. | otherwise | moreover | thus | likewise | Otherwise = de lo contrario.
Q | Choose the best linking word: ＿＿ the initial setbacks, the project succeeded. | Notwithstanding | Owing to | Due to | Whereas | Notwithstanding = a pesar de (+ sustantivo).
Q | Choose the most formal option to begin a letter to an unknown recipient. | Dear Sir or Madam, | Hi there, | Hey guys, | Yo, | Es el saludo formal estándar.
Q | Choose the most appropriate closing for a formal letter beginning 'Dear Sir or Madam'. | Yours faithfully, | Yours sincerely, | Best wishes, | Cheers, | Con Sir or Madam se usa Yours faithfully.
Q | Choose the most appropriate closing for a formal letter beginning 'Dear Dr Ellis'. | Yours sincerely, | Yours faithfully, | Love, | See you, | Con nombre propio: Yours sincerely.
Q | Choose the most formal version: | I am writing to enquire about the vacancy advertised on your website. | I wanna ask about that job on your site. | Just checking about your job thing. | What's the deal with the job ad? | Registro formal de carta de consulta.
Q | Choose the sentence with correct punctuation. | However, the results were inconclusive. | However the results, were inconclusive. | However; the results were inconclusive. | However the, results were inconclusive. | Coma tras el conector inicial.
Q | Choose the sentence with correct punctuation. | The report, which was long, took hours to read. | The report which was long, took hours to read. | The report, which was long took hours to read. | The report which, was long took hours to read. | Relativa no especificativa entre comas.
Q | Choose the correct sentence. | Its a matter of principle, and it's own reward. | It's a matter of principle, and its own reward. | Its a matter of principle, and its' own reward. | It's a matter of principle, and it's own reward. | It's = it is; its = posesivo.
Q | Choose the sentence with the correct use of semicolon. | The meeting ran late; several delegates missed their trains. | The meeting ran late; and several delegates missed their trains. | The meeting; ran late, several delegates missed their trains. | The meeting ran; late several delegates missed their trains. | El punto y coma une dos oraciones independientes.
Q | Choose the best topic sentence for a paragraph about the benefits of cycling to work. | Cycling to work offers clear advantages for both health and the environment. | Some people ride bicycles. | I like my bike. | Bicycles have two wheels. | Es una idea principal clara y desarrollable.
