# gramatica
Q | Il faut que tu ＿＿ plus tôt demain. | viennes | viens | viendras | viendrais | Après il faut que: subjonctif présent.
@R Avec le développement du streaming, la découverte musicale passe désormais par des algorithmes. Ses défenseurs y voient une démocratisation; ses détracteurs, un enfermement dans ses goûts. Une étude récente montre que les auditeurs qui suivent les listes personnalisées explorent nettement moins de genres que ceux qui cherchent librement.
Q | Comment passe la découverte musicale ? | par des algorithmes | par la radio | par des critiques | par des concerts | Algoritmos.
Q | Que reprochent les détracteurs ? | un enfermement dans ses goûts | un coût élevé | un manque d'accès | la qualité | Encierro en gustos.
Q | Que montre l'étude ? | Les auditeurs de listes explorent moins de genres. | Tous explorent plus. | Le streaming est gratuit. | La radio progresse. | Menos géneros.
Q | « Détracteurs » signifie | opposants | fans | musiciens | patrons | Detractor.
Q | Le texte présente | les deux points de vue | un seul point de vue | une publicité | un poème | Equilibrado.
@@
@R Le directeur de la rédaction défend le journalisme de long format. À rebours de l'urgence permanente, il veut offrir des enquêtes approfondies, quitte à publier moins souvent. Les annonceurs, dit-il, y sont sensibles: un lecteur attentif est un lecteur fidèle. Ses détracteurs rétorquent que ce pari n'est viable que pour de rares titres bénéficiant d'un mécénat.
Q | Que défend le directeur ? | le journalisme de long format | l'information instantanée | la publicité | la gratuité | Formato largo.
Q | Que veut-il éviter ? | l'urgence permanente | les annonceurs | les enquêtes | les lecteurs | Urgencia.
Q | Quel argument avancent ses détracteurs ? | Le pari n'est viable que pour peu de titres. | Il coûte peu. | Il séduit tous les lecteurs. | Il est illégal. | Pocos títulos.
Q | « À rebours de » signifie | à l'inverse de | à cause de | avec | après | A contracorriente.
Q | Qui, selon lui, apprécie ce format ? | les annonceurs | les jeunes | les concurrents | les ministres | Anunciantes.
@@
@R L'exposition dédiée aux petits objets du quotidien invite le visiteur à regarder autrement ce qu'il ne voit plus. Une cuillère, un bouton, une clé: chacun raconte une époque, un métier, une manière de vivre. Le commissaire précise qu'il n'a voulu ni nostalgie ni érudition, mais une attention.
Q | Que présente l'exposition ? | des objets du quotidien | des tableaux | des voitures | des bijoux | Objetos cotidianos.
Q | Que veut susciter le commissaire ? | une attention | de la nostalgie | de l'érudition | du choc | Atención.
Q | Que raconte chaque objet ? | une époque et une manière de vivre | un mystère | un procès | un voyage | Época y modo de vida.
Q | « Commissaire » désigne ici | organisateur de l'exposition | policier | juge | guide | Comisario de exposición.
Q | Le ton est | posé | violent | comique | pressé | Sosegado.
@@
@R Face à la montée des eaux, certaines communes littorales envisagent de déplacer leurs habitants. L'idée, longtemps taboue, gagne du terrain: entretenir des digues coûte de plus en plus cher, et leur efficacité diminue. Reste à savoir qui financera la relocalisation, et comment préserver l'identité de villages entiers.
Q | Que envisagent certaines communes ? | déplacer leurs habitants | construire des digues | fermer les plages | vendre des terrains | Reubicar.
Q | Pourquoi l'idée gagne-t-elle du terrain ? | Les digues coûtent cher et perdent en efficacité. | Il pleut moins. | La mer baisse. | Les habitants le demandent tous. | Costes crecientes.
Q | Quelle question reste ouverte ? | qui financera la relocalisation | qui construira les digues | où bâtir des ports | qui pêchera | Financiación.
Q | « Taboue » signifie | dont on évite de parler | populaire | ancienne | gratuite | Tabú.
Q | L'expression « gagner du terrain » signifie | progresser | perdre | reculer | disparaître | Ganar terreno.
@@
@R La sociologue observe que le travail à distance a modifié les liens entre collègues. Si les tâches individuelles gagnent en efficacité, les échanges informels, ceux qui nourrissent l'innovation, se raréfient. Les entreprises qui imposent un retour total au bureau risquent de susciter du ressentiment, tandis que celles qui y renoncent perdent une culture commune.
Q | Qu'a modifié le travail à distance ? | les liens entre collègues | les salaires | les horaires | les transports | Relaciones.
Q | Que se raréfie ? | les échanges informels | les tâches | les réunions | les mails | Intercambios informales.
Q | Quel risque pour un retour total au bureau ? | du ressentiment | plus d'innovation | moins de bruit | plus de télétravail | Resentimiento.
Q | Que perdent celles qui y renoncent ? | une culture commune | des salariés | de l'argent | des locaux | Cultura común.
Q | « Se raréfier » signifie | devenir moins fréquent | augmenter | changer | apparaître | Rarefacerse.
@@
@R Le poète refuse depuis toujours les cérémonies. Quand on lui a annoncé qu'il recevait le grand prix, il a d'abord cru à une plaisanterie, puis il s'est excusé de ne pouvoir venir. Il a fait lire un court texte à sa place, où il remercie surtout ses lecteurs, « ceux qui font vivre un poème en le portant avec eux ».
Q | Comment le poète a-t-il d'abord réagi ? | Il a cru à une plaisanterie. | Il a exulté. | Il a refusé net. | Il a pleuré. | Broma.
Q | Qu'a-t-il fait le jour de la cérémonie ? | Il a fait lire un texte à sa place. | Il est venu. | Il a chanté. | Il a écrit un livre. | Texto leído.
Q | Qui remercie-t-il surtout ? | ses lecteurs | le jury | sa famille | les éditeurs | Lectores.
Q | Son attitude envers les cérémonies est | de refus constant | d'enthousiasme | de curiosité | de peur | Rechazo.
Q | « Plaisanterie » signifie | blague | prix | poème | ordre | Plaisanterie = broma.
@@
@R La réforme de l'école prévoit de réduire l'effectif des classes dans les zones défavorisées. Les enseignants s'en félicitent, mais rappellent que la taille des classes ne fait pas tout: sans formation continue ni moyens matériels, les bénéfices resteront limités. Le ministre promet un accompagnement, sans en préciser le calendrier.
Q | Que prévoit la réforme ? | des classes moins nombreuses | plus de vacances | moins de cours | un nouvel examen | Menos alumnos.
Q | Comment réagissent les enseignants ? | Ils se félicitent avec des réserves. | Ils protestent. | Ils l'ignorent. | Ils démissionnent. | Con reservas.
Q | Que faut-il en plus selon eux ? | formation continue et moyens matériels | plus d'élèves | moins d'heures | des sanctions | Formación y medios.
Q | Que promet le ministre ? | un accompagnement sans calendrier | rien | des fonds immédiats | une démission | Sin fecha.
Q | « S'en féliciter » signifie | s'en réjouir | s'en plaindre | s'en méfier | s'en moquer | Felicitarse.
@@
@R Après des années de croissance, le marché du livre stagne. Les éditeurs invoquent la hausse du prix du papier et la concurrence des livres audio. Certains misent sur des tirages plus courts et des éditions soignées, très demandées comme cadeaux, ce qui autorise un optimisme prudent.
Q | Comment évolue le marché du livre ? | Il stagne. | Il explose. | Il disparaît. | Il double. | Estancado.
Q | Qu'invoquent les éditeurs ? | le prix du papier et le livre audio | la télévision | la pluie | la crise politique | Papel y audiolibros.
Q | Sur quoi misent certains ? | tirages courts et éditions soignées | prix bas | publicité | films | Tiradas cortas.
Q | Quelle est l'attitude finale ? | un optimisme prudent | un pessimisme total | de l'indifférence | de la colère | Prudente.
Q | « Tirage » désigne | le nombre d'exemplaires imprimés | un ticket | une loterie | un rayon | Tirada.
@@
@R La navigatrice a battu le record de traversée en solitaire. Interrogée sur son secret, elle évoque moins la technique que la patience: accepter que la mer décide, renoncer à contrôler ce qui ne dépend pas de soi. Elle avoue que la plus grande difficulté n'a pas été le froid mais la solitude des nuits sans vent.
Q | Quel record a-t-elle battu ? | traversée en solitaire | vitesse en course | plongée | distance à pied | Travesía en solitario.
Q | Que met-elle en avant plutôt que la technique ? | la patience | la force | la chance | l'argent | Paciencia.
Q | Quelle a été sa plus grande difficulté ? | la solitude des nuits sans vent | le froid | la faim | la peur du vent | Soledad.
Q | Que faut-il accepter selon elle ? | que la mer décide | de tout contrôler | de gagner | de renoncer | La mer decide.
Q | « Renoncer à » signifie | abandonner l'idée de | choisir | demander | copier | Renunciar.
@@
@R Le débat sur l'affichage de la nationalité dans les statistiques est vif. Ses partisans y voient un outil pour évaluer les discriminations; ses adversaires craignent des usages détournés. Un comité d'experts suggère un compromis: des données anonymisées, accessibles aux seuls chercheurs, avec des contrôles réguliers.
Q | Quel est le sujet du débat ? | l'affichage de la nationalité dans les statistiques | les impôts | l'école | les retraites | Estadísticas.
Q | Que voient les partisans ? | un outil pour évaluer les discriminations | une menace | un coût | un gain politique | Herramienta.
Q | Que craignent les adversaires ? | des usages détournés | des coûts | des erreurs | la lenteur | Usos indebidos.
Q | Que suggère le comité ? | des données anonymisées et contrôlées | l'interdiction totale | la publication ouverte | l'abandon | Compromiso.
Q | « Détournés » signifie ici | utilisés à d'autres fins | perdus | rapides | interdits | Desviados.
@@
@R La restauratrice a dû fermer pendant six mois. À la réouverture, elle a changé de carte: moins de plats, mais des produits locaux. Ses clients, dit-elle, ont d'abord été surpris, puis ont adopté le nouveau format. Elle estime que la crise l'a obligée à faire ce qu'elle repoussait depuis des années, à savoir simplifier.
Q | Combien de temps a-t-elle fermé ? | six mois | deux mois | un an | une semaine | Seis meses.
Q | Qu'a-t-elle changé ? | la carte | l'adresse | le nom | le chef | Menú.
Q | Comment ont réagi les clients ? | Surpris d'abord, puis conquis | Fâchés | Indifférents | Partis | Sorpresa y aceptación.
Q | Qu'a-t-elle fait grâce à la crise ? | simplifier | agrandir | fermer | vendre | Simplificar.
Q | « Repousser » signifie ici | remettre à plus tard | rejeter avec violence | attirer | pousser en avant | Postergar.
@@
@R Les chercheurs ont observé pendant dix ans un groupe de renards vivant en banlieue. Contrairement à leurs congénères de la campagne, ils se déplacent peu, car la nourriture est abondante près des habitations. Leur nombre dépendrait davantage de la gestion des déchets que des espaces verts, ce qui invite à repenser les stratégies de régulation.
Q | Combien de temps a duré l'observation ? | dix ans | un an | deux ans | vingt ans | Diez años.
Q | Pourquoi ces renards se déplacent-ils peu ? | La nourriture est abondante. | Ils sont malades. | Il y a des barrières. | Ils dorment. | Comida abundante.
Q | De quoi dépend leur nombre ? | de la gestion des déchets | des espaces verts | du climat | de la chasse | Residuos.
Q | Que invitent à repenser ces résultats ? | les stratégies de régulation | l'éducation | l'architecture | le tourisme | Regulación.
Q | « Congénères » signifie | individus de la même espèce | parents | voisins | ennemis | Congéneres.
@@
# listening
@L Journaliste: Vous dirigez une start-up de solaire. Comment ont été les débuts ? Directeur: Difficiles. Nous avions une bonne idée mais pas de capital. C'est seulement quand un investisseur nous a fait confiance que nous avons pu embaucher.
Q | Qu'est-ce qui manquait au début ? | du capital | une idée | des clients | un local | Falta de capital.
Q | Quand ont-ils pu embaucher ? | après la confiance d'un investisseur | tout de suite | jamais | après deux ans | Con inversor.
Q | Quel est le domaine de l'entreprise ? | le solaire | l'informatique | la mode | l'alimentation | Solar.
Q | Comment le directeur décrit-il les débuts ? | difficiles | faciles | ennuyeux | drôles | Difíciles.
Q | Quel est le rôle de la journaliste ? | poser des questions | vendre | investir | diriger | Entrevista.
@@
@L Elle: Tu as entendu ? Le train pour Lyon est supprimé. Lui: Non, qu'est-ce qui s'est passé ? Elle: Un arbre est tombé sur la voie. Il y a un car de remplacement, mais il met presque deux fois plus de temps. Lui: Alors je prends la voiture.
Q | Pourquoi le train est-il supprimé ? | Un arbre est tombé sur la voie. | Grève | Accident | Neige | Árbol.
Q | Qu'y a-t-il à la place ? | un car de remplacement | un avion | un taxi | rien | Autocar.
Q | Combien de temps met le car ? | presque deux fois plus | deux fois moins | autant | trois jours | Casi el doble.
Q | Que décide-t-il ? | de prendre la voiture | de rester | de prendre le car | d'attendre | Coche.
Q | Où va le train ? | à Lyon | à Paris | à Nice | à Lille | Lyon.
@@
@L Professeur: La numérisation transforme le travail en profondeur. Contrairement à une crainte répandue, des postes disparaissent, mais d'autres naissent, dans des métiers qui n'ont pas encore de nom. L'essentiel est donc de savoir se former tout au long de la vie.
Q | Quel est le message principal ? | Il faut se former en continu. | Tous les emplois disparaissent. | La numérisation est sans effet. | Il n'y a pas de nouveaux métiers. | Formación continua.
Q | Qu'apparaît à côté des suppressions ? | de nouveaux métiers | de nouvelles écoles | de nouvelles lois | de nouvelles villes | Nuevos empleos.
Q | « En profondeur » signifie | de façon fondamentale | superficiellement | rapidement | doucement | Profundamente.
Q | Quelle est la crainte répandue ? | la disparition d'emplois | le coût | le bruit | les voyages | Miedo al desempleo.
Q | L'attitude du professeur est | équilibrée | hostile | naïve | craintive | Equilibrada.
@@
@L Cliente: Bonjour, j'ai acheté ce grille-pain il y a trois semaines et il ne marche plus. Vendeur: Avez-vous le ticket de caisse ? Cliente: Oui, le voici. Vendeur: Alors nous pouvons l'échanger ou vous rembourser. Cliente: Je préférerais un remboursement.
Q | Quel est le problème ? | L'appareil ne marche plus. | Il est trop cher. | Il est trop grand. | Il est volé. | No funciona.
Q | Que demande le vendeur ? | le ticket de caisse | l'emballage | la carte d'identité | la garantie seule | Ticket.
Q | Quelles options propose-t-il ? | échange ou remboursement | réparation seule | rien | bon d'achat | Cambio o reembolso.
Q | Que choisit la cliente ? | le remboursement | un nouvel appareil | une réparation | un bon | Reembolso.
Q | Depuis quand possède-t-elle l'appareil ? | trois semaines | trois ans | hier | trois mois | Tres semanas.
@@
@L Speaker: Bonsoir, mesdames et messieurs. Cette nuit, il pleuvra sur l'ensemble du pays, avec de la neige au-dessus de 1200 mètres. Demain, matinée brumeuse; les nuages se dissiperont dans la journée, et le soleil brillera par moments l'après-midi, avec un maximum de 14 degrés.
Q | Où neige-t-il cette nuit ? | au-dessus de 1200 mètres | partout | sur la côte | nulle part | Nieve en altura.
Q | Comment sera la matinée ? | brumeuse | ensoleillée | orageuse | chaude | Neblina.
Q | Que se passera-t-il l'après-midi ? | Le soleil brillera par moments. | Il neigera. | Il y aura une tempête. | Il pleuvra fort. | Sol intermitente.
Q | Quelle est la température maximale ? | 14 degrés | 4 degrés | 24 degrés | 40 degrés | 14.
Q | Ce document est | un bulletin météo | une publicité | un entretien | un article | Boletín.
@@
@L Étudiante: Je n'arriverai pas à rendre mon mémoire vendredi. Directeur: Pourquoi ? Étudiante: J'ai trouvé plus de sources que prévu et je ne sais pas comment les organiser. Directeur: C'est un bon problème. Limitez-vous aux trois principales, et nous repoussons le délai d'une semaine.
Q | Pourquoi ne peut-elle pas rendre son mémoire ? | Elle a trop de sources. | Elle est malade. | Elle n'a pas de sources. | Elle n'a pas de temps. | Demasiadas fuentes.
Q | Que conseille le directeur ? | se limiter à trois sources | chercher plus | abandonner | tout refaire | Tres fuentes.
Q | De combien repousse-t-il le délai ? | d'une semaine | d'un mois | d'un jour | pas du tout | Una semana.
Q | Comment qualifie-t-il le problème ? | un bon problème | un désastre | insoluble | gênant | Buen problema.
Q | Quand devait-il être rendu ? | vendredi | lundi | en juin | demain | Viernes.
@@
@L Reporter: Le maire a annoncé aujourd'hui la construction d'un nouveau pont pour quarante millions d'euros. Des opposants dénoncent un gaspillage alors que les écoles manquent de moyens. Le maire répond que ce pont dynamisera toute la région.
Q | Qu'a annoncé le maire ? | la construction d'un pont | la démolition d'un pont | un impôt | des élections | Puente.
Q | Combien coûte-t-il ? | quarante millions d'euros | quatre millions | quatre cents millions | quatorze millions | 40 M.
Q | Que dénoncent les opposants ? | un gaspillage alors que les écoles manquent de moyens | la laideur | la taille | le manque de plan | Falta dinero escuelas.
Q | Comment se défend le maire ? | Le pont dynamisera la région. | Il se tait. | Il annule. | Il cite les écoles. | Beneficio económico.
Q | Ce texte est | une brève d'actualité | un poème | une publicité | une lettre | Noticia.
@@
@L Mère: Comment s'est passé ton premier jour ? Fille: Fatigant mais bien. Tout le monde a été gentil, et mon chef m'a tout de suite confié un projet. Mère: Dès le premier jour ? Fille: Oui, j'avais un peu peur, mais c'est agréable d'avoir autant de responsabilités.
Q | Comment s'est passé le premier jour ? | fatigant mais bien | mal | ennuyeux | catastrophique | Cansado pero bien.
Q | Que lui a confié son chef ? | un projet | des vacances | une prime | un licenciement | Proyecto.
Q | Comment se sent-elle ? | un peu inquiète mais contente | en colère | triste | indifférente | Miedo y alegría.
Q | Les collègues ont été | gentils | froids | absents | sévères | Amables.
Q | Qui parle avec qui ? | la fille avec sa mère | le chef avec la mère | deux collègues | deux amis | Madre e hija.
@@
@L Médecin: Vos analyses sont globalement bonnes, mais la tension est un peu élevée. Je vous conseille de bouger davantage et de réduire le sel. Nous referons un contrôle dans trois mois, et si rien ne change, nous parlerons de médicaments.
Q | Qu'est-ce qui est trop élevé ? | la tension | le sucre | la température | le poids | Tensión.
Q | Que doit faire le patient ? | bouger plus et réduire le sel | prendre des médicaments | rien | rester au lit | Ejercicio y sal.
Q | Quand aura lieu le prochain contrôle ? | dans trois mois | dans trois jours | dans un an | demain | Tres meses.
Q | Quand parlera-t-on de médicaments ? | si rien ne change | tout de suite | jamais | l'an prochain | Si no cambia.
Q | Les analyses sont globalement | bonnes | mauvaises | dangereuses | incertaines | Buenas.
@@
@L Agence: Votre vol pour Vienne a été annulé. Nous pouvons vous transférer sur celui de jeudi, ou vous rembourser intégralement. Client: Jeudi, c'est trop tard, j'ai un rendez-vous mercredi. Agence: Alors il ne reste que le remboursement, et vous devrez réserver vous-même un autre vol.
Q | Qu'est-il arrivé au vol ? | Il a été annulé. | Il a été retardé. | Il a été avancé. | Il a été vendu. | Cancelado.
Q | Que propose l'agence ? | transfert ou remboursement | train | hôtel | bon d'achat | Cambio o reembolso.
Q | Pourquoi jeudi ne convient-il pas ? | Le client a un rendez-vous mercredi. | Il est malade. | Il n'a pas d'argent. | Il n'aime pas voler. | Cita el miércoles.
Q | Que reste-t-il finalement ? | le remboursement | le transfert | un bon | une indemnité | Reembolso.
Q | Où doit aller le client ? | à Vienne | à Berlin | à Zurich | à Prague | Viena.
@@
@L Entraîneur: Vous avez bien joué en première mi-temps, mais vous avez perdu trop de ballons. Il faut être plus calmes et mieux utiliser les espaces. Capitaine: Et s'ils pressent haut ? Entraîneur: Alors on joue long vers les ailes.
Q | Que félicite l'entraîneur ? | la première mi-temps | la défense | les supporters | le terrain | Primera parte.
Q | Que critique-t-il ? | trop de ballons perdus | pas assez de courses | des disputes | un retard | Pérdidas.
Q | Que doivent faire les joueurs ? | être plus calmes | courir plus | presser haut | abandonner | Calma.
Q | Que faire si l'adversaire presse haut ? | jouer long vers les ailes | reculer | changer | s'arrêter | Balones largos.
Q | Qui pose la question ? | le capitaine | l'entraîneur | un supporter | l'arbitre | Capitán.
@@
@L Journaliste: Comment expliquez-vous le succès de votre parti ? Ministre: Nous avons proposé des solutions concrètes plutôt que d'attiser les peurs. Journaliste: Vos adversaires disent que vous n'avez pas de plan de financement. Ministre: C'est faux. Il est sur la table, il suffit de le lire.
Q | Comment explique-t-elle le succès ? | par des solutions concrètes | par la chance | par l'argent | par la publicité | Soluciones.
Q | Que reprochent les adversaires ? | l'absence de plan de financement | des mensonges | de la corruption | de l'inaction | Falta de plan.
Q | Comment réagit-elle ? | Elle dément. | Elle avoue. | Elle se tait. | Elle part. | Lo niega.
Q | Le ton de la ministre est | assuré | craintif | indifférent | triste | Seguro.
Q | Qu'est-ce qui est « sur la table » ? | le plan de financement | un contrat | un livre | une facture | Plan.
@@
@L Annonce: Mesdames et messieurs, en raison d'un incident de signalisation, le TGV 574 à destination de Marseille aura environ vingt minutes de retard. Nous vous prions de nous excuser. Les voyageurs pour Avignon sont invités à emprunter le TER voie 7, qui part dans cinq minutes.
Q | Pourquoi le TGV a-t-il du retard ? | un incident de signalisation | une grève | un accident | la météo | Señalización.
Q | Quel est le retard ? | environ vingt minutes | deux heures | cinq minutes | une heure | Veinte minutos.
Q | Où va le TGV ? | à Marseille | à Avignon | à Lyon | à Nice | Marsella.
Q | Que doivent faire les voyageurs pour Avignon ? | prendre le TER voie 7 | attendre | prendre un taxi | prendre le TGV | TER.
Q | Quand part le TER ? | dans cinq minutes | dans une heure | tout de suite | jamais | Cinco minutos.
@@
@L Voisin: Je voudrais me plaindre du bruit. Hier soir, on a fait la fête jusqu'à trois heures. Voisine: Je suis désolée. C'était l'anniversaire de mon fils, nous n'avions pas pensé que ça s'entendait autant. Voisin: Je comprends, mais cela ne doit pas se reproduire. Voisine: Bien sûr, je transmettrai le message.
Q | De quoi se plaint le voisin ? | du bruit | des ordures | du parking | du loyer | Ruido.
Q | Pourquoi faisait-on la fête ? | pour l'anniversaire du fils | un mariage | le Nouvel An | un emménagement | Cumpleaños.
Q | Comment réagit la voisine ? | Elle s'excuse. | Elle s'énerve. | Elle nie. | Elle rit. | Se disculpa.
Q | Que demande le voisin ? | que cela ne se reproduise pas | de l'argent | une plainte | un déménagement | No repetir.
Q | Jusqu'à quelle heure a duré la fête ? | trois heures | dix heures | minuit | cinq heures | Tres.
@@
@L Professeure: Le changement climatique n'est pas un problème du futur mais du présent. Les phénomènes extrêmes se multiplient, les récoltes souffrent, les côtes sont menacées. On ne peut pas entièrement l'arrêter, mais chaque dixième de degré en moins réduit sensiblement les conséquences.
Q | Quand est-il un problème ? | dès à présent | seulement dans le futur | jamais | dans cent ans | Presente.
Q | Qu'est-ce qui se multiplie ? | les phénomènes extrêmes | les récoltes | les côtes | les pluies seulement | Fenómenos extremos.
Q | Peut-on l'arrêter totalement ? | non | oui | oui, au nord | peut-être | No del todo.
Q | Qu'est-ce qui réduit les conséquences ? | chaque dixième de degré en moins | plus de voitures | plus d'industrie | ne rien faire | Cada décima.
Q | Le ton est | pressant | joyeux | ironique | indifférent | Insistente.
@@
@L Elle: Je pense vendre mon appartement. Lui: Vraiment ? Tu viens de le rénover. Elle: Justement. Sa valeur a augmenté et les taux sont encore raisonnables. Avec le produit de la vente, je pourrais acheter plus petit, en centre-ville. Lui: Ça semble sensé, mais ne précipite rien.
Q | Que pense faire la femme ? | vendre son appartement | louer une maison | déménager sans vendre | se marier | Vender.
Q | Pourquoi maintenant ? | Sa valeur a augmenté. | Elle a besoin d'argent. | Elle le déteste. | Il y a une dispute. | Valor.
Q | Que veut-elle acheter ? | plus petit en centre-ville | une maison à la campagne | une voiture | un terrain | Piso céntrico.
Q | Que conseille l'homme ? | de ne rien précipiter | de vendre tout de suite | de ne rien faire | d'attendre cinq ans | Prudencia.
Q | L'appartement a été | récemment rénové | loué | vendu | détruit | Reformado.
@@
@L Employé: Le rapport est prêt, mais j'ai un doute sur les chiffres. Chef: Lesquels ? Employé: Les ventes du troisième trimestre sont si élevées que je soupçonne une erreur de saisie. Chef: Vérifiez donc avant l'envoi.
Q | Qu'est-ce qui inquiète l'employé ? | les chiffres de vente | la mise en page | le délai | le titre | Cifras.
Q | Que soupçonne-t-il ? | une erreur de saisie | une fraude | un vol | un virus | Error.
Q | Que demande le chef ? | vérifier avant l'envoi | envoyer tout de suite | licencier | tout refaire | Revisar.
Q | Quel trimestre est concerné ? | le troisième | le premier | le deuxième | le quatrième | Tercero.
Q | Le rapport est | prêt | non commencé | perdu | publié | Listo.
@@
@L Voix: Vous êtes bien sur la messagerie de Madame Berger. Je suis absente jusqu'au 15 mai. En cas d'urgence, contactez mon collègue, Monsieur Lang, au 4 5 6 7. Je répondrai à votre message à mon retour.
Q | Jusqu'à quand est-elle absente ? | jusqu'au 15 mai | jusqu'à la fin mai | jusqu'à demain | jusqu'à lundi | 15 mayo.
Q | Qui contacter en cas d'urgence ? | Monsieur Lang | Madame Berger | la direction | le standard | Sr. Lang.
Q | Quand répondra-t-elle ? | à son retour | tout de suite | jamais | demain | Al volver.
Q | Quel est ce document ? | un message de répondeur | une publicité | une lettre | une conversation | Buzón.
Q | Quel est le numéro du collègue ? | 4567 | 7654 | 4576 | 5467 | 4567.
@@
@L Enseignant: Avant de commencer le nouveau sujet, discutez en groupes de ce que vous savez déjà sur le développement durable. Notez trois points, puis chaque groupe présentera un résultat. Vous avez dix minutes.
Q | Que doivent faire d'abord les élèves ? | discuter en groupes de ce qu'ils savent | passer un test | écouter | rentrer | Grupo.
Q | Combien de points doivent-ils noter ? | trois | deux | cinq | dix | Tres.
Q | Que se passe-t-il ensuite ? | Chaque groupe présente un résultat. | L'enseignant corrige. | Pause. | Test. | Presentación.
Q | Combien de temps ont-ils ? | dix minutes | une heure | cinq minutes | vingt minutes | Diez.
Q | Quel est le sujet ? | le développement durable | l'histoire | le sport | la politique | Sostenibilidad.
@@
@L Collègue A: Le client s'est encore plaint. Collègue B: De quoi cette fois ? Collègue A: Il dit que la livraison était incomplète. Pourtant nous avons tout emballé selon la liste. Collègue B: Quelque chose s'est peut-être perdu pendant le transport. J'appelle le transporteur.
Q | De quoi se plaint le client ? | d'une livraison incomplète | du prix | de la qualité | d'un retard | Incompleta.
Q | Que disent les collègues sur l'emballage ? | Tout a été emballé selon la liste. | Il manquait quelque chose. | Rien n'a été emballé. | Le client ment. | Según la lista.
Q | Que suppose le collègue B ? | une perte pendant le transport | une fraude | une erreur du client | un vol en entrepôt | Transporte.
Q | Que va-t-il faire ? | appeler le transporteur | appeler le client | appeler la police | démissionner | Transportista.
Q | Le client se plaint | encore | pour la première fois | jamais | rarement | Otra vez.
@@
# writing
Q | Choisissez le connecteur: Le projet est coûteux; ＿＿, il est rentable à long terme. | cependant | c'est pourquoi | de plus | en effet | Opposition: cependant.
Q | Choisissez le connecteur: Il n'a pas étudié; ＿＿, il a échoué. | par conséquent | pourtant | en revanche | d'ailleurs | Conséquence.
Q | Choisissez le connecteur: Dépêchez-vous; ＿＿, vous manquerez le train. | sinon | donc | de plus | cependant | Sinon = de lo contrario.
Q | Choisissez le connecteur: La ville est belle; ＿＿, elle est très chère. | néanmoins | c'est pourquoi | ainsi | donc | Restriction.
Q | Choisissez le connecteur: ＿＿ le temps était mauvais, la fête a eu lieu. | Bien que | Parce que | Pour que | Au cas où | Concession.
Q | Choisissez le connecteur: Les prix montent; ＿＿, les salaires baissent. | parallèlement | c'est-à-dire | donc | par exemple | Parallèlement = al mismo tiempo.
Q | Choisissez le connecteur: Il a de l'expérience; ＿＿, il est très jeune. | de surcroît | pourtant | donc | sinon | De surcroît = además (ajout).
Q | Quelle formule d'appel convient à une lettre formelle ? | Madame, Monsieur, | Salut, | Coucou, | Chers tous, | Formule formelle.
Q | Quelle formule finale convient à une lettre formelle ? | Veuillez agréer, Madame, Monsieur, l'expression de mes salutations distinguées. | Bisous. | À plus. | Bye. | Formule de politesse.
Q | Quelle phrase est la plus polie ? | Pourriez-vous m'indiquer quand les documents arriveront ? | Dites-moi quand ça arrive. | Quand ça arrive ? | Je veux savoir quand. | Conditionnel de politesse.
Q | Quelle phrase convient à une réclamation ? | Je vous prie de bien vouloir remédier à ce défaut dans les meilleurs délais. | Tout va bien. | Merci pour rien. | Peu importe. | Réclamation formelle.
Q | Quelle phrase est la plus formelle ? | Je souhaiterais postuler au poste proposé. | Je veux ce boulot. | Je le prendrais bien, ce job. | Donnez-moi le poste. | Registre soutenu.
Q | Quelle phrase est correcte ? | Elle s'est inscrite à un cours. | Elle s'a inscrit à un cours. | Elle s'est inscrit à un cours. | Elle est inscrite à se cours. | Accord du participe des verbes pronominaux.
Q | Quelle phrase est correctement ponctuée ? | Le rapport, qui est long, m'a pris des heures. | Le rapport qui est long, m'a pris des heures. | Le rapport, qui est long m'a pris des heures. | Le rapport qui, est long m'a pris des heures. | Incise entre virgules.
Q | Quelle orthographe est correcte ? | Il a cent euros. | Il a cents euros. | Il a cent euro. | Il a sents euros. | Cent invariable devant euros s'il n'est pas multiplié.
Q | Quelle orthographe est correcte ? | quelque chose | quel que chose | quelquechose | quelques chose | Quelque chose.
Q | Quelle orthographe est correcte ? | parce que | par ce que (cause) | parceque | par-ce-que | Parce que en trois mots pour la cause.
Q | Quelle orthographe est correcte ? | d'ailleurs | d'ailleur | dailleurs | d'ailleures | D'ailleurs.
Q | Quel mot est correctement écrit ? | développement | dévelopement | développment | dévelopemant | Développement.
Q | Quel mot est correctement écrit ? | occasion | ocasion | occassion | occation | Occasion.
Q | Quel mot est correctement écrit ? | connaissance | connaisance | conaissance | connaissence | Connaissance.
Q | Quel mot est correctement écrit ? | appartement | apartement | appartemant | apparetment | Appartement.
Q | Quelle phrase ne contient aucune faute ? | Les enfants que j'ai vus jouaient dans le jardin. | Les enfants que j'ai vu jouaient dans le jardin. | Les enfants que j'ai vus jouait dans le jardin. | Les enfants que j'ai vue jouaient dans le jardin. | Accord COD antéposé.
Q | Quelle phrase ne contient aucune faute ? | Bien qu'il soit fatigué, il continue. | Bien qu'il est fatigué, il continue. | Bien qu'il sera fatigué, il continue. | Bien qu'il serait fatigué, il continue. | Subjonctif après bien que.
