# gramatica
Q | Er tat so, ＿＿ er nichts gehört hätte. | als ob | wenn | dass | weil | Comparación irreal: als ob + Konjunktiv II.
Q | 'Sündenböcke' sind | Personen, denen man die Schuld zuschiebt | Tiere | Richter | Zeugen | Chivos expiatorios.
@@
@R Wer eine Fremdsprache lernt, macht Fehler, und das ist gut so. Sprachforscher betonen, dass Fehler zeigen, wo das Gehirn Regeln überprüft. Wer aus Angst vor Fehlern schweigt, lernt langsamer als jemand, der mutig spricht. Entscheidend sei, Rückmeldung zu bekommen und daraus zu lernen.
Q | Was sagen Sprachforscher über Fehler? | Sie zeigen, wie das Gehirn Regeln prüft. | Sie sind schädlich. | Sie sollten vermieden werden. | Sie sind selten. | Los errores son señal de aprendizaje.
Q | Wer lernt langsamer? | wer aus Angst schweigt | wer mutig spricht | wer viel liest | wer reist | Quien calla por miedo.
Q | Was ist entscheidend? | Rückmeldung zu bekommen | Fehler zu vermeiden | perfekt zu sprechen | Bücher zu kaufen | Retroalimentación.
Q | 'mutig' bedeutet | tapfer | ängstlich | leise | langsam | Mutig = valiente.
Q | Die Haltung des Textes zu Fehlern ist | positiv | ablehnend | gleichgültig | ironisch | Positiva.
@@
@R Die Stadt plant, das alte Hafenviertel neu zu gestalten. Neben Wohnungen sollen Grünflächen und ein kleines Museum entstehen. Alteingesessene fürchten steigende Mieten und Verdrängung. Die Stadtverwaltung verspricht, dass ein Teil der Wohnungen zu festen, niedrigen Mieten vergeben wird, räumt aber ein, dass dies allein nicht ausreichen werde.
Q | Was soll im Hafenviertel entstehen? | Wohnungen, Grünflächen und ein Museum | ein Flughafen | Fabriken | ein Stadion | Proyecto urbano.
Q | Was fürchten Alteingesessene? | steigende Mieten und Verdrängung | Lärm | Kriminalität | Verkehr | Gentrificación.
Q | Was verspricht die Stadtverwaltung? | Einen Teil der Wohnungen zu niedrigen Mieten | Mietfreiheit | keine Änderungen | Neubau des Hafens | Vivienda asequible.
Q | Die Verwaltung räumt ein, dass | das allein nicht genüge | alles gelöst sei | es keine Probleme gebe | das Projekt scheitere | Admite que no basta.
Q | 'Alteingesessene' sind | Menschen, die lange dort wohnen | Touristen | Beamte | Investoren | Residentes de larga data.
@@
@R Die Regisseurin gilt als Meisterin des leisen Films. In ihrem jüngsten Werk verzichtet sie fast vollständig auf Musik und lässt stattdessen Alltagsgeräusche sprechen. Das Publikum reagierte zunächst irritiert, doch nach wenigen Minuten, so schreibt ein Kritiker, gerate man in einen Sog, dem man sich kaum entziehen könne.
Q | Wofür ist die Regisseurin bekannt? | für leise Filme | für Actionfilme | für Komödien | für Dokumentationen | Meisterin des leisen Films.
Q | Worauf verzichtet sie im neuen Film? | fast ganz auf Musik | auf Bilder | auf Schauspieler | auf Text | Sin música.
Q | Wie reagierte das Publikum zunächst? | irritiert | begeistert | gelangweilt | wütend | Irritado.
Q | Was passiert laut Kritiker nach wenigen Minuten? | Man wird hineingezogen. | Man schläft ein. | Man geht. | Man lacht. | Sog = atracción.
Q | 'Sog' bedeutet hier | starke Anziehung | Lärm | Streit | Pause | Sog = succión, atracción.
@@
@R Der Wirtschaftsforscher warnt vor einer Überhitzung des Immobilienmarkts. Zwar seien die Zinsen gestiegen, doch die Nachfrage in Ballungsräumen bleibe hoch. Er empfiehlt, die Wohnungsknappheit an der Wurzel zu packen, also mehr zu bauen, statt Käufer mit Zuschüssen zu unterstützen, die nur die Preise weiter antreiben würden.
Q | Wovor warnt der Forscher? | Überhitzung des Immobilienmarkts | Deflation | Arbeitslosigkeit | Inflation der Löhne | Sobrecalentamiento.
Q | Was bleibt trotz höherer Zinsen hoch? | die Nachfrage | das Angebot | die Löhne | die Steuern | Demanda alta.
Q | Was empfiehlt er? | mehr bauen | Zuschüsse erhöhen | Zinsen senken | Steuern erhöhen | Construir más.
Q | Warum lehnt er Zuschüsse ab? | Sie treiben die Preise. | Sie sind zu teuer für Käufer. | Sie sind illegal. | Sie senken Preise. | Elevan precios.
Q | 'an der Wurzel packen' bedeutet | die Ursache angehen | ausgraben | vermeiden | verschieben | Ir a la raíz.
@@
@R Beim Übersetzen literarischer Texte geht es selten um Wort-für-Wort-Entsprechungen. Vielmehr muss der Übersetzer den Ton, den Rhythmus und die Untertöne eines Werkes in eine andere Sprache übertragen. Das gelingt nie vollständig, weshalb manche Fachleute Übersetzen eher als Neuschöpfung denn als Kopie betrachten.
Q | Worum geht es beim literarischen Übersetzen selten? | um Wort-für-Wort-Entsprechungen | um Ton | um Rhythmus | um Untertöne | Traducción no literal.
Q | Was muss der Übersetzer übertragen? | Ton, Rhythmus und Untertöne | nur den Inhalt | die Grammatik | die Seitenzahl | Tono y ritmo.
Q | Warum sei es keine Kopie? | Es gelingt nie vollständig. | Es ist illegal. | Es ist zu teuer. | Es ist zu kurz. | Nunca es completa.
Q | Manche Fachleute betrachten Übersetzen als | Neuschöpfung | Kopie | Handwerk ohne Kunst | Fehler | Recreación.
Q | 'Untertöne' sind hier | mitschwingende Bedeutungen | leise Musik | Fehler | Noten | Matices.
@@
@R Der Berg gilt als schwer zugänglich, und doch zieht er jedes Jahr Tausende Wanderer an. Die Hütten am Weg sind im Sommer oft ausgebucht, weshalb die Betreiber raten, frühzeitig zu reservieren. Bei schlechtem Wetter sollte man nicht aufsteigen: Nebel und Gewitter haben in den vergangenen Jahren mehrere Notrufe ausgelöst.
Q | Warum raten die Betreiber, früh zu reservieren? | Die Hütten sind oft ausgebucht. | Die Hütten sind teuer. | Die Hütten sind geschlossen. | Es gibt zu wenig Wanderer. | Reservar con tiempo.
Q | Wann sollte man nicht aufsteigen? | bei schlechtem Wetter | im Sommer | bei Sonne | am Wochenende | Mal tiempo.
Q | Was löste mehrere Notrufe aus? | Nebel und Gewitter | Lawinen | Schnee | Hitze | Niebla y tormentas.
Q | Der Berg ist | schwer zugänglich, aber beliebt | leicht und einsam | gesperrt | unbekannt | Difícil pero popular.
Q | 'ausgebucht' bedeutet | vollständig reserviert | leer | teuer | alt | Ausgebucht = completo.
@@
@R Die Studie untersuchte, wie Jugendliche soziale Medien nutzen. Überraschend war, dass nicht die Nutzungsdauer entscheidend für das Wohlbefinden war, sondern die Art der Nutzung: Wer aktiv kommuniziert, fühlt sich besser als jemand, der nur passiv Inhalte konsumiert. Die Autoren mahnen jedoch, das Ergebnis nicht zu verallgemeinern, da die Stichprobe klein war.
Q | Was war überraschend? | Die Art der Nutzung ist wichtiger als die Dauer. | Jugendliche nutzen keine Medien. | Die Dauer ist entscheidend. | Alle fühlen sich schlecht. | Tipo de uso, no duración.
Q | Wer fühlt sich besser? | wer aktiv kommuniziert | wer nur konsumiert | wer nie online ist | wer lange schläft | Uso activo.
Q | Warum sollte man nicht verallgemeinern? | Die Stichprobe war klein. | Die Studie war falsch. | Es gab keine Ergebnisse. | Die Autoren sind unbekannt. | Muestra pequeña.
Q | 'Stichprobe' bedeutet | ausgewählte Gruppe für eine Untersuchung | Fehler | Vermutung | Befragung ohne Ziel | Stichprobe = muestra.
Q | Der Ton der Autoren ist | vorsichtig | übermütig | aggressiv | gleichgültig | Cautelosos.
@@
@R Ein Museum bietet erstmals Führungen in leichter Sprache an. Das Angebot richtet sich an Menschen mit Lernschwierigkeiten, aber auch an alle, die komplizierte Erklärungen meiden. Die Rückmeldung sei überwältigend, sagt die Leiterin, und mehrere Häuser hätten bereits angefragt, wie man das Konzept übernehmen könne.
Q | Was bietet das Museum erstmals an? | Führungen in leichter Sprache | Nachtführungen | Kinderprogramme | Online-Kurse | Lectura fácil.
Q | An wen richtet sich das Angebot? | an Menschen mit Lernschwierigkeiten und andere | nur an Touristen | nur an Kinder | nur an Experten | Público amplio.
Q | Wie ist die Rückmeldung? | überwältigend | schlecht | gemischt | gering | Muy positiva.
Q | Was möchten andere Häuser? | das Konzept übernehmen | das Museum schließen | die Preise senken | Personal abwerben | Copiar el concepto.
Q | 'meiden' bedeutet | vermeiden | suchen | mögen | zeigen | Meiden = evitar.
@@
@R Die Regierung will Pflegekräfte aus dem Ausland leichter anwerben. Bürokratische Hürden bei der Anerkennung von Abschlüssen sollen abgebaut werden. Gewerkschaften begrüßen den Schritt, warnen aber davor, dass die Anwerbung die Probleme im Herkunftsland verschärfen könnte, wo selbst Fachkräfte fehlen.
Q | Was will die Regierung erleichtern? | die Anwerbung ausländischer Pflegekräfte | Auswanderung | Studiengebühren | Renten | Reclutamiento.
Q | Was soll abgebaut werden? | bürokratische Hürden | Arbeitsplätze | Gehälter | Sprachkurse | Barreras burocráticas.
Q | Wovor warnen Gewerkschaften? | Verschärfung der Probleme im Herkunftsland | Streik | Lohnsenkungen | Überstunden | Fuga de cerebros.
Q | Wie reagieren die Gewerkschaften grundsätzlich? | positiv, aber mit Vorbehalt | ablehnend | gleichgültig | begeistert ohne Kritik | Positivas con reservas.
Q | 'Herkunftsland' ist | das Land, aus dem jemand stammt | Zielland | Hauptstadt | Nachbarland | País de origen.
@@
@R Der Autor beschreibt in seinem Essay, wie sich das Lesen im digitalen Zeitalter verändert hat. Wir überfliegen mehr, als dass wir vertieft lesen. Dennoch sei das nicht zwangsläufig ein Verlust: Wer Informationen schnell sichtet, könne bewusster entscheiden, welche Texte Aufmerksamkeit verdienen. Wichtig sei, beide Lesearten zu beherrschen.
Q | Wie hat sich das Lesen verändert? | Wir überfliegen mehr. | Wir lesen langsamer. | Wir lesen nicht mehr. | Wir lesen nur Bücher. | Lectura superficial.
Q | Ist das laut Autor nur ein Verlust? | Nein, es hat auch Vorteile. | Ja, vollständig. | Ja, aber unwichtig. | Er äußert sich nicht. | No necesariamente.
Q | Was ist wichtig? | beide Lesearten zu beherrschen | nur tief zu lesen | nur schnell zu lesen | nicht mehr zu lesen | Dominar ambas.
Q | 'überfliegen' bedeutet | flüchtig lesen | fliegen | übersetzen | vorlesen | Überfliegen = ojear.
Q | Der Autor argumentiert | ausgewogen | polemisch | verzweifelt | spöttisch | Equilibrado.
@@
@R Die Feuerwehr warnt vor Waldbränden in diesem trockenen Sommer. Schon ein weggeworfener Zigarettenstummel könne genügen, um eine Katastrophe auszulösen. In mehreren Regionen gilt deshalb ein Rauchverbot im Wald, und Verstöße werden mit hohen Bußgeldern geahndet.
Q | Wovor warnt die Feuerwehr? | vor Waldbränden | vor Überschwemmungen | vor Stürmen | vor Lärm | Incendios.
Q | Was kann genügen, um einen Brand auszulösen? | ein Zigarettenstummel | ein Blitz allein | Regen | Wind | Colilla.
Q | Was gilt in mehreren Regionen? | ein Rauchverbot im Wald | ein Wanderverbot | ein Autoverbot | ein Zeltverbot allein | Prohibición de fumar.
Q | Was droht bei Verstößen? | hohe Bußgelder | Freiheitsstrafe immer | nichts | Ermahnung | Multas.
Q | 'ahnden' bedeutet | bestrafen | belohnen | erklären | ansehen | Ahnden = sancionar.
@@
@R Als die Firma ihre Produktion ins Ausland verlagern wollte, protestierten die Beschäftigten. Nach langen Verhandlungen einigte man sich auf einen Kompromiss: Ein Teil der Fertigung bleibt im Land, dafür verzichten die Mitarbeiter auf Lohnerhöhungen der nächsten zwei Jahre. Beide Seiten sprachen von einer Lösung, mit der man leben könne, aber niemand war wirklich zufrieden.
Q | Was wollte die Firma tun? | die Produktion ins Ausland verlagern | Personal aufstocken | Standorte schließen ohne Ersatz | Preise senken | Deslocalizar.
Q | Wie reagierten die Beschäftigten? | Sie protestierten. | Sie kündigten. | Sie stimmten zu. | Sie streikten nicht. | Protesta.
Q | Was ist Teil des Kompromisses? | Verzicht auf Lohnerhöhungen | Entlassungen | Neubau | Prämien | Renuncia a subidas.
Q | Was bleibt im Land? | ein Teil der Fertigung | die ganze Firma | nichts | die Verwaltung allein | Parte de la producción.
Q | Die Stimmung am Ende ist | resigniert | begeistert | feindlich | euphorisch | Nadie realmente satisfecho.
@@
@R Sie war die erste Frau, die den Lehrstuhl für Physik an der Universität übernahm. Anfangs stieß sie auf Skepsis, doch ihre Vorlesungen wurden schnell zu den meistbesuchten. Rückblickend sagt sie, dass sie sich nie als Vorbild gesehen habe: Sie habe einfach gute Physik machen wollen. Gerade diese Bescheidenheit, meinen ihre Schüler, mache sie zum Vorbild.
Q | Was war sie als Erste? | Inhaberin des Lehrstuhls für Physik | Rektorin | Nobelpreisträgerin | Ministerin | Primera catedrática.
Q | Wie waren ihre Vorlesungen? | die meistbesuchten | schlecht besucht | abgesagt | kurz | Muy concurridas.
Q | Wie sieht sie sich selbst? | nicht als Vorbild | als Vorbild | als Pionierin | als Kritikerin | Se ve sin pretensión.
Q | Was macht sie laut Schülern zum Vorbild? | ihre Bescheidenheit | ihr Ehrgeiz | ihre Rede | ihr Alter | Modestia.
Q | 'Skepsis' bedeutet | Zweifel | Freude | Wut | Neid | Skepsis = escepticismo.
@@
@R Die Bibliothek wird zum Ort für Begegnungen. Neben Büchern gibt es dort nun Werkstätten, Sprachcafés und Beratungsangebote. Kritiker fürchten, dass der eigentliche Auftrag, das Verleihen von Medien, dadurch in den Hintergrund gerate. Die Leiterin entgegnet, dass gerade diese Angebote neue Besucher anzögen, die später auch Bücher entliehen.
Q | Was gibt es neben Büchern? | Werkstätten, Sprachcafés und Beratung | Kino | Restaurants | Läden | Talleres y cafés.
Q | Was fürchten Kritiker? | Der Kernauftrag gerate in den Hintergrund. | Die Bibliothek schließt. | Bücher werden teurer. | Es kommen zu viele Besucher. | Se descuida la función principal.
Q | Was entgegnet die Leiterin? | Neue Angebote gewinnen neue Besucher. | Bücher sind unwichtig. | Das Konzept sei gescheitert. | Kritiker hätten recht. | Atraen a nuevos usuarios.
Q | 'entgegnen' bedeutet | antworten | vorschlagen | gehen | fragen | Entgegnen = replicar.
Q | 'Auftrag' bedeutet hier | zentrale Aufgabe | Bestellung | Vertrag | Reise | Auftrag = misión.
@@
@R Ein neues Verfahren soll helfen, Plastikmüll im Meer zu reduzieren. Spezielle Netze fangen Abfälle ab, bevor sie das offene Meer erreichen. Umweltschützer sind skeptisch: Wichtiger als das Aufräumen sei die Vermeidung von Plastik an der Quelle. Der Erfinder räumt ein, dass sein Verfahren nur eine Ergänzung sein könne, keine Lösung.
Q | Was fangen die Netze ab? | Abfälle vor dem offenen Meer | Fische | Wellen | Boote | Residuos.
Q | Was fordern Umweltschützer? | Vermeidung an der Quelle | mehr Netze | keine Kontrolle | Verbot des Meeres | Prevención.
Q | Wie beurteilt der Erfinder sein Verfahren? | als Ergänzung | als einzige Lösung | als Fehler | als überflüssig | Complemento.
Q | Umweltschützer sind | skeptisch | begeistert | gleichgültig | aggressiv | Escépticos.
Q | 'Quelle' bedeutet hier | Ursprung | Fluss | Bericht | Buch | Quelle = fuente/origen.
@@
@R Viele Unternehmen setzen inzwischen auf Bewerbungen ohne Foto und Namen, um Vorurteile zu verringern. Erste Auswertungen zeigen, dass mehr Bewerber aus Minderheiten zu Gesprächen eingeladen werden. Personalverantwortliche geben allerdings zu bedenken, dass sich Diskriminierung später im Prozess, etwa im Vorstellungsgespräch, fortsetzen könne.
Q | Was ist das Ziel anonymer Bewerbungen? | Vorurteile zu verringern | Kosten zu senken | Bewerber zu verlieren | Fotos zu sammeln | Reducir sesgos.
Q | Was zeigen erste Auswertungen? | Mehr Bewerber aus Minderheiten werden eingeladen. | Weniger Bewerber werden eingeladen. | Es ändert sich nichts. | Alle werden eingestellt. | Más invitaciones.
Q | Was geben Personalverantwortliche zu bedenken? | Diskriminierung könne später weitergehen. | Das Verfahren sei zu teuer. | Fotos seien wichtig. | Es gebe keine Bewerber. | Persistencia posterior.
Q | 'Vorurteile' sind | vorgefasste Meinungen | Vorteile | Urteile eines Gerichts | Fragen | Vorurteil = prejuicio.
Q | Der Text urteilt | vorsichtig | abfällig | euphorisch | gleichgültig | Prudente.
@@
@R Nach Jahren des Wachstums stagniert der Buchmarkt. Die Verlage klagen über steigende Papierpreise, während Leser zunehmend zu Hörbüchern greifen. Einige Häuser reagieren mit kleineren Auflagen und höherer Qualität. Buchhändler beobachten, dass gerade gut gestaltete Ausgaben als Geschenk gefragt sind, was Anlass zu vorsichtigem Optimismus gebe.
Q | Wie entwickelt sich der Buchmarkt? | Er stagniert. | Er wächst stark. | Er bricht zusammen. | Er verdoppelt sich. | Estancado.
Q | Wozu greifen Leser zunehmend? | zu Hörbüchern | zu Zeitungen | zu Comics | zu Magazinen | Audiolibros.
Q | Wie reagieren einige Verlage? | mit kleineren Auflagen und höherer Qualität | mit Preissenkungen | mit Schließung | mit Massenproduktion | Menos tirada, más calidad.
Q | Was ist als Geschenk gefragt? | gut gestaltete Ausgaben | Taschenbücher | E-Books | Zeitschriften | Ediciones cuidadas.
Q | 'Auflage' bedeutet | Anzahl gedruckter Exemplare | Rechnung | Regal | Buchrücken | Auflage = tirada.
@@
# listening
@L Moderatorin: Herr Krause, Sie leiten ein Start-up für Solartechnik. Wie war der Anfang? Herr Krause: Schwierig. Wir hatten eine gute Idee, aber kein Kapital. Erst als ein Investor uns vertraute, konnten wir die ersten Mitarbeiter einstellen.
Q | Was fehlte dem Start-up am Anfang? | Kapital | eine Idee | Mitarbeiter allein | ein Büro | Faltaba capital.
Q | Wann konnten sie Mitarbeiter einstellen? | nachdem ein Investor vertraute | sofort | nach zwei Jahren | nie | Cuando llegó un inversor.
Q | Womit befasst sich die Firma? | Solartechnik | Software | Mode | Autos | Tecnología solar.
Q | Herr Krause beschreibt den Anfang als | schwierig | leicht | langweilig | lustig | Difícil.
Q | Die Moderatorin | stellt Fragen | hält einen Vortrag | verkauft Produkte | ist Investorin | Entrevistadora.
@@
@L Frau: Hast du gehört, dass der Zug nach Hamburg ausfällt? Mann: Nein. Was ist passiert? Frau: Ein Baum ist auf die Gleise gestürzt. Es fährt ein Schienenersatzverkehr, aber der braucht fast doppelt so lange. Mann: Dann nehme ich lieber das Auto.
Q | Warum fällt der Zug aus? | Ein Baum liegt auf den Gleisen. | Streik | Ein Unfall | Schnee | Árbol en las vías.
Q | Was fährt stattdessen? | ein Schienenersatzverkehr | ein Flugzeug | ein Taxi | nichts | Servicio sustitutivo.
Q | Wie lange dauert der Ersatzverkehr? | fast doppelt so lange | halb so lange | gleich lang | drei Tage | Casi el doble.
Q | Was entscheidet der Mann? | das Auto zu nehmen | zu Hause zu bleiben | den Bus zu nehmen | zu warten | Coche.
Q | Wohin fährt der Zug? | nach Hamburg | nach Berlin | nach München | nach Köln | Hamburgo.
@@
@L Dozent: Die Digitalisierung verändert die Arbeitswelt tiefgreifend. Doch entgegen der verbreiteten Angst werden nicht nur Stellen abgebaut; es entstehen auch neue Berufe, für die es heute noch keine Bezeichnung gibt. Entscheidend ist daher die Fähigkeit, sich weiterzubilden.
Q | Was ist die Hauptaussage? | Man muss sich weiterbilden. | Alle Stellen verschwinden. | Die Digitalisierung ist harmlos. | Es gibt keine neuen Berufe. | Formación continua.
Q | Was entsteht neben dem Stellenabbau? | neue Berufe | neue Schulen | neue Städte | neue Gesetze | Nuevos empleos.
Q | 'tiefgreifend' bedeutet | grundlegend | oberflächlich | schnell | leise | Tiefgreifend = profundo.
Q | Die verbreitete Angst betrifft | Stellenabbau | Kosten | Wetter | Reisen | Miedo al desempleo.
Q | Der Dozent ist gegenüber der Digitalisierung | ausgewogen | ablehnend | begeistert ohne Vorbehalt | ängstlich | Equilibrado.
@@
@L Kundin: Guten Tag, ich habe diesen Toaster vor drei Wochen gekauft, und er funktioniert nicht mehr. Verkäufer: Haben Sie den Kassenbon dabei? Kundin: Ja, hier. Verkäufer: Dann können wir ihn umtauschen oder Ihnen das Geld erstatten. Kundin: Ich hätte gern das Geld zurück.
Q | Was ist mit dem Toaster? | Er funktioniert nicht mehr. | Er ist zu teuer. | Er ist zu groß. | Er ist gestohlen. | No funciona.
Q | Was braucht der Verkäufer? | den Kassenbon | die Verpackung | den Ausweis | die Garantiekarte allein | Ticket.
Q | Welche Möglichkeiten bietet er an? | Umtausch oder Erstattung | nur Reparatur | nichts | Gutschein allein | Cambio o reembolso.
Q | Was wählt die Kundin? | das Geld zurück | einen neuen Toaster | eine Reparatur | einen Gutschein | Reembolso.
Q | Seit wann hat sie den Toaster? | seit drei Wochen | seit drei Jahren | seit gestern | seit drei Monaten | Tres semanas.
@@
@L Sprecher: Guten Abend, meine Damen und Herren. In der Nacht ist mit Regen zu rechnen, im Bergland auch mit Schnee ab 1200 Metern. Morgen wird es zunächst neblig, im Tagesverlauf lockert die Bewölkung auf, und am Nachmittag scheint zeitweise die Sonne bei Höchstwerten um 14 Grad.
Q | Wo schneit es in der Nacht? | im Bergland ab 1200 Metern | überall | an der Küste | nirgends | Nieve en montaña.
Q | Wie beginnt der Morgen? | neblig | sonnig | stürmisch | heiß | Niebla.
Q | Was passiert am Nachmittag? | Zeitweise scheint die Sonne. | Es schneit. | Es stürmt. | Es regnet stark. | Sol intermitente.
Q | Wie hoch sind die Höchstwerte? | um 14 Grad | um 4 Grad | um 24 Grad | um 40 Grad | 14 grados.
Q | Der Text ist | ein Wetterbericht | ein Werbespot | ein Interview | eine Nachricht | Boletín meteorológico.
@@
@L Studentin: Ich schaffe die Hausarbeit nicht bis Freitag. Betreuer: Woran liegt es? Studentin: Ich habe mehr Quellen gefunden als erwartet und weiß nicht, wie ich sie einordnen soll. Betreuer: Das ist ein gutes Problem. Beschränken Sie sich auf die wichtigsten drei, und wir verlängern die Frist um eine Woche.
Q | Warum schafft die Studentin die Arbeit nicht? | Sie hat zu viele Quellen. | Sie ist krank. | Sie hat keine Quellen. | Sie hat keine Zeit. | Demasiadas fuentes.
Q | Was rät der Betreuer? | sich auf drei Quellen zu beschränken | mehr Quellen zu suchen | abzugeben | aufzugeben | Limitarse a tres.
Q | Wie lange verlängert er die Frist? | um eine Woche | um einen Monat | um einen Tag | gar nicht | Una semana.
Q | Das Problem nennt der Betreuer | ein gutes Problem | ein Desaster | unlösbar | peinlich | Buen problema.
Q | Die Hausarbeit ist fällig | bis Freitag | bis Montag | im Juni | morgen Nachmittag | Viernes.
@@
@L Reporter: Der Bürgermeister hat heute den Bau der neuen Brücke angekündigt. Die Kosten betragen rund 40 Millionen Euro. Kritiker bemängeln, das Geld fehle für Schulen. Der Bürgermeister entgegnet, dass die Brücke die Wirtschaft der ganzen Region beleben werde.
Q | Was hat der Bürgermeister angekündigt? | den Bau einer Brücke | den Abriss einer Brücke | eine Steuer | eine Wahl | Puente nuevo.
Q | Wie hoch sind die Kosten? | rund 40 Millionen Euro | 4 Millionen | 400 Millionen | 14 Millionen | 40 millones.
Q | Was bemängeln Kritiker? | Das Geld fehle für Schulen. | Die Brücke sei hässlich. | Die Brücke sei zu klein. | Es gebe keine Planung. | Falta dinero para escuelas.
Q | Wie verteidigt sich der Bürgermeister? | Die Brücke belebe die Wirtschaft. | Er schweigt. | Er streicht das Projekt. | Er verweist auf Schulen. | Beneficio económico.
Q | Der Text ist | eine Nachrichtenmeldung | ein Gedicht | eine Werbung | ein Brief | Noticia.
@@
@L Mutter: Wie war dein erster Tag im neuen Job? Tochter: Anstrengend, aber gut. Alle waren nett, und mein Chef hat mir gleich ein eigenes Projekt gegeben. Mutter: Schon am ersten Tag? Tochter: Ja, ich hatte ein bisschen Angst, aber es macht Spaß, so viel Verantwortung zu haben.
Q | Wie war der erste Tag? | anstrengend, aber gut | schlecht | langweilig | katastrophal | Cansado pero bueno.
Q | Was gab der Chef ihr? | ein eigenes Projekt | Urlaub | eine Prämie | eine Kündigung | Proyecto propio.
Q | Wie fühlte sie sich? | ein wenig ängstlich, aber froh | wütend | müde und traurig | gleichgültig | Miedo pero contenta.
Q | Die Kollegen waren | nett | unfreundlich | abwesend | streng | Amables.
Q | Wer spricht mit wem? | Tochter mit Mutter | Chef mit Mutter | Kollegin mit Chef | Freundin mit Freund | Madre e hija.
@@
@L Ärztin: Ihre Werte sind insgesamt gut, aber der Blutdruck ist etwas zu hoch. Ich würde vorschlagen, dass Sie mehr Bewegung in Ihren Alltag einbauen und das Salz reduzieren. In drei Monaten kontrollieren wir erneut, und falls sich nichts ändert, sprechen wir über Medikamente.
Q | Was ist zu hoch? | der Blutdruck | der Zucker | die Temperatur | das Gewicht | Presión arterial.
Q | Was soll der Patient tun? | mehr Bewegung, weniger Salz | Medikamente nehmen | nichts | im Bett bleiben | Ejercicio y menos sal.
Q | Wann ist die nächste Kontrolle? | in drei Monaten | in drei Tagen | in einem Jahr | morgen | Tres meses.
Q | Wann sprechen sie über Medikamente? | falls sich nichts ändert | sofort | nie | im nächsten Jahr | Si no cambia.
Q | Die Werte sind insgesamt | gut | schlecht | gefährlich | unklar | Buenos.
@@
@L Reisebüro: Ihr Flug nach Wien wurde leider gestrichen. Wir können Sie auf den Flug am Donnerstag umbuchen, oder Sie erhalten den vollen Preis zurück. Kunde: Donnerstag ist zu spät, ich habe am Mittwoch einen Termin. Reisebüro: Dann bleibt nur die Erstattung, und Sie müssten selbst einen neuen Flug buchen.
Q | Was ist mit dem Flug passiert? | Er wurde gestrichen. | Er wurde verspätet. | Er wurde vorverlegt. | Er wurde verkauft. | Cancelado.
Q | Was schlägt das Reisebüro vor? | Umbuchung oder Erstattung | Zugreise | Hotel | Gutschein | Cambio o reembolso.
Q | Warum passt Donnerstag nicht? | Der Kunde hat mittwochs einen Termin. | Er ist krank. | Er hat kein Geld. | Er fliegt nicht gern. | Cita el miércoles.
Q | Was bleibt am Ende? | die Erstattung | die Umbuchung | ein Gutschein | Entschädigung | Reembolso.
Q | Das Reiseziel ist | Wien | Berlin | Zürich | Prag | Viena.
@@
@L Trainer: Ihr habt in der ersten Halbzeit gut gespielt, aber ihr habt zu viele Bälle verloren. In der zweiten Hälfte müsst ihr ruhiger werden und die Räume besser nutzen. Kapitän: Und wenn sie hoch pressen? Trainer: Dann spielen wir lange Bälle auf die Flügel.
Q | Was lobt der Trainer? | die erste Halbzeit | die Abwehr | die Fans | das Wetter | Primer tiempo.
Q | Was kritisiert er? | zu viele Ballverluste | zu wenig Laufen | Streit | Verspätung | Pérdidas de balón.
Q | Was sollen die Spieler tun? | ruhiger werden | schneller rennen | hoch pressen | aufgeben | Calma.
Q | Was passiert, wenn der Gegner hoch presst? | lange Bälle auf die Flügel | Rückzug | Wechsel | Pause | Balones largos.
Q | Wer stellt die Frage? | der Kapitän | der Trainer | ein Fan | der Schiedsrichter | Capitán.
@@
@L Journalistin: Wie erklären Sie den Erfolg Ihrer Partei? Politikerin: Wir haben konkrete Lösungen angeboten, statt Ängste zu schüren. Journalistin: Aber Ihre Gegner sagen, Sie hätten kein Finanzierungskonzept. Politikerin: Das stimmt nicht. Es liegt auf dem Tisch, man muss es nur lesen.
Q | Wie erklärt die Politikerin den Erfolg? | konkrete Lösungen statt Ängste | Werbung | Glück | Geld | Soluciones concretas.
Q | Was werfen Gegner ihr vor? | kein Finanzierungskonzept | Lügen | Korruption | Untätigkeit | Sin plan de financiación.
Q | Wie reagiert sie? | Sie widerspricht. | Sie gibt zu. | Sie schweigt. | Sie geht. | Lo niega.
Q | Der Ton der Politikerin ist | selbstbewusst | ängstlich | gleichgültig | traurig | Segura.
Q | Was liegt 'auf dem Tisch'? | das Finanzierungskonzept | ein Vertrag | ein Buch | eine Rechnung | Plan disponible.
@@
@L Ansage: Sehr geehrte Fahrgäste, wegen einer Weichenstörung verspätet sich der ICE 574 nach München um etwa zwanzig Minuten. Wir bitten um Entschuldigung. Reisende nach Augsburg nutzen bitte den Regionalzug auf Gleis 7, der in fünf Minuten abfährt.
Q | Warum verspätet sich der ICE? | Weichenstörung | Streik | Unfall | Wetter | Avería de agujas.
Q | Wie lange dauert die Verspätung? | etwa zwanzig Minuten | zwei Stunden | fünf Minuten | eine Stunde | Veinte minutos.
Q | Wohin fährt der ICE? | nach München | nach Augsburg | nach Köln | nach Wien | Múnich.
