# gramatica
Q | 어제 늦게 자＿＿ 오늘 너무 피곤해요. | 서 | 려고 | 거든 | 도록 | 원인: -아/어서 (자서).
@R 내부 고발자를 더 잘 보호하기 위한 법안이 마련되었다. 이 법안은 익명을 보장하고 어떤 보복 조치도 금지한다. 시민단체들은 진일보라고 환영하지만, 먼저 상급자를 거치도록 한 절차는 아쉬워한다. 신원이 드러날까 두려워하는 사람들을 오히려 주저하게 할 수 있기 때문이다.
Q | 이 법안의 목적은? | 내부 고발자를 보호한다 | 처벌한다 | 월급을 준다 | 교육한다 | 보호.
Q | 이 법안이 보장하는 것은? | 익명 | 급여 | 평생 고용 | 상금 | 익명 보장.
Q | 시민단체가 아쉬워하는 것은? | 먼저 상급자를 거치는 절차 | 법의 부재 | 기간 | 비용 | 상급자 경유.
Q | 왜 그 절차가 문제입니까? | 신원이 드러날 수 있다. | 비싸다. | 길다. | 비밀이다. | 신원 노출 우려.
Q | ‘보복’의 뜻은? | 앙갚음 | 보상 | 조언 | 보고 | 보복 = represalia.
@@
@R 청소년의 수면 시간은 만성적으로 부족하다. 일부 고등학교처럼 수업 시작 시각을 한 시간 늦추면 출석률이 오르고 교통사고가 줄어든다. 반대하는 쪽은 시간표가 혼란스러워질 것을 걱정하지만 연구자들은 그 불편이 관찰된 이익에 비하면 크지 않다고 본다.
Q | 수업 시작을 늦추면 좋아지는 것은? | 출석률과 교통안전 | 성적만 | 월급 | 방학 | 출석·교통.
Q | 반대하는 쪽이 걱정하는 것은? | 시간표의 혼란 | 피로 | 비용 | 소음 | 시간표.
Q | 연구자들은 그 불편을 어떻게 봅니까? | 크지 않다 | 매우 크다 | 받아들일 수 없다 | 없다 | 미미.
Q | ‘만성적’의 뜻은? | 오랫동안 계속되는 | 갑작스러운 | 드문 | 새로운 | 만성 = crónico.
Q | 이 글의 결론은? | 이익이 불편보다 크다 | 그만두어야 한다 | 변화가 없다 | 수면은 필요 없다 | 이익 > 불편.
@@
@R 그 마을은 마지막 카페를 잃으면서 사람들이 만나던 곳도 잃었다. 주민들은 협회를 만들어 건물을 사들이고 함께 운영하고 있다. 카페의 이익은 크지 않지만 회장은 중요한 것은 돈이 아니라 서로 마주칠 수 있는 공간을 지키는 일이라고 강조한다.
Q | 마을이 잃은 것은? | 마지막 카페 | 학교 | 시청 | 역 | 카페.
Q | 카페를 어떻게 살렸습니까? | 주민 협회가 인수해서 | 시가 인수해서 | 회사가 인수해서 | 기부 덕분에 | 주민 협회.
Q | 회장이 강조한 것은? | 돈보다 만남의 공간 | 이익 | 폐업 | 매각 | 공간 보존.
Q | ‘마주치다’의 뜻은? | 우연히 만나다 | 싸우다 | 잃다 | 떠나다 | 마주치다 = cruzarse.
Q | 카페의 수익은? | 크지 않다 | 큰 적자 | 큰 흑자 | 없다 | 소박한 이익.
@@
@R 한 연구자는 벌의 감소가 농약 때문만은 아니라고 설명한다. 단일 작물 재배로 다양한 꽃이 사라져 균형 잡힌 먹이를 얻기 어렵다는 것이다. 꽃밭을 조성한 농가는 더 많은 곤충이 수분해 주기 때문에 수확량이 늘었다고 보고한다.
Q | 벌을 위협하는 또 다른 요인은? | 다양한 꽃의 부족 | 꽃이 너무 많음 | 비 | 꿀 | 꽃 다양성 부족.
Q | 단일 작물 재배의 결과는? | 균형 잡힌 먹이를 얻기 어렵다 | 먹이가 다양해진다 | 꿀이 늘어난다 | 꽃이 늘어난다 | 불균형.
Q | 꽃밭을 조성한 농가는? | 수확량이 늘었다 | 수확량이 줄었다 | 일이 늘었다 | 벌이 줄었다 | 수확 증가.
Q | 수확량이 늘어난 이유는? | 곤충이 수분해 주어서 | 비가 와서 | 비료가 많아서 | 밭이 커져서 | 수분.
Q | ‘수분’의 뜻은? | 꽃가루를 옮겨 열매를 맺게 함 | 물기 | 판매 | 측정 | 수분 = polinización.
@@
@R 재판은 극적인 반전 없이 끝났다. 법정에서 증인들이 하나같이 진술을 누그러뜨리면서 검찰의 주장은 기둥이 빠진 건물처럼 무너져 갔다. 판결은 누구도 놀라게 하지 못했고 피고인조차 마지막 재판 내내 천장만 바라보고 있었다.
Q | 재판은 어떻게 끝났습니까? | 극적인 반전 없이 | 극적으로 | 자백으로 | 소동으로 | 반전 없음.
Q | 증인들은 무엇을 했습니까? | 진술을 누그러뜨렸다 | 진술을 강화했다 | 도망갔다 | 소리쳤다 | 진술 완화.
Q | ‘기둥이 빠진 건물’은 무엇을 암시합니까? | 검찰의 주장이 근거를 잃음 | 건물이 튼튼함 | 비용이 큼 | 새 건물 | 근거 상실.
Q | 피고인의 태도가 암시하는 것은? | 판결을 예상했다 | 분노했다 | 놀랐다 | 결백했다 | 예상.
Q | ‘판결’의 뜻은? | 법원의 결정 | 연설 | 법 | 변론 | 판결 = sentencia.
@@
@R 한 도시계획가는 도시가 기계보다는 생태계에 가깝다고 본다. 각 부분은 누구도 계획하지 않은 방식으로 적응하고 경쟁하고 협력한다. 가장 성공한 동네는 계획을 조금만 세우고 주민이 즉흥적으로 꾸밀 여지를 남겨 둔 곳이라고 한다.
Q | 도시를 무엇에 비유합니까? | 생태계 | 기계 | 책 | 박물관 | 생태계.
Q | 가장 성공한 동네는? | 계획을 조금만 세운 곳 | 계획을 많이 세운 곳 | 오래된 곳 | 새로운 곳 | 소박한 계획.
Q | 주민에게 남기는 것은? | 즉흥적으로 꾸밀 여지 | 없음 | 명령 | 계획서 | 여지.
Q | ‘적응하다’의 뜻은? | 상황에 맞추다 | 떠나다 | 사라지다 | 명령하다 | 적응.
Q | 글의 주장은? | 도시는 계획으로만 설명되지 않는다 | 도시는 기계다 | 도시는 예측 가능하다 | 도시는 쓸모없다 | 생태계론.
@@
@R 스트리밍이 보편화되면서 음악을 발견하는 통로가 알고리즘으로 옮겨 갔다. 옹호하는 쪽은 민주화라고 말하고, 비판하는 쪽은 취향의 울타리에 갇힌다고 말한다. 최근 연구에 따르면 개인 맞춤 목록을 따르는 청취자는 자유롭게 찾는 청취자보다 훨씬 적은 장르를 들었다.
Q | 음악 발견은 어떻게 이루어집니까? | 알고리즘을 통해서 | 라디오로 | 평론가로 | 콘서트로 | 알고리즘.
Q | 비판하는 쪽의 주장은? | 취향의 울타리에 갇힌다 | 비싸다 | 접근이 어렵다 | 품질이 나쁘다 | 취향 한정.
Q | 연구는 무엇을 보여 줍니까? | 맞춤 목록 청취자가 더 적은 장르를 듣는다 | 모두 더 많이 듣는다 | 스트리밍이 무료다 | 라디오가 늘었다 | 장르 감소.
Q | ‘옹호하다’의 뜻은? | 편들어 지키다 | 반대하다 | 무시하다 | 팔다 | 옹호 = defender.
Q | 글은 어떻게 서술되었습니까? | 두 입장을 함께 소개한다 | 한 입장만 소개한다 | 광고다 | 시다 | 균형.
@@
@R 신문사 편집국장은 긴 호흡의 심층 보도를 옹호한다. 속보 경쟁에 맞서 발행 횟수를 줄이더라도 깊이 있는 취재를 내놓겠다는 것이다. 광고주도 신뢰할 만한 독자를 원한다고 그는 말한다. 반대편은 그런 모델이 후원에 기댄 극소수 매체에서만 가능하다고 반박한다.
Q | 편집국장이 옹호하는 것은? | 긴 호흡의 심층 보도 | 속보 | 광고 | 무료 | 심층.
Q | 그가 피하려는 것은? | 속보 경쟁 | 광고주 | 취재 | 독자 | 속보 경쟁.
Q | 반대편의 논거는? | 극소수 매체에서만 가능하다 | 비용이 적다 | 모두가 좋아한다 | 불법이다 | 소수 가능.
Q | ‘반박하다’의 뜻은? | 반대 의견을 말하다 | 무시하다 | 다시 치다 | 쓰다 | 반박.
Q | 편집국장이 말하는 광고주는? | 신뢰할 만한 독자를 원한다 | 속보를 원한다 | 무료를 원한다 | 관심 없다 | 신뢰 독자.
@@
@R 일상의 작은 물건들을 다룬 전시는 관람객에게 더 이상 눈에 들어오지 않던 것을 다르게 보라고 권한다. 숟가락, 단추, 열쇠 하나하나가 시대와 직업, 삶의 방식을 이야기한다. 큐레이터는 향수도 학식도 아닌 주의 깊은 시선을 바랐다고 밝힌다.
Q | 전시가 다루는 것은? | 일상의 작은 물건 | 그림 | 자동차 | 보석 | 일상 물건.
Q | 큐레이터가 바란 것은? | 주의 깊은 시선 | 향수 | 학식 | 충격 | 주의.
Q | 각 물건이 이야기하는 것은? | 시대와 삶의 방식 | 수수께끼 | 재판 | 여행 | 시대·삶.
Q | ‘큐레이터’는 어떤 사람입니까? | 전시를 기획하는 사람 | 의사 | 판사 | 가이드 | 큐레이터.
Q | 글의 어조는? | 차분하다 | 폭력적이다 | 코믹하다 | 서두른다 | 차분.
@@
@R 해수면이 상승하면서 일부 해안 도시는 주민을 이주시키는 방안을 검토하고 있다. 오랫동안 금기였던 이 생각은 점차 힘을 얻고 있다. 방파제를 유지하는 비용이 갈수록 늘고 효과는 줄기 때문이다. 이주 비용을 누가 부담할지, 마을 전체의 정체성을 어떻게 지킬지는 아직 남은 과제다.
Q | 일부 해안 도시가 검토하는 것은? | 주민 이주 | 방파제 건설 | 해변 폐쇄 | 땅 판매 | 이주.
Q | 이 생각이 힘을 얻는 이유는? | 방파제 유지 비용이 늘고 효과가 줄어서 | 비가 적어서 | 바다가 낮아져서 | 모두가 요구해서 | 비용·효과.
Q | 남은 과제는? | 이주 비용을 누가 부담할지 | 누가 방파제를 지을지 | 항구 건설 | 낚시 | 비용 부담.
Q | ‘금기’의 뜻은? | 하지 않기로 여겨진 것 | 인기 | 오래된 것 | 무료 | 금기 = tabú.
Q | ‘힘을 얻다’의 뜻은? | 더 지지를 받다 | 힘이 빠지다 | 사라지다 | 숨다 | 힘을 얻다 = ganar apoyo.
@@
@R 원격근무가 확산되면서 동료 사이의 관계도 달라졌다. 개인 업무의 효율은 올랐지만, 혁신의 밑거름이 되는 비공식적 대화는 줄어들었다. 사무실 복귀를 전면 강제하는 기업은 반감을 살 위험이 있고, 이를 포기하는 기업은 공동의 문화를 잃을 위험이 있다.
Q | 원격근무가 바꾼 것은? | 동료 사이의 관계 | 월급 | 시간표 | 교통 | 관계.
Q | 줄어든 것은? | 비공식적 대화 | 업무 | 회의 | 이메일 | 비공식 대화.
Q | 전면 복귀를 강제하면? | 반감을 살 위험이 있다 | 혁신이 는다 | 소음이 준다 | 원격근무가 는다 | 반감.
Q | 복귀를 포기한 기업이 잃을 위험이 있는 것은? | 공동의 문화 | 직원 | 돈 | 사무실 | 공동 문화.
Q | ‘밑거름’의 뜻은? | 바탕이 되는 것 | 비료가 아님 | 물 | 쓰레기 | 밑거름 = cimiento.
@@
@R 그 시인은 예전부터 시상식을 꺼렸다. 큰 상을 받게 되었다는 소식을 듣고 처음에는 농담인 줄 알았다가 참석하지 못한다고 사과했다. 그는 자기 대신 짧은 글을 읽게 했는데, 그 글에서 특히 “시를 품고 다녀 시가 살아 있게 해 주는 독자들”에게 감사를 전했다.
Q | 시인은 처음에 어떻게 반응했습니까? | 농담인 줄 알았다. | 기뻐했다. | 거절했다. | 울었다. | 농담으로 생각.
Q | 시상식 날 시인은 무엇을 했습니까? | 짧은 글을 대신 읽게 했다. | 참석했다. | 노래했다. | 책을 썼다. | 대독.
Q | 시인이 특히 감사한 대상은? | 독자들 | 심사위원 | 가족 | 출판사 | 독자.
Q | 시인의 시상식에 대한 태도는? | 늘 꺼렸다 | 열광적이었다 | 궁금해했다 | 두려워했다 | 꺼림.
Q | ‘꺼리다’의 뜻은? | 피하고 싶어 하다 | 좋아하다 | 알다 | 쓰다 | 꺼리다 = evitar.
@@
@R 정부는 저소득 지역의 학급당 학생 수를 줄이는 교육 개혁안을 내놓았다. 교사들은 환영하면서도 학급 규모가 전부는 아니라고 지적한다. 지속적인 연수와 교육 자재가 없다면 효과가 제한적일 것이라는 것이다. 장관은 지원을 약속했지만 구체적인 일정은 밝히지 않았다.
Q | 개혁안의 내용은? | 학급당 학생 수를 줄인다 | 방학을 늘린다 | 수업을 줄인다 | 새 시험 | 학급 규모 축소.
Q | 교사들의 반응은? | 환영하지만 단서를 단다 | 반발한다 | 무시한다 | 사직한다 | 환영·단서.
Q | 교사들이 더 필요하다고 하는 것은? | 지속적 연수와 교육 자재 | 학생 증가 | 수업 감소 | 처벌 | 연수·자재.
Q | 장관은 무엇을 약속했습니까? | 지원(일정은 불명확) | 없다 | 즉각 예산 | 사임 | 지원 약속.
Q | ‘제한적’의 뜻은? | 범위가 한정된 | 무한한 | 큰 | 빠른 | 제한적 = limitado.
@@
@R 몇 년간 성장하던 출판 시장이 정체 상태에 들어섰다. 출판사들은 종이값 상승과 오디오북과의 경쟁을 원인으로 꼽는다. 일부는 발행 부수를 줄이고 정성 들인 판본을 내놓는 전략을 택했는데, 선물용으로 수요가 높아 조심스러운 낙관론이 나온다.
Q | 출판 시장의 상황은? | 정체되어 있다 | 급성장한다 | 사라졌다 | 두 배가 되었다 | 정체.
Q | 출판사들이 꼽은 원인은? | 종이값 상승과 오디오북 | 텔레비전 | 날씨 | 정치 위기 | 종이값·오디오북.
Q | 일부 출판사의 전략은? | 발행 부수를 줄이고 정성 들인 판본을 낸다 | 가격을 낮춘다 | 광고 | 영화화 | 소량 고급.
Q | 마지막 태도는? | 조심스러운 낙관 | 완전한 비관 | 무관심 | 분노 | 신중한 낙관.
Q | ‘발행 부수’의 뜻은? | 인쇄된 책의 수 | 표 | 복권 | 책장 | 부수 = tirada.
@@
@R 여성 항해사가 단독 횡단 기록을 갈아치웠다. 비결을 묻자 그녀는 기술보다 인내를 꼽았다. 바다가 결정하도록 받아들이고 자신에게 달려 있지 않은 것을 통제하려는 마음을 내려놓는 것이라고 했다. 가장 힘들었던 것은 추위가 아니라 바람 없는 밤의 외로움이었다고 털어놓았다.
Q | 어떤 기록을 깼습니까? | 단독 횡단 | 경주 속도 | 잠수 | 도보 거리 | 단독 횡단.
Q | 기술보다 강조한 것은? | 인내 | 힘 | 운 | 돈 | 인내.
Q | 가장 힘들었던 것은? | 바람 없는 밤의 외로움 | 추위 | 굶주림 | 바람 | 외로움.
Q | 받아들여야 할 것은? | 바다가 결정하게 두는 것 | 모두 통제하는 것 | 이기는 것 | 포기하는 것 | 통제를 내려놓음.
Q | ‘내려놓다’는 여기서 무슨 뜻입니까? | 집착을 버리다 | 물건을 놓다 | 잊다 | 붙잡다 | 내려놓다 = soltar.
@@
@R 통계에 국적을 표기하는 문제를 두고 논쟁이 뜨겁다. 찬성하는 쪽은 차별 여부를 평가하는 도구가 될 수 있다고 본다. 반대하는 쪽은 용도가 왜곡될까 걱정한다. 전문가 위원회는 절충안으로 익명화된 자료를 연구자만 열람하게 하고 정기적으로 점검하자고 제안했다.
Q | 논쟁의 주제는? | 통계에 국적을 표기하는 문제 | 세금 | 학교 | 연금 | 국적 표기.
Q | 찬성하는 쪽의 이유는? | 차별을 평가하는 도구가 된다 | 위협이다 | 비용이다 | 정치적 이득이다 | 도구.
Q | 반대하는 쪽의 걱정은? | 용도가 왜곡될 수 있다 | 비용 | 오류 | 느림 | 왜곡.
Q | 위원회의 절충안은? | 익명 자료·연구자 열람·정기 점검 | 전면 금지 | 공개 | 포기 | 절충.
Q | ‘왜곡되다’의 뜻은? | 본래와 다르게 바뀌다 | 빨라지다 | 사라지다 | 금지되다 | 왜곡 = distorsión.
@@
@R 식당 주인은 6개월 동안 문을 닫아야 했다. 다시 문을 열면서 메뉴를 바꿔 가짓수를 줄이고 지역 재료를 쓰기 시작했다. 손님들은 처음에는 낯설어했지만 곧 새 방식을 받아들였다. 그녀는 오래 미뤄 오던 ‘단순화’를 위기가 강요한 셈이라고 말한다.
Q | 식당은 얼마나 문을 닫았습니까? | 6개월 | 2개월 | 1년 | 1주 | 6개월.
Q | 무엇을 바꿨습니까? | 메뉴 | 주소 | 이름 | 요리사 | 메뉴.
Q | 손님들의 반응은? | 처음엔 낯설어했으나 받아들였다 | 화를 냈다 | 무관심했다 | 떠났다 | 수용.
Q | 위기 덕분에 한 일은? | 단순화 | 확장 | 폐업 | 매각 | 단순화.
Q | ‘미루다’의 뜻은? | 나중으로 넘기다 | 거절하다 | 끌다 | 밀다 | 미루다 = posponer.
@@
@R 연구자들은 10년 동안 교외에 사는 여우 무리를 관찰했다. 시골의 여우와 달리 이들은 거의 이동하지 않았는데, 주택 주변에 먹이가 풍부하기 때문이다. 개체 수는 녹지보다 쓰레기 관리에 더 크게 좌우되는 것으로 보여, 개체 수 조절 전략을 다시 생각해야 한다는 지적이 나온다.
Q | 관찰 기간은? | 10년 | 1년 | 2년 | 20년 | 10년.
Q | 이 여우들이 이동하지 않은 이유는? | 먹이가 풍부해서 | 병들어서 | 장벽이 있어서 | 잠을 자서 | 먹이 풍부.
Q | 개체 수는 무엇에 좌우됩니까? | 쓰레기 관리 | 녹지 | 기후 | 사냥 | 쓰레기 관리.
Q | 이 결과가 요구하는 것은? | 조절 전략의 재검토 | 교육 개혁 | 건축 | 관광 | 재검토.
Q | ‘교외’의 뜻은? | 도시 바깥의 가까운 지역 | 도심 | 시골 | 바다 | 교외 = periferia.
@@
# listening
@L 기자: 태양광 스타트업을 운영하고 계신데, 처음에는 어땠습니까? 대표: 힘들었습니다. 좋은 아이디어는 있었지만 자본이 없었습니다. 한 투자자가 우리를 믿어 준 뒤에야 첫 직원을 뽑을 수 있었습니다.
Q | 처음에 부족했던 것은? | 자본 | 아이디어 | 고객 | 사무실 | 자본 부족.
Q | 직원을 뽑을 수 있게 된 때는? | 투자자가 믿어 준 뒤 | 바로 | 2년 뒤 | 끝내 못 했다 | 투자 후.
Q | 이 회사가 하는 일은? | 태양광 | 컴퓨터 | 옷 | 음식 | 태양광.
Q | 대표는 초기를 어떻게 말합니까? | 힘들었다 | 쉬웠다 | 지루했다 | 재미있었다 | 힘듦.
Q | 기자의 역할은? | 질문하는 것 | 파는 것 | 투자하는 것 | 경영하는 것 | 인터뷰.
@@
@L 여자: 부산 가는 기차가 취소됐다는 얘기 들었어? 남자: 아니, 무슨 일이야? 여자: 나무가 선로에 쓰러졌대. 대체 버스가 있긴 한데 시간이 거의 두 배가 걸린대. 남자: 그럼 나는 차를 가져갈게.
Q | 기차가 취소된 이유는? | 나무가 선로에 쓰러져서 | 파업 | 사고 | 눈 | 나무.
Q | 대신 운행하는 것은? | 대체 버스 | 비행기 | 택시 | 없음 | 대체 버스.
Q | 버스는 얼마나 걸립니까? | 거의 두 배 | 절반 | 같음 | 사흘 | 두 배.
Q | 남자는 어떻게 하기로 했습니까? | 차를 가져간다 | 집에 있는다 | 버스를 탄다 | 기다린다 | 자가용.
Q | 기차는 어디로 갑니까? | 부산 | 서울 | 대구 | 광주 | 부산.
@@
@L 교수: 디지털화는 일의 성격을 근본적으로 바꾸고 있습니다. 흔한 걱정과 달리 일자리가 없어지기만 하는 것은 아닙니다. 아직 이름조차 없는 새 직업이 생겨나기도 합니다. 그래서 평생 배우는 능력이 무엇보다 중요합니다.
Q | 교수가 강조하는 것은? | 평생 배우는 능력 | 모든 일자리가 사라진다 | 디지털화는 무해하다 | 새 직업은 없다 | 평생 학습.
Q | 일자리가 줄어드는 동시에 생기는 것은? | 새로운 직업 | 새 학교 | 새 법 | 새 도시 | 새 직업.
Q | ‘근본적으로’의 뜻은? | 뿌리부터 | 겉으로만 | 빠르게 | 천천히 | 근본적 = radical.
Q | 흔한 걱정은? | 일자리가 사라지는 것 | 비용 | 소음 | 여행 | 실업.
Q | 교수의 태도는? | 균형 잡혔다 | 적대적이다 | 순진하다 | 겁먹었다 | 균형.
@@
@L 손님: 안녕하세요. 이 토스터를 3주 전에 샀는데 작동이 안 돼요. 점원: 영수증 있으세요? 손님: 네, 여기 있어요. 점원: 그럼 교환해 드리거나 환불해 드릴 수 있습니다. 손님: 환불해 주세요.
Q | 문제는 무엇입니까? | 제품이 작동하지 않는다 | 너무 비싸다 | 너무 크다 | 도난당했다 | 고장.
Q | 점원이 요구한 것은? | 영수증 | 포장 | 신분증 | 보증서만 | 영수증.
Q | 점원이 제안한 방법은? | 교환 또는 환불 | 수리만 | 없다 | 상품권 | 교환·환불.
Q | 손님이 선택한 것은? | 환불 | 새 제품 | 수리 | 상품권 | 환불.
Q | 손님이 산 지 얼마나 되었습니까? | 3주 | 3년 | 어제 | 3달 | 3주.
@@
@L 아나운서: 안녕하십니까. 오늘 밤 전국에 비가 오겠고, 해발 1,200미터 이상의 산지에는 눈이 내리겠습니다. 내일 아침에는 안개가 끼겠으나 낮부터 구름이 걷히면서 오후에는 간간이 해가 나겠고, 낮 최고 기온은 14도 안팎이 되겠습니다.
Q | 산지에 눈이 오는 곳은? | 해발 1,200미터 이상 | 전국 | 해안 | 없음 | 고지대.
Q | 내일 아침 날씨는? | 안개 | 맑음 | 천둥 | 더움 | 안개.
Q | 내일 오후 날씨는? | 간간이 해가 난다 | 눈이 온다 | 폭풍 | 폭우 | 간간이 해.
Q | 내일 낮 최고 기온은? | 14도 안팎 | 4도 | 24도 | 40도 | 14도.
Q | 이 방송은 무엇입니까? | 일기 예보 | 광고 | 인터뷰 | 기사 | 예보.
@@
@L 학생: 금요일까지 졸업 논문을 제출하지 못할 것 같아요. 지도교수: 왜요? 학생: 자료를 예상보다 많이 찾았는데 정리를 어떻게 해야 할지 모르겠어요. 지도교수: 좋은 문제네요. 핵심 세 개만 골라서 쓰세요. 마감은 일주일 늦춰 드릴게요.
Q | 학생이 제출하지 못하는 이유는? | 자료가 너무 많아서 | 아파서 | 자료가 없어서 | 시간이 없어서 | 자료 과다.
Q | 교수의 조언은? | 핵심 세 개만 고르라 | 더 찾으라 | 포기하라 | 다시 쓰라 | 세 개.
Q | 마감은 얼마나 미뤄집니까? | 일주일 | 한 달 | 하루 | 안 미룸 | 일주일.
Q | 교수는 문제를 어떻게 부릅니까? | 좋은 문제 | 재앙 | 해결 불가 | 곤란한 문제 | 좋은 문제.
Q | 원래 마감은? | 금요일 | 월요일 | 6월 | 내일 | 금요일.
@@
@L 기자: 시장은 오늘 새 다리 건설 계획을 발표했습니다. 사업비는 약 400억 원입니다. 반대하는 시민들은 학교 예산이 부족한 상황에서 낭비라고 비판하지만, 시장은 이 다리가 지역 경제 전체를 살릴 것이라고 답했습니다.
Q | 시장이 발표한 것은? | 새 다리 건설 | 다리 철거 | 세금 | 선거 | 다리.
Q | 사업비는? | 약 400억 원 | 40억 원 | 4,000억 원 | 140억 원 | 400억.
Q | 반대하는 사람들의 비판은? | 학교 예산이 부족한데 낭비다 | 못생겼다 | 크다 | 계획이 없다 | 낭비.
Q | 시장의 해명은? | 지역 경제를 살릴 것이다 | 침묵한다 | 취소한다 | 학교를 언급한다 | 경제 효과.
Q | 이 글은 무엇입니까? | 뉴스 | 시 | 광고 | 편지 | 뉴스.
@@
@L 엄마: 첫 출근 어땠어? 딸: 힘들었지만 좋았어요. 다들 친절했고 팀장님이 벌써 프로젝트도 하나 맡겨 주셨어요. 엄마: 첫날부터? 딸: 네, 조금 겁이 나긴 했는데 책임을 이렇게 맡는 게 오히려 재미있어요.
Q | 첫날은 어땠습니까? | 힘들었지만 좋았다 | 나빴다 | 지루했다 | 최악이었다 | 힘들지만 좋음.
Q | 팀장이 맡긴 것은? | 프로젝트 | 휴가 | 상 | 해고 | 프로젝트.
Q | 딸의 기분은? | 조금 겁이 나지만 즐겁다 | 화난다 | 슬프다 | 무관심 | 걱정 반 기쁨 반.
Q | 동료들은 어땠습니까? | 친절했다 | 차가웠다 | 없었다 | 엄했다 | 친절.
Q | 누가 누구와 대화합니까? | 딸과 엄마 | 팀장과 엄마 | 동료 둘 | 친구 둘 | 모녀.
@@
@L 의사: 검사 결과는 대체로 좋은데 혈압이 조금 높습니다. 운동을 더 하시고 소금 섭취를 줄이세요. 3개월 뒤에 다시 검사하고, 그때도 변화가 없으면 약 처방을 이야기해 봅시다.
Q | 조금 높은 것은? | 혈압 | 혈당 | 체온 | 체중 | 혈압.
Q | 환자가 해야 할 일은? | 운동을 늘리고 소금을 줄인다 | 약을 먹는다 | 아무것도 안 한다 | 누워 있는다 | 운동·소금.
Q | 다음 검사는 언제입니까? | 3개월 뒤 | 3일 뒤 | 1년 뒤 | 내일 | 3개월.
Q | 약 처방은 언제 이야기합니까? | 변화가 없으면 | 바로 | 절대 안 함 | 내년 | 조건부.
Q | 검사 결과는 대체로 어떻습니까? | 좋다 | 나쁘다 | 위험하다 | 불확실하다 | 좋음.
@@
@L 여행사: 손님이 예약하신 빈 행 비행기가 취소되었습니다. 목요일 항공편으로 옮겨 드리거나 전액 환불해 드릴 수 있습니다. 손님: 목요일은 너무 늦어요. 수요일에 약속이 있거든요. 여행사: 그렇다면 환불만 가능하고 다른 항공편은 직접 예약하셔야 합니다.
Q | 비행기에 무슨 일이 생겼습니까? | 취소되었다 | 지연되었다 | 앞당겨졌다 | 팔렸다 | 취소.
Q | 여행사의 제안은? | 변경 또는 환불 | 기차 | 호텔 | 상품권 | 변경·환불.
Q | 목요일이 안 되는 이유는? | 수요일에 약속이 있어서 | 아파서 | 돈이 없어서 | 비행이 싫어서 | 수요일 약속.
Q | 결국 남는 방법은? | 환불 | 변경 | 상품권 | 보상금 | 환불.
Q | 손님이 가려는 곳은? | 빈 | 베를린 | 취리히 | 프라하 | 빈(비엔나).
@@
@L 감독: 전반전에는 잘했는데 공을 너무 많이 뺏겼어요. 후반에는 좀 더 침착하게 공간을 활용해야 합니다. 주장: 상대가 높이 압박하면 어떻게 하죠? 감독: 그럼 긴 패스로 측면을 노립시다.
Q | 감독이 칭찬한 것은? | 전반전 | 수비 | 응원 | 잔디 | 전반.
Q | 감독이 지적한 것은? | 공을 너무 많이 뺏긴 것 | 뛰지 않은 것 | 싸움 | 지각 | 볼 로스트.
Q | 선수들이 해야 할 일은? | 침착해지기 | 더 뛰기 | 압박하기 | 포기하기 | 침착.
Q | 상대가 높이 압박하면? | 긴 패스로 측면 공략 | 후퇴 | 교체 | 정지 | 롱볼.
Q | 질문을 한 사람은? | 주장 | 감독 | 관중 | 심판 | 주장.
@@
@L 기자: 당의 성과를 어떻게 설명하시겠습니까? 장관: 두려움을 부추기는 대신 구체적인 해법을 제시했기 때문입니다. 기자: 상대 당은 재원 조달 계획이 없다고 합니다. 장관: 사실이 아닙니다. 계획은 이미 공개되어 있으니 읽어 보시기만 하면 됩니다.
Q | 장관이 설명한 성공 이유는? | 구체적인 해법 제시 | 운 | 돈 | 광고 | 구체적 해법.
Q | 상대 당이 비판한 것은? | 재원 조달 계획이 없다 | 거짓말 | 부패 | 무능 | 재원 계획.
Q | 장관의 반응은? | 부인한다 | 인정한다 | 침묵한다 | 떠난다 | 부인.
Q | 장관의 어조는? | 자신 있다 | 겁먹었다 | 무관심하다 | 슬프다 | 확신.
Q | ‘공개되어 있다’는 것은 무엇을 말합니까? | 계획이 이미 알려져 있다 | 계약서 | 책 | 청구서 | 공개.
@@
@L 안내 방송: 승객 여러분께 안내 말씀 드립니다. 신호 장치 고장으로 부산행 KTX 574호가 약 20분 늦게 출발합니다. 불편을 드려 죄송합니다. 대전에 가시는 승객께서는 7번 승강장의 무궁화호를 이용해 주시기 바랍니다. 5분 후에 출발합니다.
Q | KTX가 늦는 이유는? | 신호 장치 고장 | 파업 | 사고 | 날씨 | 신호 고장.
Q | 지연 시간은? | 약 20분 | 2시간 | 5분 | 1시간 | 20분.
Q | 이 KTX의 목적지는? | 부산 | 대전 | 서울 | 광주 | 부산.
Q | 대전에 가는 승객이 해야 할 일은? | 7번 승강장의 무궁화호를 탄다 | 기다린다 | 택시를 탄다 | KTX를 탄다 | 무궁화호.
Q | 무궁화호는 언제 출발합니까? | 5분 후 | 1시간 후 | 지금 | 안 간다 | 5분.
@@
