# gramatica
Q | Espero que você ＿＿ bem na prova. | vá | vai | irá | iria | Após esperar que: subjuntivo presente.
Q | O que a exposição apresenta? | objetos do cotidiano | quadros | carros | joias | Objetos cotidianos.
Q | O que o curador quer despertar? | atenção | nostalgia | erudição | choque | Atención.
Q | O que cada objeto conta? | uma época e um modo de viver | um mistério | um processo | uma viagem | Época.
Q | « Curador » indica aqui | quem organiza a exposição | um médico | um juiz | um guia | Comisario.
Q | O tom é | sereno | violento | cômico | apressado | Sosegado.
@@
@R Diante da elevação do nível do mar, alguns municípios litorâneos consideram transferir seus moradores. A ideia, por muito tempo tabu, ganha terreno: manter diques custa cada vez mais e sua eficácia diminui. Resta saber quem financiará a realocação e como preservar a identidade de vilarejos inteiros.
Q | O que consideram alguns municípios? | transferir os moradores | construir diques | fechar as praias | vender terrenos | Reubicar.
Q | Por que a ideia ganha terreno? | Os diques custam e perdem eficácia. | Chove menos. | O mar baixa. | Todos pedem. | Costes crecientes.
Q | Que questão continua em aberto? | quem financiará a realocação | quem construirá os diques | onde construir portos | quem pescará | Financiación.
Q | « Tabu » significa | assunto que se evita | popular | antigo | gratuito | Tabú.
Q | « Ganhar terreno » significa | avançar | perder | recuar | desaparecer | Ganar terreno.
@@
@R A socióloga observa que o trabalho remoto mudou as relações entre colegas. Se as tarefas individuais ganham eficiência, as trocas informais, que alimentam a inovação, rareiam. Empresas que impõem o retorno total ao escritório correm o risco de gerar ressentimento, enquanto as que abrem mão dele perdem uma cultura comum.
Q | O que o trabalho remoto mudou? | as relações entre colegas | os salários | os horários | os transportes | Relaciones.
Q | O que rareia? | as trocas informais | as tarefas | as reuniões | os e-mails | Intercambios informales.
Q | Que risco há no retorno total? | ressentimento | mais inovação | menos barulho | mais home office | Resentimiento.
Q | O que perdem as que abrem mão dele? | uma cultura comum | funcionários | dinheiro | escritórios | Cultura común.
Q | « Rarear » significa | tornar-se menos frequente | aumentar | mudar | aparecer | Rarefacerse.
@@
@R O poeta sempre recusou cerimônias. Quando lhe anunciaram o grande prêmio, achou que era brincadeira e depois pediu desculpas por não poder comparecer. Mandou ler um texto curto em seu lugar, em que agradece sobretudo aos leitores, « os que fazem um poema viver ao carregá-lo consigo ».
Q | Como o poeta reagiu no início? | Achou que era brincadeira. | Exultou. | Recusou. | Chorou. | Broma.
Q | O que fez no dia da cerimônia? | Mandou ler um texto. | Compareceu. | Cantou. | Escreveu um livro. | Texto leído.
Q | A quem agradece sobretudo? | aos leitores | ao júri | à família | aos editores | Lectores.
Q | A atitude dele em relação às cerimônias é | de recusa constante | de entusiasmo | de curiosidade | de medo | Rechazo.
Q | « Brincadeira » significa | piada | prêmio | poema | ordem | Broma.
@@
@R A reforma da escola prevê reduzir o número de alunos por turma nas áreas desfavorecidas. Os professores comemoram, mas lembram que o tamanho da turma não basta: sem formação continuada e recursos materiais, os benefícios serão limitados. O ministro promete apoio, sem precisar prazos.
Q | O que prevê a reforma? | turmas menores | mais férias | menos aulas | um novo exame | Menos alumnos.
Q | Como reagem os professores? | Comemoram com ressalvas. | Protestam. | Ignoram. | Pedem demissão. | Con reservas.
Q | O que falta, segundo eles? | formação continuada e recursos | mais alunos | menos horas | sanções | Formación y medios.
Q | O que promete o ministro? | apoio sem prazos definidos | nada | verbas imediatas | demissão | Sin fecha.
Q | « Comemorar » significa aqui | celebrar | reclamar | desconfiar | zombar | Celebrar.
@@
@R Depois de anos de crescimento, o mercado editorial estagnou. As editoras apontam o aumento do preço do papel e a concorrência dos audiolivros. Algumas apostam em tiragens menores e edições cuidadas, muito procuradas como presente, o que autoriza um otimismo cauteloso.
Q | Como evolui o mercado editorial? | estagnou | explodiu | desapareceu | dobrou | Estancado.
Q | O que apontam as editoras? | preço do papel e audiolivros | a televisão | a chuva | a crise política | Papel y audiolibros.
Q | Em que algumas apostam? | tiragens menores e edições cuidadas | preços baixos | publicidade | filmes | Tiradas cortas.
Q | Qual é a atitude final? | um otimismo cauteloso | pessimismo total | indiferença | raiva | Prudente.
Q | « Tiragem » indica | o número de exemplares impressos | um bilhete | uma loteria | uma estante | Tirada.
@@
@R A velejadora quebrou o recorde de travessia solitária. Perguntada sobre o segredo, fala menos da técnica que da paciência: aceitar que o mar decide, renunciar a controlar o que não depende de si. Confessa que a maior dificuldade não foi o frio, mas a solidão das noites sem vento.
Q | Que recorde ela quebrou? | travessia solitária | velocidade em regata | mergulho | distância a pé | Travesía.
Q | O que destaca mais que a técnica? | a paciência | a força | a sorte | o dinheiro | Paciencia.
Q | Qual foi a maior dificuldade? | a solidão das noites sem vento | o frio | a fome | o medo do vento | Soledad.
Q | O que é preciso aceitar? | que o mar decide | controlar tudo | vencer | desistir | El mar decide.
Q | « Renunciar a » significa | abrir mão de | escolher | pedir | copiar | Renunciar.
@@
@R O debate sobre a inclusão da nacionalidade nas estatísticas é acalorado. Os favoráveis veem nisso um instrumento para avaliar discriminações; os contrários temem usos indevidos. Um comitê de especialistas sugere um meio-termo: dados anonimizados, acessíveis apenas a pesquisadores, com controles periódicos.
Q | Qual é o tema do debate? | a nacionalidade nas estatísticas | os impostos | a escola | as aposentadorias | Estadísticas.
Q | O que veem os favoráveis? | um instrumento contra discriminações | uma ameaça | um custo | um ganho político | Herramienta.
Q | O que temem os contrários? | usos indevidos | custos | erros | lentidão | Usos indebidos.
Q | O que sugere o comitê? | dados anonimizados e controlados | proibição total | publicação aberta | abandono | Compromiso.
Q | « Indevidos » significa | inadequados | rápidos | perdidos | proibidos | Indebidos.
@@
@R A dona do restaurante precisou fechar por seis meses. Na reabertura, mudou o cardápio: menos pratos, mas produtos locais. Os clientes, diz ela, primeiro estranharam, depois aderiram ao novo formato. Acredita que a crise a obrigou a fazer o que adiava havia anos: simplificar.
Q | Por quanto tempo fechou? | seis meses | dois meses | um ano | uma semana | Seis meses.
Q | O que mudou? | o cardápio | o endereço | o nome | o chef | Menú.
Q | Como reagiram os clientes? | Estranharam, depois aderiram | Ficaram bravos | Ficaram indiferentes | Foram embora | Sorpresa y aceptación.
Q | O que fez graças à crise? | simplificar | ampliar | fechar | vender | Simplificar.
Q | « Adiar » significa aqui | deixar para depois | rejeitar | atrair | empurrar | Postergar.
@@
@R Pesquisadores observaram durante dez anos um grupo de raposas que vivem na periferia. Ao contrário das primas do campo, elas se deslocam pouco, pois há comida em abundância perto das casas. O número delas dependeria mais da gestão do lixo que dos espaços verdes, o que convida a repensar as estratégias de controle.
Q | Quanto durou a observação? | dez anos | um ano | dois anos | vinte anos | Diez años.
Q | Por que essas raposas se deslocam pouco? | Há comida em abundância. | Estão doentes. | Há barreiras. | Dormem. | Comida abundante.
Q | Do que depende o número delas? | da gestão do lixo | dos espaços verdes | do clima | da caça | Residuos.
Q | O que os resultados convidam a repensar? | as estratégias de controle | a educação | a arquitetura | o turismo | Regulación.
Q | « Periferia » indica | a área afastada do centro | o centro | o campo | o mar | Periferia.
@@
# listening
@L Jornalista: Você dirige uma startup de energia solar. Como foi o começo? Diretor: Difícil. Tínhamos uma boa ideia, mas nenhum capital. Só quando um investidor confiou em nós pudemos contratar os primeiros funcionários.
Q | O que faltava no começo? | capital | uma ideia | clientes | um escritório | Falta de capital.
Q | Quando puderam contratar? | depois que um investidor confiou | imediatamente | nunca | depois de dois anos | Con inversor.
Q | Com o que a empresa trabalha? | energia solar | informática | moda | alimentos | Solar.
Q | Como o diretor descreve o começo? | difícil | fácil | chato | divertido | Difícil.
Q | Qual é o papel da jornalista? | fazer perguntas | vender | investir | dirigir | Entrevista.
@@
@L Ela: Soube que o trem para Curitiba foi cancelado? Ele: Não, o que aconteceu? Ela: Uma árvore caiu nos trilhos. Há um ônibus substituto, mas demora quase o dobro do tempo. Ele: Então vou de carro.
Q | Por que o trem foi cancelado? | Uma árvore caiu nos trilhos. | Greve | Acidente | Neve | Árbol.
Q | O que há no lugar? | um ônibus substituto | um avião | um táxi | nada | Autobús.
Q | Quanto tempo leva o ônibus? | quase o dobro | metade | o mesmo | três dias | Casi el doble.
Q | O que ele decide? | ir de carro | ficar | pegar o ônibus | esperar | Coche.
Q | Para onde vai o trem? | Curitiba | São Paulo | Recife | Salvador | Curitiba.
@@
@L Professor: A digitalização transforma o trabalho em profundidade. Ao contrário de um medo difundido, empregos desaparecem, mas outros surgem, em ofícios que ainda não têm nome. O essencial é saber se atualizar ao longo da vida.
Q | Qual é a mensagem principal? | É preciso se atualizar sempre. | Todos os empregos somem. | A digitalização não tem efeitos. | Não surgem novos ofícios. | Formación continua.
Q | O que surge ao lado das perdas? | novos ofícios | novas escolas | novas leis | novas cidades | Nuevos empleos.
Q | « Em profundidade » significa | de modo radical | superficialmente | rapidamente | devagar | Profundamente.
Q | Qual é o medo difundido? | o desaparecimento de empregos | o custo | o barulho | as viagens | Miedo.
Q | A atitude do professor é | equilibrada | hostil | ingênua | temerosa | Equilibrado.
@@
@L Cliente: Bom dia, comprei esta torradeira há três semanas e ela parou de funcionar. Vendedor: A senhora está com a nota fiscal? Cliente: Sim, aqui está. Vendedor: Então podemos trocar ou devolver o dinheiro. Cliente: Prefiro a devolução.
Q | Qual é o problema? | O aparelho não funciona. | É caro demais. | É grande demais. | Foi roubado. | No funciona.
Q | O que pede o vendedor? | a nota fiscal | a embalagem | o documento | só a garantia | Ticket.
Q | Que opções ele oferece? | troca ou devolução do dinheiro | só conserto | nada | vale-compras | Cambio o reembolso.
Q | O que escolhe a cliente? | a devolução | um aparelho novo | um conserto | um vale | Reembolso.
Q | Desde quando tem o aparelho? | há três semanas | há três anos | desde ontem | há três meses | Tres semanas.
@@
@L Locutor: Boa noite. Durante a madrugada choverá em todo o país, com neve acima de 1.200 metros. Amanhã, manhã com neblina; as nuvens se dissiparão ao longo do dia e à tarde haverá sol por períodos, com máxima em torno de 14 graus.
Q | Onde nevará de madrugada? | acima de 1.200 metros | em todo lugar | no litoral | em lugar nenhum | Nieve en altura.
Q | Como será a manhã? | com neblina | ensolarada | com tempestades | quente | Neblina.
Q | O que acontece à tarde? | Haverá sol por períodos. | Vai nevar. | Haverá tempestade. | Vai chover forte. | Sol intermitente.
Q | Qual é a temperatura máxima? | 14 graus | 4 graus | 24 graus | 40 graus | 14.
Q | Que tipo de texto é? | previsão do tempo | propaganda | entrevista | artigo | Boletín.
@@
@L Aluna: Não vou conseguir entregar a monografia na sexta. Orientador: Por quê? Aluna: Achei mais fontes do que o previsto e não sei como organizá-las. Orientador: É um bom problema. Fique com as três principais e prorrogamos o prazo em uma semana.
Q | Por que não consegue entregar? | Tem fontes demais. | Está doente. | Não tem fontes. | Não tem tempo. | Demasiadas fuentes.
Q | O que aconselha o orientador? | ficar com três fontes | procurar mais | desistir | refazer tudo | Tres fuentes.
Q | Em quanto prorroga o prazo? | uma semana | um mês | um dia | nada | Una semana.
Q | Como chama o problema? | um bom problema | um desastre | insolúvel | constrangedor | Buen problema.
Q | Para quando era a entrega? | sexta | segunda | junho | amanhã | Viernes.
@@
@L Repórter: O prefeito anunciou hoje a construção de uma nova ponte, de quarenta milhões de reais. Opositores denunciam desperdício enquanto faltam verbas nas escolas. O prefeito responde que a ponte vai dinamizar toda a região.
Q | O que anunciou o prefeito? | a construção de uma ponte | a demolição de uma ponte | um imposto | eleições | Puente.
Q | Quanto custa? | quarenta milhões de reais | quatro milhões | quatrocentos milhões | quatorze milhões | 40 M.
Q | O que denunciam os opositores? | desperdício enquanto faltam verbas nas escolas | a feiura | o tamanho | a falta de plano | Falta dinero escuelas.
Q | Como se defende o prefeito? | A ponte dinamizará a região. | Ele se cala. | Cancela. | Cita as escolas. | Beneficio económico.
Q | Que tipo de texto é? | uma notícia | um poema | uma propaganda | uma carta | Noticia.
@@
@L Mãe: Como foi o primeiro dia? Filha: Cansativo, mas bom. Todo mundo foi legal e o chefe já me deu um projeto. Mãe: No primeiro dia? Filha: É, fiquei com um pouco de medo, mas é bom ter tanta responsabilidade.
Q | Como foi o primeiro dia? | cansativo, mas bom | ruim | chato | catastrófico | Cansado pero bien.
Q | O que o chefe lhe deu? | um projeto | férias | um prêmio | uma demissão | Proyecto.
Q | Como ela se sente? | um pouco receosa, mas contente | com raiva | triste | indiferente | Miedo y alegría.
Q | Os colegas foram | legais | frios | ausentes | severos | Amables.
Q | Quem fala com quem? | a filha com a mãe | o chefe com a mãe | dois colegas | dois amigos | Madre e hija.
@@
@L Médico: Os exames estão bons no geral, mas a pressão está um pouco alta. Recomendo se movimentar mais e reduzir o sal. Em três meses refazemos o controle e, se nada mudar, falamos de medicamentos.
Q | O que está alto? | a pressão | o açúcar | a temperatura | o peso | Presión.
Q | O que o paciente deve fazer? | se movimentar mais e reduzir o sal | tomar remédios | nada | ficar na cama | Ejercicio y sal.
Q | Quando será o próximo controle? | em três meses | em três dias | em um ano | amanhã | Tres meses.
Q | Quando falarão de medicamentos? | se nada mudar | já | nunca | ano que vem | Si no cambia.
Q | Os exames estão, no geral, | bons | ruins | perigosos | incertos | Buenos.
@@
@L Agência: Seu voo para Lisboa foi cancelado. Podemos transferi-lo para o de quinta ou reembolsá-lo integralmente. Cliente: Quinta é tarde demais, tenho um compromisso na quarta. Agência: Então só resta o reembolso, e o senhor terá de comprar outro voo por conta própria.
Q | O que aconteceu com o voo? | Foi cancelado. | Foi atrasado. | Foi antecipado. | Foi vendido. | Cancelado.
Q | O que propõe a agência? | transferência ou reembolso | trem | hotel | vale | Cambio o reembolso.
Q | Por que quinta não serve? | O cliente tem compromisso na quarta. | Está doente. | Não tem dinheiro. | Não gosta de voar. | Cita el miércoles.
Q | O que sobra no fim? | o reembolso | a transferência | um vale | uma indenização | Reembolso.
Q | Para onde vai o cliente? | para Lisboa | para Berlim | para Zurique | para Praga | Lisboa.
@@
@L Técnico: Vocês jogaram bem no primeiro tempo, mas perderam bolas demais. Precisam ficar mais calmos e aproveitar melhor os espaços. Capitão: E se eles pressionarem alto? Técnico: Aí jogamos em bola longa para as laterais.
Q | O que o técnico elogia? | o primeiro tempo | a defesa | a torcida | o gramado | Primer tiempo.
Q | O que critica? | bolas perdidas demais | pouca corrida | brigas | atrasos | Pérdidas.
Q | O que os jogadores devem fazer? | ficar mais calmos | correr mais | pressionar alto | desistir | Calma.
Q | O que fazer se o adversário pressionar alto? | bola longa para as laterais | recuar | trocar | parar | Balones largos.
Q | Quem faz a pergunta? | o capitão | o técnico | um torcedor | o árbitro | Capitán.
@@
@L Jornalista: Como a senhora explica o sucesso do seu partido? Ministra: Apresentamos soluções concretas em vez de atiçar medos. Jornalista: Os adversários dizem que vocês não têm plano de financiamento. Ministra: Isso é falso. Está na mesa, basta ler.
Q | Como explica o sucesso? | com soluções concretas | com sorte | com dinheiro | com propaganda | Soluciones.
Q | O que dizem os adversários? | que não há plano de financiamento | que mente | que há corrupção | que há inércia | Falta de plan.
Q | Como reage a ministra? | Desmente. | Admite. | Cala-se. | Vai embora. | Lo niega.
Q | O tom da ministra é | seguro | temeroso | indiferente | triste | Seguro.
Q | O que está « na mesa »? | o plano de financiamento | um contrato | um livro | uma fatura | Plan.
@@
@L Aviso: Senhores passageiros, devido a uma falha nos desvios, o trem 574 com destino a Campinas circula com cerca de vinte minutos de atraso. Pedimos desculpas. Quem vai para Jundiaí deve usar o trem regional da plataforma 7, que parte em cinco minutos.
Q | Por que o trem atrasa? | uma falha nos desvios | greve | acidente | clima | Avería.
Q | Qual é o atraso? | cerca de vinte minutos | duas horas | cinco minutos | uma hora | Veinte minutos.
Q | Para onde vai o trem? | Campinas | Jundiaí | São Paulo | Santos | Campinas.
Q | O que devem fazer os que vão a Jundiaí? | usar o regional da plataforma 7 | esperar | pegar um táxi | pegar o trem 574 | Regional.
Q | Quando parte o regional? | em cinco minutos | em uma hora | agora | nunca | Cinco minutos.
@@
@L Vizinho: Queria reclamar do barulho. Ontem teve festa até as três da manhã. Vizinha: Sinto muito. Era aniversário do meu filho, não pensamos que se ouvisse tanto. Vizinho: Entendo, mas não pode se repetir. Vizinha: Claro, vou avisar todo mundo.
Q | De que o vizinho reclama? | do barulho | do lixo | do estacionamento | do aluguel | Ruido.
Q | Por que havia festa? | aniversário do filho | casamento | Ano-Novo | mudança | Cumpleaños.
Q | Como reage a vizinha? | Pede desculpas. | Fica brava. | Nega. | Ri. | Se disculpa.
Q | O que pede o vizinho? | que não se repita | dinheiro | uma queixa | uma mudança | No repetir.
Q | Até que horas durou a festa? | até as três | até as dez | até meia-noite | até as cinco | Tres.
@@
@L Professora: A mudança climática não é um problema do futuro, mas do presente. Os fenômenos extremos se multiplicam, as colheitas sofrem, as costas estão ameaçadas. Não se pode detê-la por completo, mas cada décimo de grau a menos reduz sensivelmente as consequências.
Q | Quando é um problema? | já no presente | só no futuro | nunca | daqui a cem anos | Presente.
Q | O que aumenta? | os fenômenos extremos | as colheitas | as costas | só as chuvas | Fenómenos extremos.
Q | Dá para detê-la por completo? | não | sim | sim, no norte | talvez | No del todo.
Q | O que reduz as consequências? | cada décimo de grau a menos | mais carros | mais indústria | não fazer nada | Cada décima.
Q | O tom é | insistente | alegre | irônico | indiferente | Insistente.
@@
@L Ela: Estou pensando em vender meu apartamento. Ele: Sério? Você acabou de reformar. Ela: Justamente. O valor subiu e os juros ainda estão razoáveis. Com o dinheiro poderia comprar algo menor, no centro. Ele: Parece sensato, mas não se precipite.
Q | O que a mulher pensa em fazer? | vender o apartamento | alugar uma casa | mudar sem vender | casar | Vender.
Q | Por que agora? | O valor subiu. | Precisa de dinheiro. | Odeia o apartamento. | Há uma briga. | Valor.
Q | O que quer comprar? | algo menor no centro | uma casa no campo | um carro | um terreno | Piso céntrico.
Q | O que aconselha o homem? | não se precipitar | vender já | não fazer nada | esperar cinco anos | Prudencia.
Q | O apartamento foi | reformado recentemente | alugado | vendido | destruído | Reformado.
@@
@L Funcionário: O relatório está pronto, mas tenho dúvida sobre os números. Chefe: Quais? Funcionário: As vendas do terceiro trimestre estão tão altas que suspeito de erro de digitação. Chefe: Então verifique antes de enviar.
Q | O que preocupa o funcionário? | os números de vendas | o layout | o prazo | o título | Cifras.
Q | O que ele suspeita? | erro de digitação | fraude | roubo | vírus | Error.
Q | O que pede o chefe? | verificar antes de enviar | enviar já | demitir | refazer tudo | Revisar.
Q | Que trimestre é? | o terceiro | o primeiro | o segundo | o quarto | Tercero.
Q | O relatório está | pronto | não iniciado | perdido | publicado | Listo.
@@
@L Voz: Você ligou para a caixa postal da Sra. Berger. Estou ausente até 15 de maio. Em caso de urgência, ligue para meu colega, o Sr. Lang, no ramal 4 5 6 7. Responderei à sua mensagem quando voltar.
Q | Até quando ela está ausente? | até 15 de maio | até o fim de maio | até amanhã | até segunda | 15 mayo.
Q | Quem procurar em caso de urgência? | o Sr. Lang | a Sra. Berger | a diretoria | a recepção | Sr. Lang.
Q | Quando responderá? | quando voltar | agora | nunca | amanhã | Al volver.
Q | Que tipo de mensagem é? | caixa postal | propaganda | carta | conversa | Buzón.
Q | Qual é o ramal do colega? | 4567 | 7654 | 4576 | 5467 | 4567.
@@
@L Professor: Antes de começar o novo tema, discutam em grupos o que já sabem sobre sustentabilidade. Anotem três pontos e depois cada grupo apresentará um resultado. Vocês têm dez minutos.
Q | O que os alunos devem fazer primeiro? | discutir em grupo o que sabem | fazer uma prova | ouvir | ir para casa | Grupo.
Q | Quantos pontos devem anotar? | três | dois | cinco | dez | Tres.
Q | O que acontece depois? | Cada grupo apresenta um resultado. | O professor corrige. | Intervalo. | Prova. | Presentación.
Q | Quanto tempo eles têm? | dez minutos | uma hora | cinco minutos | vinte minutos | Diez.
Q | Qual é o tema? | sustentabilidade | história | esporte | política | Sostenibilidad.
@@
@L Colega A: O cliente reclamou de novo. Colega B: Do quê, desta vez? Colega A: Diz que a entrega veio incompleta. Mas embalamos tudo conforme a lista. Colega B: Talvez algo tenha se perdido no transporte. Vou ligar para a transportadora.
Q | Do que reclama o cliente? | de entrega incompleta | do preço | da qualidade | de atraso | Incompleta.
Q | O que dizem os colegas sobre a embalagem? | Tudo foi embalado conforme a lista. | Faltava algo. | Nada foi embalado. | O cliente mente. | Según lista.
Q | O que supõe o colega B? | perda no transporte | fraude | erro do cliente | roubo no estoque | Transporte.
Q | O que ele vai fazer? | ligar para a transportadora | ligar para o cliente | chamar a polícia | pedir demissão | Transportista.
Q | O cliente reclama | de novo | pela primeira vez | nunca | raramente | Otra vez.
@@
# writing
Q | Escolha o conectivo: O projeto é caro; ＿＿ , é rentável a longo prazo. | no entanto | portanto | além disso | pois | Contraste.
Q | Escolha o conectivo: Não estudou; ＿＿ , foi reprovado. | por conseguinte | contudo | ao passo que | aliás | Consequência.
Q | Escolha o conectivo: Apresse-se; ＿＿ , perderá o trem. | caso contrário | portanto | além disso | porém | Caso contrário = de lo contrario.
Q | Escolha o conectivo: A cidade é bonita; ＿＿ , é muito cara. | porém | por isso | logo | assim | Restrição.
Q | Escolha o conectivo: ＿＿ o tempo estivesse ruim, a festa aconteceu. | Embora | Porque | Para que | Caso | Concessão com subjuntivo.
Q | Escolha o conectivo: Os preços sobem; ＿＿ , os salários caem. | ao mesmo tempo | isto é | logo | por exemplo | En paralelo.
Q | Escolha o conectivo: Tem muita experiência; ＿＿ , é muito jovem. | além disso | contudo | logo | senão | Adición positiva.
Q | Qual saudação é adequada a uma carta formal? | Prezados Senhores, | Oi, pessoal, | E aí, | Fala, galera, | Saudação formal.
Q | Qual fecho é adequado a uma carta formal? | Atenciosamente, | Beijos, | Até mais, | Tchau, | Fecho formal.
Q | Qual frase é a mais cortês? | Poderia me informar quando os documentos chegarão? | Diga quando chegam. | Quando chegam? | Quero saber quando. | Condicional de cortesia.
Q | Qual frase serve a uma reclamação? | Solicito que o defeito seja corrigido o quanto antes. | Está tudo bem. | Obrigado por nada. | Tanto faz. | Reclamação formal.
Q | Qual frase é a mais formal? | Gostaria de me candidatar à vaga oferecida. | Quero esse emprego. | Pegaria esse trampo. | Me dá a vaga. | Registro formal.
Q | Qual frase está correta? | Ela se inscreveu num curso. | Ela se inscrevi num curso. | Ela inscreveu-se-a num curso. | Ela se inscrever num curso. | Conjugação e pronome.
Q | Qual frase está pontuada corretamente? | O relatório, que é longo, levou horas. | O relatório que é longo, levou horas. | O relatório, que é longo levou horas. | O relatório que, é longo levou horas. | Oração explicativa entre vírgulas.
Q | Qual grafia está correta? | através | atráves | atravéz | atrávez | Através.
Q | Qual grafia está correta? | excesso | exceso | escesso | eccesso | Excesso.
Q | Qual grafia está correta? | ideia | idéia | ídeia | idea | Sem acento após o Acordo.
Q | Qual grafia está correta? | auxílio | auxilio (paroxítona) | ausílio | auxílho | Auxílio.
Q | Qual palavra está escrita corretamente? | privilégio | previlégio | privilégeo | privilejio | Privilégio.
Q | Qual palavra está escrita corretamente? | exceção | excessão | esceção | excepção (BR) | Exceção no Brasil.
Q | Qual palavra está escrita corretamente? | conhecimento | conhicimento | conhecimente | conhecemento | Conhecimento.
Q | Qual palavra está escrita corretamente? | apartamento | apartameto | apartamentto | apartamnto | Apartamento.
Q | Qual frase não contém erros? | Haja vista as circunstâncias, aceitamos. | Haja visto as circunstâncias, aceitamos. | Há visto as circunstâncias, aceitamos. | Aja vista as circunstâncias, aceitamos. | Haja vista.
Q | Qual frase não contém erros? | Embora esteja cansado, continua. | Embora está cansado, continua. | Embora estará cansado, continua. | Embora estaria cansado, continua. | Embora + subjuntivo.
Q | Qual frase não contém erros? | É preciso que partamos cedo. | É preciso que partimos cedo. | É preciso que partiremos cedo. | É preciso que partiríamos cedo. | Subjuntivo.
Q | Qual frase não contém erros? | Queria que vocês me ajudassem. | Queria que vocês me ajudam. | Queria que vocês me ajudarão. | Queria que vocês me ajudariam. | Imperfeito do subjuntivo.
Q | Qual frase não contém erros? | Qualquer que seja a sua escolha, apoio você. | Qualquer que é a sua escolha, apoio você. | Qualquer será a sua escolha, apoio você. | Quaisquer que seja as escolhas, apoio você. | Qualquer que + subjuntivo.
Q | Passe para a voz passiva: « Construíram uma ponte. » | Uma ponte foi construída. | Uma ponte construiu. | Uma ponte é construir. | Uma ponte foi construído. | Voz passiva.
Q | Passe para a voz passiva: « O júri escolherá o vencedor. » | O vencedor será escolhido pelo júri. | O vencedor escolherá o júri. | O vencedor é escolher. | O vencedor foi escolherá. | Passiva futura.
Q | Passe para o discurso indireto: Diz: « Estou cansado. » | Diz que está cansado. | Diz que estou cansado. | Diz que estava cansado ontem. | Diz que esteja cansado. | Discurso indireto.
Q | Passe para o discurso indireto: Disse: « Chegarei amanhã. » | Disse que chegaria no dia seguinte. | Disse que chegará amanhã. | Disse que chega amanhã. | Disse que chego amanhã. | Concordância dos tempos.
Q | Reescreva com « embora »: « Está doente, mas trabalha. » | Embora esteja doente, trabalha. | Embora está doente, trabalha. | Embora estaria doente, trabalha. | Embora estava doente, trabalha. | Embora + subjuntivo.
Q | Reescreva com « para que »: « Digo isso para você entender. » | Digo isso para que você entenda. | Digo isso para que você entende. | Digo isso para você entenderá. | Digo isso para que entenderia. | Para que + subjuntivo.
Q | Reescreva com gerúndio: « Trabalha e ouve música. » | Trabalha ouvindo música. | Trabalha ouvir música. | Trabalha ouvido música. | Trabalha ouve música. | Gerúndio.
Q | Qual frase é a mais concisa? | Nos encontramos na terça. | Tivemos um encontro que aconteceu no dia da terça. | O encontro que tivemos foi na terça-feira passada. | Houve um encontro entre nós terça passada. | Concisão.
Q | Qual frase respeita o paralelismo? | Ela gosta de ler, nadar e cozinhar. | Ela gosta de ler, natação e cozinhar. | Ela gosta de ler, nadar e da cozinha. | Ela gosta de ler, nadar e a cozinhar. | Paralelismo.
Q | Qual frase evita a repetição? | O diretor elogiou a equipe, cujo empenho destacou. | O diretor elogiou a equipe e o diretor destacou o empenho da equipe. | O diretor elogiou a equipe, a equipe trabalhou, o diretor disse. | O diretor, o diretor elogiou a equipe. | Relativo cujo.
Q | Qual é o melhor início de um ensaio sobre ecologia? | A proteção do meio ambiente é um dos grandes desafios do nosso tempo. | Vou falar de ecologia. | Ecologia é ecologia. | Oi, hoje ecologia. | Introdução.
Q | Qual é a melhor conclusão de um ensaio? | Em suma, a proteção do meio ambiente é indispensável. | Pronto, é só isso. | Fim. | Obrigado por ler. | Conclusão.
Q | Qual é o melhor registro para uma matéria de jornal? | O número de estudantes aumentou nos últimos anos. | Tem um monte de estudante agora. | Tá lotado de estudante. | Os estudantes são demais. | Registro neutro.
Q | Qual verbo se encaixa? Ele ＿＿ uma decisão. | tomou | fez | deu | pôs | Tomar uma decisão.
Q | Qual verbo se encaixa? O governo ＿＿ medidas urgentes. | adota | faz | põe | dá | Adotar medidas.
Q | Qual verbo se encaixa? A lei ＿＿ em vigor amanhã. | entra | vai | passa | vem | Entrar em vigor.
Q | Qual verbo se encaixa? Ela ＿＿ um papel importante. | desempenha | faz de | tem feito de | pega | Desempenhar um papel.
Q | Qual verbo se encaixa? Ele ＿＿ a responsabilidade pelo fracasso. | assume | faz | dá | põe | Assumir a responsabilidade.
Q | Qual verbo se encaixa? O estudo ＿＿ à conclusão de que... | chega | vai | vem | corre | Chegar a uma conclusão.
Q | Qual substantivo se encaixa? Enfrentamos um grande ＿＿ . | desafio | desafino | desfile | desafio de | Desafio.
Q | Qual substantivo se encaixa? Ele tem verdadeiro ＿＿ para línguas. | talento | talão | tolerância | tablete | Talento para.
Q | Qual preposição se encaixa? Ele insistiu ＿＿ esse ponto. | nesse | a esse | de esse | para esse | Insistir em.
Q | Qual preposição se encaixa? Chegaram ＿＿ um acordo. | a | de | para | sobre | Chegar a.
Q | Qual preposição se encaixa? Ela é responsável ＿＿ segurança. | pela | à | na | a | Responsável por.
Q | Qual preposição se encaixa? Ele esbarrou ＿＿ um obstáculo. | em | de | para | sobre | Esbarrar em.
Q | Qual preposição se encaixa? Isso depende ＿＿ circunstâncias. | das | às | sobre as | para as | Depender de.
