# gramatica
Q | 彼は周囲の反対を＿＿、会社を辞めて独立した。 | よそに | ものの | かたわら | ならではの | 〜をよそに = sin hacer caso de (反対をよそに).
@R 裁判は劇的な展開もなく終わった。法廷では証人が次々と証言を和らげ、検察の主張は柱を失った建物のように崩れていった。判決に驚く者はなく、被告人でさえ最後の審理の間じゅう天井を見つめていた。
Q | 裁判はどのように終わったか。 | 劇的な展開なく | 劇的に | 自白で | 騒動で | 展開なし.
Q | 証人は何をしたか。 | 証言を和らげた | 証言を強めた | 逃げた | 叫んだ | 和らげた.
Q | 「柱を失った建物」は何を表すか。 | 検察の主張が根拠を失うこと | 建物が丈夫なこと | 費用が大きいこと | 新築 | 根拠喪失.
Q | 被告人の様子が示すのは何か。 | 判決を予想していたこと | 怒っていたこと | 驚いていたこと | 無実であること | 予想.
Q | 「判決」の意味は。 | 裁判所の決定 | 演説 | 法律 | 弁論 | 判決.
@@
@R ある都市計画家は、都市は機械というより生態系に近いと考える。各部分は誰も計画しなかったやり方で適応し、競い、協力する。最も成功した地区は、計画を控えめにして、住民が即興で手を加える余地を残した地区だという。
Q | 都市は何にたとえられているか。 | 生態系 | 機械 | 本 | 博物館 | 生態系.
Q | 最も成功した地区はどんな地区か。 | 計画を控えめにした地区 | 綿密に計画した地区 | 古い地区 | 新しい地区 | 控えめ.
Q | 住民に残されるものは何か。 | 即興で手を加える余地 | 何もない | 命令 | 計画書 | 余地.
Q | 「適応する」の意味は。 | 状況に合わせる | 去る | 消える | 命令する | 適応.
Q | 筆者の主張は。 | 都市は計画だけでは説明できない | 都市は機械だ | 都市は予測できる | 都市は無用だ | 生態系論.
@@
@R ストリーミングの普及で、音楽との出会いはアルゴリズムが担うようになった。擁護派は民主化だと言い、批判派は好みの囲い込みだと言う。最近の調査では、おすすめリストに従う聴取者は、自由に探す聴取者よりずっと少ないジャンルしか聴いていなかった。
Q | 音楽との出会いは何が担うようになったか。 | アルゴリズム | ラジオ | 批評家 | コンサート | アルゴリズム.
Q | 批判派は何を問題にしているか。 | 好みの囲い込み | 費用 | アクセスの悪さ | 品質 | 囲い込み.
Q | 調査は何を示したか。 | リストに従う人は聴くジャンルが少ない | 皆がより多く聴く | ストリーミングは無料 | ラジオが増えた | ジャンル減.
Q | 「擁護」の意味は。 | かばい守ること | 反対 | 無視 | 販売 | 擁護 = defender.
Q | この文章の書き方は。 | 両方の立場を紹介している | 一方の立場のみ | 広告 | 詩 | 均衡.
@@
@R 新聞社の編集局長は長文の調査報道を擁護する。速報競争に背を向け、発行回数を減らしてでも深い取材を届けたいと言う。広告主も信頼できる読者を求めていると彼は言うが、反対派は、そのような路線は後援に頼れるごく一部の媒体でしか成り立たないと反論する。
Q | 編集局長が擁護するのは何か。 | 長文の調査報道 | 速報 | 広告 | 無料化 | 調査報道.
Q | 彼が避けたいのは何か。 | 速報競争 | 広告主 | 取材 | 読者 | 速報競争.
Q | 反対派の論拠は何か。 | ごく一部の媒体でしか成り立たない | 費用が少ない | 皆が好む | 違法だ | 一部媒体.
Q | 「反論する」の意味は。 | 反対の意見を述べる | 無視する | 打ち返す | 書く | 反論.
Q | 編集局長によれば広告主は何を求めるか。 | 信頼できる読者 | 速報 | 無料 | 無関心 | 信頼読者.
@@
@R 日用品を集めた展覧会は、もう目に入らなくなったものを別の目で見るよう来場者に促す。スプーン、ボタン、鍵の一つ一つが、時代や職業、暮らし方を物語る。企画者は、郷愁も学識も求めず、ただ注意深いまなざしを望んだと語る。
Q | 展覧会が扱うのは何か。 | 日用品 | 絵画 | 自動車 | 宝石 | 日用品.
Q | 企画者が望んだのは何か。 | 注意深いまなざし | 郷愁 | 学識 | 衝撃 | 注意.
Q | 一つ一つの物は何を物語るか。 | 時代や暮らし方 | 謎 | 裁判 | 旅 | 時代・暮らし.
Q | 「企画者」に近いのは。 | 展示を計画する人 | 医者 | 裁判官 | ガイド | 企画者.
Q | 文章の調子は。 | 落ち着いている | 乱暴だ | 滑稽だ | 慌ただしい | 落ち着き.
@@
@R 海面上昇を前に、沿岸の自治体の中には住民の移転を検討するところもある。長らくタブーだったこの考えが、次第に支持を得つつある。防潮堤の維持費が年々かさみ、効果も薄れているからだ。移転費用を誰が負担するのか、集落の一体感をどう守るのかは、未解決のままだ。
Q | 一部の自治体が検討しているのは何か。 | 住民の移転 | 防潮堤の建設 | 海水浴場の閉鎖 | 土地の売却 | 移転.
Q | この考えが支持を得つつある理由は。 | 維持費が増え効果が薄れているから | 雨が減ったから | 海が下がったから | 皆が求めるから | 費用・効果.
Q | 未解決の課題は何か。 | 移転費用の負担 | 防潮堤の建設者 | 港の場所 | 漁 | 費用負担.
Q | 「タブー」の意味は。 | 触れないとされること | 人気 | 古いこと | 無料 | タブー.
Q | 「支持を得る」の意味は。 | 賛同者が増える | 力が弱まる | 消える | 隠れる | 支持.
@@
@R 在宅勤務の広がりは、同僚同士の関係も変えた。個人の作業効率は上がったが、革新の土壌となる雑談や偶然の対話は減った。出社を全面的に強いる企業は反発を招き、それをやめる企業は共通の文化を失うおそれがある。
Q | 在宅勤務が変えたものは何か。 | 同僚同士の関係 | 給料 | 時間割 | 交通 | 関係.
Q | 減ったものは何か。 | 雑談や偶然の対話 | 作業 | 会議 | メール | 雑談.
Q | 出社を全面的に強いるとどうなるか。 | 反発を招く | 革新が増す | 騒音が減る | 在宅が増す | 反発.
Q | 出社をやめた企業が失うおそれのあるものは。 | 共通の文化 | 社員 | 金 | 事務所 | 文化.
Q | 「土壌」の意味は。 | 物事を育てる基盤 | ごみ | 水 | 肥料 | 土壌 = terreno propicio.
@@
@R その詩人は昔から授賞式を避けてきた。大きな賞に選ばれたと聞き、最初は冗談かと思い、それから出席できないことを詫びた。代わりに短い文を読み上げてもらい、とりわけ「詩を携えて歩き、生かしてくれる読者」に感謝を述べた。
Q | 詩人は最初にどう反応したか。 | 冗談かと思った。 | 大喜びした。 | 断った。 | 泣いた。 | 冗談と思う.
Q | 授賞式の日、詩人は何をしたか。 | 短い文を代読してもらった。 | 出席した。 | 歌った。 | 本を書いた。 | 代読.
Q | 詩人がとくに感謝したのは誰か。 | 読者 | 審査員 | 家族 | 出版社 | 読者.
Q | 詩人の授賞式に対する態度は。 | いつも避けてきた | 熱心だった | 興味津々だった | 怖がっていた | 避ける.
Q | 「避ける」の意味は。 | 近づかないようにする | 好む | 知る | 書く | 避ける = evitar.
@@
@R 政府は、低所得地域の一学級あたりの児童数を減らす教育改革案を出した。教員は歓迎しつつも、学級規模がすべてではないと指摘する。継続的な研修と教材がなければ、効果は限られるだろうというのだ。大臣は支援を約束したが、具体的な日程は示さなかった。
Q | 改革案の内容は何か。 | 一学級の児童数を減らす | 休みを増やす | 授業を減らす | 新しい試験 | 学級規模.
Q | 教員の反応は。 | 歓迎するが条件をつける | 反発する | 無視する | 辞める | 歓迎＋条件.
Q | 教員が必要だと言うのは何か。 | 継続的な研修と教材 | 児童の増加 | 授業の減少 | 罰則 | 研修・教材.
Q | 大臣は何を約束したか。 | 支援(日程は不明) | 何もしない | 即時の予算 | 辞任 | 支援約束.
Q | 「限られる」の意味は。 | 範囲が狭い | 無限だ | 大きい | 速い | 限定的.
@@
@R 数年続いた成長のあと、出版市場は足踏み状態に入った。出版社は紙の値上がりとオーディオブックとの競合を理由に挙げる。発行部数を抑えて丁寧な造本の版を出す戦略をとる社もあり、贈答用の需要が強いことから、慎重な楽観論も出ている。
Q | 出版市場の状況は。 | 足踏み状態 | 急成長 | 消滅 | 倍増 | 停滞.
Q | 出版社が挙げる理由は何か。 | 紙の値上がりとオーディオブック | テレビ | 天候 | 政治 | 紙・音声.
Q | 一部の出版社の戦略は何か。 | 部数を抑え丁寧な版を出す | 値下げ | 広告 | 映画化 | 少部数.
Q | 最後の見方は。 | 慎重な楽観 | 完全な悲観 | 無関心 | 怒り | 慎重楽観.
Q | 「発行部数」の意味は。 | 印刷された冊数 | 切符 | 宝くじ | 棚 | 部数.
@@
@R 女性ヨットマンが単独横断の記録を更新した。秘訣を問われると、技術よりも忍耐を挙げた。海が決めることを受け入れ、自分に左右されないものを制御しようとする気持ちを手放すことだという。最もつらかったのは寒さではなく、風のない夜の孤独だったと打ち明けた。
Q | どんな記録を更新したか。 | 単独横断 | レースの速度 | 潜水 | 徒歩の距離 | 単独横断.
Q | 技術より重視したのは何か。 | 忍耐 | 力 | 運 | 金 | 忍耐.
Q | 最もつらかったのは何か。 | 風のない夜の孤独 | 寒さ | 空腹 | 風への恐怖 | 孤独.
Q | 受け入れるべきこととは。 | 海が決めること | すべて制御すること | 勝つこと | 諦めること | 海の決定.
Q | 「手放す」の意味は。 | こだわりを捨てる | 物を落とす | 忘れる | つかむ | 手放す = soltar.
@@
@R 統計に国籍を記載することをめぐる議論が熱を帯びている。賛成派は、差別の有無を評価する手段になると見る。反対派は、目的外に使われることを懸念する。専門家委員会は折衷案として、匿名化したデータを研究者だけが閲覧でき、定期的に点検することを提案した。
Q | 議論のテーマは何か。 | 統計への国籍記載 | 税金 | 学校 | 年金 | 国籍記載.
Q | 賛成派の見方は。 | 差別を評価する手段になる | 脅威だ | 費用だ | 政治的利益だ | 手段.
Q | 反対派の懸念は何か。 | 目的外に使われること | 費用 | 誤り | 遅さ | 目的外使用.
Q | 委員会の折衷案は何か。 | 匿名化・研究者のみ閲覧・定期点検 | 全面禁止 | 公開 | 撤回 | 折衷.
Q | 「懸念」の意味は。 | 心配 | 賛成 | 期待 | 無視 | 懸念 = inquietud.
@@
@R 飲食店の店主は六か月間休業を余儀なくされた。再開に際してメニューを見直し、品数を絞って地元の食材を使い始めた。客は最初こそ戸惑ったが、やがて新しい形を受け入れた。長年先延ばしにしてきた「単純化」を、危機が強いたようなものだと彼女は語る。
Q | 何か月休業したか。 | 六か月 | 二か月 | 一年 | 一週間 | 六か月.
Q | 何を変えたか。 | メニュー | 住所 | 名前 | 料理人 | メニュー.
Q | 客の反応は。 | 最初は戸惑ったが受け入れた | 怒った | 無関心だった | 去った | 受容.
Q | 危機のおかげでできたことは。 | 単純化 | 拡大 | 閉店 | 売却 | 単純化.
Q | 「先延ばしにする」の意味は。 | 後回しにする | 断る | 引っ張る | 押す | 先延ばし.
@@
@R 研究者たちは十年間、郊外に住むキツネの群れを観察した。田舎のキツネと違い、住宅の周りに餌が豊富なため、ほとんど移動しない。個体数は緑地よりもごみの管理に大きく左右されるようで、個体数の調整策を考え直す必要があるとの指摘が出ている。
Q | 観察期間は。 | 十年 | 一年 | 二年 | 二十年 | 十年.
Q | キツネがあまり移動しないのはなぜか。 | 餌が豊富だから | 病気だから | 柵があるから | 眠るから | 餌豊富.
Q | 個体数は何に左右されるか。 | ごみの管理 | 緑地 | 気候 | 狩猟 | ごみ管理.
Q | この結果が求めることは何か。 | 調整策の見直し | 教育改革 | 建築 | 観光 | 見直し.
Q | 「郊外」の意味は。 | 都市の周辺地域 | 中心街 | 田舎 | 海 | 郊外 = periferia.
@@
# listening
@L 記者: 太陽光発電のスタートアップを経営されていますが、最初はどうでしたか。 社長: 大変でした。よいアイデアはありましたが、資金がありませんでした。ある投資家が信じてくれて初めて、最初の従業員を雇えました。
Q | 最初に足りなかったものは何か。 | 資金 | アイデア | 顧客 | 事務所 | 資金不足.
Q | 従業員を雇えたのはいつか。 | 投資家が信じてくれた後 | すぐに | 二年後 | 雇えなかった | 投資後.
Q | この会社の事業は何か。 | 太陽光発電 | コンピューター | 服 | 食品 | 太陽光.
Q | 社長は最初の頃をどう話しているか。 | 大変だった | 楽だった | 退屈だった | 楽しかった | 大変.
Q | 記者の役割は何か。 | 質問すること | 販売 | 投資 | 経営 | 取材.
@@
@L 女: 大阪行きの電車が運休だって聞いた？ 男: いや、何があったの？ 女: 木が線路に倒れたんだって。代行バスは出るけど、倍近く時間がかかるそうよ。 男: じゃあ、僕は車で行くよ。
Q | 電車が運休になった理由は何か。 | 木が線路に倒れた | ストライキ | 事故 | 雪 | 倒木.
Q | 代わりに出るのは何か。 | 代行バス | 飛行機 | タクシー | 何もない | 代行バス.
Q | バスはどのくらい時間がかかるか。 | 倍近く | 半分 | 同じ | 三日 | 倍近い.
Q | 男性はどうすることにしたか。 | 車で行く | 家にいる | バスに乗る | 待つ | 車.
Q | 電車はどこ行きか。 | 大阪 | 東京 | 京都 | 名古屋 | 大阪.
@@
@L 教授: デジタル化は仕事のあり方を根本から変えています。よくある心配とは違い、仕事がなくなるだけではありません。まだ名前もない新しい職業が生まれてもいます。ですから、生涯学び続ける力がなにより大切です。
Q | 教授が強調していることは何か。 | 生涯学び続ける力 | すべての仕事が消える | デジタル化は無害 | 新職業はない | 生涯学習.
Q | 仕事がなくなる一方で生まれるものは。 | 新しい職業 | 新しい学校 | 新しい法律 | 新しい都市 | 新職業.
Q | 「根本から」の意味は。 | 基本的なところから | 表面だけ | 速く | ゆっくり | 根本.
Q | よくある心配とは何か。 | 仕事がなくなること | 費用 | 騒音 | 旅行 | 失業.
Q | 教授の態度は。 | 均衡が取れている | 敵対的 | 幼稚 | 怯えている | 均衡.
@@
@L 客: すみません、このトースターを三週間前に買ったのですが、動かなくなりました。 店員: レシートはお持ちですか。 客: はい、こちらです。 店員: では、交換か返金をいたします。 客: 返金をお願いします。
Q | 問題は何か。 | 製品が動かない | 高すぎる | 大きすぎる | 盗まれた | 故障.
Q | 店員が求めたものは何か。 | レシート | 包装 | 身分証 | 保証書のみ | レシート.
Q | 店員が提案した方法は何か。 | 交換か返金 | 修理のみ | なし | 商品券 | 交換・返金.
Q | 客が選んだものは何か。 | 返金 | 新品 | 修理 | 商品券 | 返金.
Q | 客が買ってからどのくらいたつか。 | 三週間 | 三年 | 昨日 | 三か月 | 三週間.
@@
@L アナウンサー: こんばんは。今夜は全国的に雨となり、標高千二百メートル以上の山地では雪が降るでしょう。明日の朝は霧が出ますが、昼前から雲が切れ始め、午後は所々で日が差し、日中の最高気温は十四度前後の見込みです。
Q | 山地で雪が降るのはどこか。 | 標高千二百メートル以上 | 全国 | 沿岸部 | なし | 高地.
Q | 明日の朝の天気は何か。 | 霧 | 晴れ | 雷雨 | 暑い | 霧.
Q | 明日の午後の天気は何か。 | 所々で日が差す | 雪 | 嵐 | 大雨 | 断続的な日差し.
Q | 日中の最高気温は何度か。 | 十四度前後 | 四度 | 二十四度 | 四十度 | 十四度.
Q | この放送は何か。 | 天気予報 | 広告 | インタビュー | 記事 | 予報.
@@
@L 学生: 金曜日までに卒業論文を出せそうにありません。 指導教員: どうしてですか。 学生: 予想より多くの資料が見つかって、整理の仕方が分からないんです。 指導教員: いい悩みですね。重要な三つに絞って書いてください。締め切りは一週間延ばしましょう。
Q | 学生が提出できない理由は何か。 | 資料が多すぎる | 病気 | 資料がない | 時間がない | 資料過多.
Q | 教員の助言は何か。 | 三つに絞る | もっと探す | 諦める | 書き直す | 三つに絞る.
Q | 締め切りはどのくらい延びるか。 | 一週間 | 一か月 | 一日 | 延びない | 一週間.
Q | 教員はこの悩みをどう呼んだか。 | いい悩み | 災難 | 解決不能 | 困った問題 | いい悩み.
Q | もともとの締め切りはいつか。 | 金曜日 | 月曜日 | 六月 | 明日 | 金曜.
@@
@L 記者: 市長は本日、新しい橋の建設計画を発表しました。事業費は約四十億円です。反対する市民は、学校の予算が足りない中での無駄遣いだと批判していますが、市長は、この橋が地域経済全体を活性化させると答えました。
Q | 市長が発表したものは何か。 | 新しい橋の建設 | 橋の撤去 | 税 | 選挙 | 橋.
Q | 事業費はいくらか。 | 約四十億円 | 四億円 | 四百億円 | 十四億円 | 四十億.
Q | 反対する市民の批判は何か。 | 学校予算が足りないのに無駄遣い | 見た目が悪い | 大きい | 計画がない | 無駄遣い.
Q | 市長はどう答えたか。 | 地域経済を活性化させる | 黙った | 中止する | 学校に言及した | 経済効果.
Q | この文は何か。 | ニュース | 詩 | 広告 | 手紙 | ニュース.
@@
@L 母: 初出勤はどうだった？ 娘: 疲れたけど、よかったよ。みんな親切で、課長がもう自分のプロジェクトを任せてくれたの。 母: 初日から？ 娘: うん、ちょっと怖かったけど、責任を持たせてもらえるのがむしろ楽しい。
Q | 初日はどうだったか。 | 疲れたがよかった | 悪かった | 退屈だった | 最悪だった | 疲れたがよい.
Q | 課長が任せたものは何か。 | プロジェクト | 休暇 | 賞 | 解雇 | プロジェクト.
Q | 娘の気持ちは何か。 | 少し不安だが楽しい | 怒り | 悲しみ | 無関心 | 不安と楽しさ.
Q | 同僚たちはどうだったか。 | 親切だった | 冷たかった | いなかった | 厳しかった | 親切.
Q | 誰が誰と話しているか。 | 娘と母 | 課長と母 | 同僚二人 | 友人二人 | 母娘.
@@
@L 医者: 検査の結果は概ね良好ですが、血圧が少し高めです。もう少し運動をして、塩分を控えてください。三か月後にもう一度検査をして、それでも変わらなければ薬の話をしましょう。
Q | 少し高いのは何か。 | 血圧 | 血糖 | 体温 | 体重 | 血圧.
Q | 患者がすべきことは何か。 | 運動を増やし塩分を控える | 薬を飲む | 何もしない | 寝ている | 運動・減塩.
Q | 次の検査はいつか。 | 三か月後 | 三日後 | 一年後 | 明日 | 三か月.
Q | 薬の話をするのはいつか。 | 変わらなければ | すぐ | しない | 来年 | 条件付き.
Q | 検査結果は概ねどうか。 | 良好 | 不良 | 危険 | 不明 | 良好.
@@
@L 旅行会社: お客様のウィーン行きの便が欠航になりました。木曜日の便に振り替えるか、全額払い戻しのどちらかになります。 客: 木曜日では遅すぎます。水曜日に約束があるので。 旅行会社: それでは払い戻しのみとなり、別の便はご自身でご予約いただくことになります。
Q | 便に何が起きたか。 | 欠航になった | 遅れた | 早まった | 売れた | 欠航.
Q | 旅行会社の提案は何か。 | 振替か払い戻し | 電車 | ホテル | 商品券 | 振替・返金.
Q | 木曜日が無理な理由は何か。 | 水曜日に約束がある | 病気 | お金がない | 飛行機が嫌い | 水曜の約束.
Q | 最終的に残る方法は何か。 | 払い戻し | 振替 | 商品券 | 補償金 | 払い戻し.
Q | 客が行く先はどこか。 | ウィーン | ベルリン | チューリッヒ | プラハ | ウィーン.
@@
@L 監督: 前半はよく戦えたが、ボールを失いすぎだ。後半はもっと落ち着いて、スペースを使おう。 主将: 相手が高い位置からプレスをかけてきたら？ 監督: そのときは、ロングボールでサイドを狙おう。
Q | 監督が褒めたのは何か。 | 前半 | 守備 | 応援 | 芝 | 前半.
Q | 監督が指摘したのは何か。 | ボールを失いすぎること | 走らないこと | けんか | 遅刻 | ボールロスト.
Q | 選手がすべきことは何か。 | 落ち着くこと | もっと走ること | プレスをかけること | 諦めること | 落ち着き.
Q | 相手が高い位置からプレスをかけたらどうするか。 | ロングボールでサイドを狙う | 下がる | 交代 | 止まる | ロングボール.
Q | 質問したのは誰か。 | 主将 | 監督 | ファン | 審判 | 主将.
@@
@L 記者: 党の躍進をどう説明されますか。 大臣: 不安をあおるのではなく、具体的な解決策を示したからです。 記者: 対立する党は、財源計画がないと言っていますが。 大臣: それは事実ではありません。計画はすでに公開されています。読んでいただければ分かります。
Q | 大臣は躍進の理由を何と説明したか。 | 具体的な解決策を示したこと | 運 | 金 | 宣伝 | 解決策.
Q | 対立する党は何を批判しているか。 | 財源計画がないこと | 嘘 | 汚職 | 無策 | 財源.
Q | 大臣の反応は何か。 | 否定する | 認める | 黙る | 去る | 否定.
Q | 大臣の口調はどうか。 | 自信がある | 怯えている | 無関心 | 悲しい | 自信.
Q | 「公開されている」とは何を言っているか。 | 計画が既に知られている | 契約 | 本 | 請求書 | 公開.
@@
@L アナウンス: ご乗車のお客様にお知らせいたします。信号機の故障のため、大阪行き新幹線七百七十四号は約二十分遅れて発車いたします。ご迷惑をおかけして申し訳ございません。静岡方面へお越しのお客様は、七番ホームの在来線をご利用ください。五分後に発車いたします。
Q | 新幹線が遅れる理由は何か。 | 信号機の故障 | ストライキ | 事故 | 天候 | 信号故障.
Q | 遅れはどのくらいか。 | 約二十分 | 二時間 | 五分 | 一時間 | 二十分.
Q | 新幹線の行き先はどこか。 | 大阪 | 静岡 | 東京 | 京都 | 大阪行き.
Q | 静岡方面の客はどうすべきか。 | 七番ホームの在来線に乗る | 待つ | タクシーに乗る | 新幹線に乗る | 在来線.
Q | 在来線はいつ発車するか。 | 五分後 | 一時間後 | 今すぐ | 出ない | 五分後.
@@
@L 隣人: 騒音のことでお話に来ました。昨夜、三時までパーティーをされていましたよね。 住人: 本当に申し訳ありません。息子の誕生日で、そんなに音が響くとは思っていませんでした。 隣人: 分かりますが、二度としないでください。 住人: もちろんです。気をつけます。
Q | 隣人が来た理由は何か。 | 騒音 | ごみ | 駐車 | 家賃 | 騒音.
Q | なぜパーティーをしていたか。 | 息子の誕生日 | 結婚 | 新年 | 引っ越し | 誕生日.
Q | 住人の反応は何か。 | 謝った | 怒った | 否定した | 笑った | 謝罪.
Q | 隣人の要求は何か。 | 二度としないこと | お金 | 告訴 | 引っ越し | 再発防止.
Q | パーティーは何時まで続いたか。 | 三時 | 十時 | 真夜中 | 五時 | 三時.
@@
@L 教授: 気候変動は未来の問題ではなく、現在の問題です。極端な気象が増え、作物が被害を受け、沿岸地域が脅かされています。完全に止めることはできませんが、気温上昇を〇・一度でも抑えれば、被害を明らかに減らせます。
Q | 教授は気候変動をいつの問題と言っているか。 | すでに現在の問題 | 未来の問題 | 問題ではない | 百年後 | 現在.
Q | 増えているものは何か。 | 極端な気象 | 作物 | 沿岸 | 肥満 | 極端気象.
Q | 完全に止められるか。 | 止められない | 止められる | 北では止められる | たぶん | 不可.
Q | 被害を減らす方法は何か。 | 気温上昇を少しでも抑える | 自動車を増やす | 産業を増やす | 何もしない | 〇・一度.
Q | 教授の口調は何か。 | 切迫している | 楽しげ | 皮肉 | 無関心 | 切迫.
@@
@L 女: マンションを売ろうかと思ってるの。 男: 本当に？ 最近リフォームしたばかりじゃない。 女: だからこそ今なの。価値が上がったし、金利もまだ悪くないし。売ったお金で、市街地に少し小さめの家を買えそうなの。 男: いい考えだと思うけど、焦らないようにね。
Q | 女性が考えていることは何か。 | マンションを売ること | 家を借りること | 売らずに引っ越すこと | 結婚 | 売却.
Q | なぜ今なのか。 | 価値が上がったから | お金が要るから | 嫌いだから | けんかしたから | 価値上昇.
Q | どんな家を買いたいか。 | 市街地の少し小さめの家 | 田舎の家 | 車 | 土地 | 市街地.
Q | 男性の助言は何か。 | 焦らないこと | すぐ売ること | 何もしないこと | 五年待つこと | 慎重.
Q | マンションは最近どうしたか。 | リフォームした | 貸した | 売った | 壊した | リフォーム.
@@
@L 社員: 報告書はできましたが、数字に少し引っかかる点があります。 課長: どの数字ですか。 社員: 第三四半期の売上があまりに高く出ていて、入力ミスではないかと。 課長: では、送る前に確認してください。
Q | 社員が気にしているのは何か。 | 売上の数字 | レイアウト | 締め切り | タイトル | 数字.
Q | 社員が疑っていることは何か。 | 入力ミス | 詐欺 | 盗難 | ウイルス | 入力ミス.
Q | 課長の指示は何か。 | 送る前に確認する | すぐ送る | 解雇する | 書き直す | 確認.
Q | どの四半期の数字か。 | 第三 | 第一 | 第二 | 第四 | 第三.
Q | 報告書の状態は何か。 | できている | 未着手 | 紛失 | 公開済み | 完成.
@@
@L 音声案内: 佐藤の留守番電話です。五月十五日まで不在にしております。お急ぎの場合は、同僚の鈴木までご連絡ください。内線番号は四五六七です。戻り次第、メッセージにお返事いたします。
Q | いつまで不在か。 | 五月十五日 | 五月末 | 明日 | 月曜日 | 五月十五日.
Q | 急ぎのときは誰に連絡するか。 | 鈴木 | 佐藤 | 社長 | 受付 | 鈴木.
Q | 返事はいつするか。 | 戻り次第 | 今すぐ | しない | 明日 | 帰着後.
Q | この録音は何か。 | 留守番電話の案内 | 広告 | 手紙 | 会話 | 留守電.
Q | 同僚の内線番号は何か。 | 四五六七 | 七六五四 | 四五七六 | 五四六七 | 四五六七.
@@
@L 先生: 新しい単元に入る前に、グループで「持続可能性」について既に知っていることを話し合ってください。三点を書き出し、その後、各グループが一つずつ発表します。時間は十分です。
Q | 生徒が最初にすることは何か。 | グループで知っていることを話し合う | 試験 | 聞くだけ | 帰る | 話し合い.
Q | いくつ書き出すか。 | 三点 | 二点 | 五点 | 十点 | 三点.
Q | その後何をするか。 | 各グループが一つ発表する | 先生が採点する | 休憩 | 試験 | 発表.
Q | 時間はどのくらいか。 | 十分 | 一時間 | 五分 | 二十分 | 十分.
Q | テーマは何か。 | 持続可能性 | 歴史 | スポーツ | 政治 | 持続可能性.
@@
@L 同僚A: またお客さんからクレームが来たよ。 同僚B: 今度は何？ 同僚A: 荷物が足りなかったって。リスト通りに全部梱包したのに。 同僚B: 輸送中に何かなくなったのかもしれないね。運送会社に電話してみる。
Q | 客の苦情は何か。 | 荷物が足りなかった | 値段 | 品質 | 遅れ | 不足.
Q | 同僚たちは梱包について何と言っているか。 | リスト通りに全部梱包した | 何か抜けた | 梱包していない | 客が嘘をついている | リスト通り.
Q | 同僚Bの推測は何か。 | 輸送中の紛失 | 詐欺 | 客の間違い | 倉庫の盗難 | 輸送.
Q | 同僚Bは何をするつもりか。 | 運送会社に電話する | 客に電話する | 警察を呼ぶ | 辞める | 運送会社.
Q | 客の苦情は何度目か。 | また(初めてではない) | 初めて | ない | まれ | 繰り返し.
@@
# writing
Q | 正しい接続詞は？ この方法は効果が大きい。＿＿、費用がかかる。 | ただし | したがって | そのうえ | つまり | 〜ただし = con la salvedad de.
Q | 正しい接続詞は？ 物価が上がった。＿＿、賃金は変わらない。 | ところが | したがって | すなわち | そのうえ | 逆接: ところが.
Q | 正しい接続詞は？ 早く起きなさい。＿＿、遅刻するよ。 | さもないと | したがって | そのうえ | すなわち | さもないと = de lo contrario.
Q | 正しい接続詞は？ 彼は医者だ。＿＿、作家でもある。 | かつ | ところが | それゆえ | さもないと | かつ = y además.
Q | 正しい接続詞は？ 雨が降った。＿＿、試合は中止になった。 | それゆえ | ところが | ただし | とはいえ | 因果: それゆえ.
Q | 正しい接続詞は？ 都市は発展した。＿＿、農村は取り残されている。 | 一方 | したがって | すなわち | それゆえ | 対比: 一方.
Q | 正しい接続詞は？ 何度も失敗した。＿＿、彼は諦めなかった。 | それでも | したがって | ゆえに | すなわち | 逆接: それでも.
Q | 正しい接続詞は？ 東京、大阪＿＿の大都市は人口が多い。 | といった | ところが | ゆえに | ただし | 〜といった = como.
Q | 正しい接続詞は？ 販売価格は五千円、＿＿、税込みで五千五百円です。 | すなわち | ところが | さもないと | それでも | すなわち = es decir.
Q | 正しい接続詞は？ 結果は失敗だった。＿＿、得るものも多かった。 | とはいえ | したがって | すなわち | それゆえ | とはいえ = no obstante.
Q | 書き言葉として適切なのはどれか。 | この制度には問題がある。 | この制度には問題があるんだよね。 | この制度って問題あるよ。 | この制度、問題あるじゃん。 | 書き言葉: だ・である体.
Q | 書き言葉として適切なのはどれか。 | したがって、規則を守るべきである。 | だから、規則を守んなきゃだめだよ。 | なので、規則守ろうよ。 | それで規則守んないとね。 | 書き言葉.
Q | 丁寧な依頼文として適切なのはどれか。 | お忙しいところ恐縮ですが、ご確認いただけますでしょうか。 | 確認して。 | 確認しないとだめだよ。 | 早く確認しなさい。 | 丁寧な依頼.
Q | 謝罪文として適切なのはどれか。 | ご迷惑をおかけしましたことを深くお詫び申し上げます。 | ごめんね。 | 悪かったよ。 | すみませんでしたね。 | 丁寧な謝罪.
Q | 抗議文として適切なのはどれか。 | 早急に改善していただきますよう、お願い申し上げます。 | 何とかしろ。 | どうでもいいです。 | ほっといてください。 | 丁寧な要求.
Q | メールの書き出しとして適切なのはどれか。 | 拝啓 ○○様　平素より大変お世話になっております。 | やあ、元気？ | おっす。 | ねえ、ちょっと。 | 手紙・メールの冒頭.
Q | メールの結びとして適切なのはどれか。 | 今後ともよろしくお願い申し上げます。 | じゃあね。 | またね〜。 | 以上。 | 結びの挨拶.
