# gramatica
Q | Mi vidis lin ＿＿ la stratangulo. | ĉe | al | per | pro | Loko sen movo: ĉe (ĉe la stratangulo).
@R Kun la disvastiĝo de la kontinua elsendado, la eltrovado de muziko okazas per algoritmoj. Defendantoj vidas en tio demokratiiĝon; kritikantoj, enfermiĝon en la propraj gustoj. Lastatempa studo montras, ke aŭskultantoj de personaj listoj esploras multe malpli da ĝenroj ol tiuj, kiuj serĉas libere.
Q | Per kio okazas la eltrovado de muziko? | per algoritmoj | per radio | per kritikistoj | per koncertoj | Algoritmoj.
Q | Kion riproĉas la kritikantoj? | enfermiĝon en la propraj gustoj | koston | mankon de aliro | kvaliton | Enfermiĝo.
Q | Kion montras la studo? | Aŭskultantoj de listoj esploras malpli da ĝenroj. | Ĉiuj esploras pli. | Elsendado estas senpaga. | Radio kreskas. | Malpli da ĝenroj.
Q | "Defendanto" signifas | homo kiu subtenas | kontraŭulo | muzikisto | estro | Defendanto.
Q | La teksto prezentas | ambaŭ vidpunktojn | nur unu vidpunkton | reklamon | poemon | Ekvilibro.
@@
@R La ĉefredaktoro defendas longformatan raportadon. Kontraŭ konstanta urĝo li volas proponi profundajn enketojn, eĉ se li eldonas malpli ofte. Anoncistoj, li diras, estas sentemaj pri tio: atenta leganto estas fidela leganto. Kontraŭuloj respondas, ke tiu vetado eblas nur por malmultaj titoloj apogataj de mecenatoj.
Q | Kion defendas la ĉefredaktoro? | longformatan raportadon | tujan informadon | reklamon | senpagecon | Longformato.
Q | Kion li volas eviti? | konstantan urĝon | anoncistojn | enketojn | leganton | Urĝo.
Q | Kian argumenton havas la kontraŭuloj? | Tio eblas nur por malmultaj titoloj. | Ĝi kostas malmulte. | Ĉiuj ŝatas ĝin. | Ĝi estas kontraŭleĝa. | Malmultaj titoloj.
Q | "Respondi" ĉi tie signifas | replik-i | ignori | skribi | legi | Respondi = kontraŭdiri.
Q | Kion, laŭ li, anoncistoj deziras? | fidelan leganton | rapidajn novaĵojn | senpagon | nenion | Fidela leganto.
@@
@R La ekspozicio pri malgrandaj ĉiutagaj objektoj invitas la vizitanton rigardi alie tion, kion li plu ne vidas. Kulero, butono, ŝlosilo: ĉiu rakontas epokon, metion, manieron vivi. La kuratoro klarigas, ke li volis nek nostalgion nek erudicion, sed atenton.
Q | Kion prezentas la ekspozicio? | ĉiutagajn objektojn | pentraĵojn | aŭtomobilojn | juvelojn | Objektoj.
Q | Kion volis la kuratoro? | atenton | nostalgion | erudicion | ŝokon | Atento.
Q | Kion rakontas ĉiu objekto? | epokon kaj vivmanieron | mistero | proceson | vojaĝon | Epoko.
Q | "Kuratoro" ĉi tie signifas | organizanto de la ekspozicio | kuracisto | juĝisto | gvidanto | Kuratoro.
Q | La tono de la teksto estas | trankvila | perforta | komika | hasta | Trankvila.
@@
@R Antaŭ la altiĝo de la maro kelkaj bordaj komunumoj pripensas translokigi siajn loĝantojn. La ideo, longe tabua, akiras subtenon, ĉar teni digojn kostas ĉiam pli kaj ilia efiko malpliiĝas. Restas nesolvita, kiu pagos la translokigon kaj kiel konservi la identecon de tutaj vilaĝoj.
Q | Kion pripensas kelkaj komunumoj? | translokigi la loĝantojn | konstrui digojn | fermi la strandojn | vendi teron | Translokigo.
Q | Kial la ideo akiras subtenon? | Digoj kostas pli kaj efikas malpli. | Pluvas malpli. | La maro malaltiĝas. | Ĉiuj petas ĝin. | Kosto/efiko.
Q | Kio restas nesolvita? | kiu pagos la translokigon | kiu konstruos digojn | kie fari havenojn | kiu fiŝkaptos | Pagado.
Q | "Tabua" signifas | pri kio oni evitas paroli | populara | malnova | senpaga | Tabua.
Q | "Akiri subtenon" signifas | ricevi pli da apogantoj | perdi forton | malaperi | kaŝiĝi | Akiri subtenon.
@@
@R La sociologino rimarkas, ke fora laboro ŝanĝis la rilatojn inter kolegoj. Se individuaj taskoj plieficiĝas, la neformalaj interŝanĝoj, kiuj nutras la novigon, maloftiĝas. Kompanioj, kiuj postulas plenan revenon al la oficejo, riskas naskon de rankoro, dum tiuj, kiuj rezignas pri ĝi, perdas komunan kulturon.
Q | Kion ŝanĝis la fora laboro? | la rilatojn inter kolegoj | la salajrojn | la horarojn | la trafikon | Rilatoj.
Q | Kio maloftiĝas? | la neformalaj interŝanĝoj | la taskoj | la kunvenoj | la retpoŝtoj | Neformalaj interŝanĝoj.
Q | Kio okazas pro plena reveno? | naskiĝas rankoro | pliiĝas novigo | malpliiĝas bruo | pliiĝas fora laboro | Rankoro.
Q | Kion perdas tiuj, kiuj rezignas pri reveno? | komunan kulturon | dungitojn | monon | oficejojn | Kulturo.
Q | "Maloftiĝi" signifas | fariĝi malpli ofta | pliiĝi | ŝanĝiĝi | aperi | Maloftiĝi.
@@
@R La poeto ĉiam evitis ceremoniojn. Kiam oni anoncis al li la grandan premion, li unue kredis, ke tio estas ŝerco, poste li pardonpetis, ke li ne povos veni. Li lasis legi mallongan tekston anstataŭ li, en kiu li dankas precipe la leganton, "tiun, kiu portas poemon kun si kaj tiel vivigas ĝin".
Q | Kiel la poeto unue reagis? | Li kredis ŝerco. | Li ekĝojis. | Li rifuzis. | Li ploris. | Ŝerco.
Q | Kion li faris en la tago de la ceremonio? | Li lasis legi tekston. | Li venis. | Li kantis. | Li skribis libron. | Tekstlegado.
Q | Kiun li dankas precipe? | la leganton | la ĵurion | la familion | la eldonejon | Leganto.
Q | Lia sinteno al ceremonioj estas | konstanta evitado | entuziasmo | scivolo | timo | Evitado.
Q | "Evitadi" signifas | deteni sin de | ŝati | scii | skribi | Eviti.
@@
@R La registaro proponas edukan reformon, kiu malpliigu la nombron de lernantoj en klasoj en malriĉaj regionoj. Instruistoj bonvenigas ĝin, sed atentigas, ke klasgrandeco ne estas ĉio: sen daŭra trejnado kaj materialaj rimedoj la efiko restos limigita. La ministro promesas subtenon, tamen ne precizigas la kalendaron.
Q | Kion celas la reformo? | pli malmultajn lernantojn en klasoj | pli da ferioj | malpli da lecionoj | novan ekzamenon | Klasgrandeco.
Q | Kiel reagas la instruistoj? | Ili akceptas kun rezervoj. | Ili protestas. | Ili ignoras. | Ili eksiĝas. | Rezervoj.
Q | Kion ili opinias necesa krome? | daŭran trejnadon kaj rimedojn | pli da lernantoj | malpli da horoj | punojn | Trejnado.
Q | Kion promesas la ministro? | subtenon sen kalendaro | nenion | tujan buĝeton | eksiĝon | Subteno.
Q | "Limigita" signifas | havanta limojn | senlima | granda | rapida | Limigita.
@@
@R Post jaroj de kresko la eldonmerkato staras sur unu loko. Eldonistoj mencias la altiĝon de la paperprezo kaj la konkurencon de aŭdlibroj. Kelkaj vetas je pli malgrandaj eldonoj kaj zorge faritaj volumoj, tre petataj kiel donacoj, kio permesas singardan optimismon.
Q | Kiel evoluas la eldonmerkato? | Ĝi stagnas. | Ĝi kreskas rapide. | Ĝi malaperas. | Ĝi duobliĝas. | Stagno.
Q | Kion mencias la eldonistoj? | paperprezon kaj aŭdlibrojn | televidon | veteron | politikan krizon | Paperprezo.
Q | Je kio kelkaj vetas? | malgrandaj eldonoj kaj zorgaj volumoj | malaltaj prezoj | reklamo | filmoj | Zorga volumo.
Q | Kia estas la fina sinteno? | singarda optimismo | plena pesimismo | indiferenteco | kolero | Singarda optimismo.
Q | "Eldono" ĉi tie signifas | serio de presitaj ekzempleroj | bileto | loterio | breto | Eldono.
@@
@R La ŝipistino rompis la rekordon de solula transirado. Demandite pri sia sekreto, ŝi mencias malpli la teknikon ol la paciencon: akcepti, ke la maro decidas, rezigni pri kontrolo de tio, kio ne dependas de ŝi. Ŝi konfesas, ke la plej malfacila estis ne la malvarmo, sed la soleco de noktoj sen vento.
Q | Kian rekordon ŝi rompis? | de solula transirado | de rapideco | de plonĝado | de piedirado | Transirado.
Q | Kion ŝi metas antaŭ la tekniko? | la paciencon | la forton | la ŝancon | la monon | Pacienco.
Q | Kio estis plej malfacila? | la soleco de noktoj sen vento | la malvarmo | la malsato | la timo pri vento | Soleco.
Q | Kion oni devas akcepti? | ke la maro decidas | ke oni kontrolu ĉion | ke oni venku | ke oni rezignu | Maro decidas.
Q | "Rezigni pri" signifas | forlasi la ideon de | elekti | peti | kopii | Rezigni pri.
@@
@R La debato pri la markado de nacieco en statistikoj estas varma. Subtenantoj vidas ilon por taksi diskriminaciojn; kontraŭuloj timas misuzojn. Komitato de fakuloj proponas kompromison: anonimigitaj datumoj, alireblaj nur por esploristoj, kun regulaj kontroloj.
Q | Kio estas la temo de la debato? | nacieco en statistikoj | impostoj | lernejoj | pensioj | Nacieco.
Q | Kion vidas subtenantoj? | ilon por taksi diskriminaciojn | minacon | koston | politikan profiton | Ilo.
Q | Kion timas kontraŭuloj? | misuzojn | kostojn | erarojn | malrapidon | Misuzoj.
Q | Kion proponas la komitato? | anonimigitajn datumojn kaj kontrolojn | totalan malpermeson | malfermitan publikigon | rezignon | Kompromiso.
Q | "Misuzo" signifas | malĝusta uzo | alta uzo | malmulta uzo | nuligo | Misuzo.
@@
@R Esploristoj observis dum dek jaroj grupon de vulpoj, kiuj vivas en la ĉirkaŭurbo. Malkiel siaj kamparaj kuzoj, ili moviĝas malmulte, ĉar manĝaĵo abundas ĉirkaŭ la domoj. Ilia nombro dependus pli de la mastrumado de rubo ol de la verdaj spacoj, kio invitas rekonsideri la regulajn strategiojn.
Q | Kiom da tempo daŭris la observado? | dek jarojn | unu jaron | du jarojn | dudek jarojn | Dek jaroj.
Q | Kial tiuj vulpoj moviĝas malmulte? | Manĝaĵo abundas. | Ili estas malsanaj. | Estas baroj. | Ili dormas. | Abundo.
Q | Je kio dependas ilia nombro? | je la rubo-mastrumado | je la verdaj spacoj | je la klimato | je la ĉasado | Rubo.
Q | Kion invitas rekonsideri la rezultoj? | la regulajn strategiojn | la edukon | la arkitekturon | la turismon | Reguligo.
Q | "Ĉirkaŭurbo" signifas | ĉirkaŭaĵo de urbo | urbocentro | kamparo | maro | Ĉirkaŭurbo.
@@
@R Multaj gepatroj maltrankviliĝas pri la loko de ekranoj en la vivo de siaj infanoj. Studo mildigas tiun timon: gravas malpli la daŭro ol la maniero de uzo. Infano, kiu komunikas aŭ kreas per ekrano, fartas pli bone ol tiu, kiu pasive konsumas. La aŭtoroj tamen konsilas singardon, ĉar la specimeno estis malgranda.
Q | Kio pli gravas laŭ la studo? | la maniero de uzo | la daŭro de uzo | la prezo | la marko | Maniero.
Q | Kiu infano fartas pli bone? | tiu, kiu komunikas aŭ kreas | la pasiva | tiu sen ekranoj | tiu, kiu dormas malmulte | Aktiva uzo.
Q | Kial oni konsilas singardon? | La specimeno estis malgranda. | La studo estis malnova. | La gepatroj mensogas. | La ekranoj ŝanĝiĝas. | Malgranda specimeno.
Q | "Mildigi" signifas | fari malpli forta | forigi | konfirmi | troigi | Mildigi.
Q | La tono de la teksto estas | singarda | avertema | ironia | fervora | Singarda.
@@
# listening
@L Ĵurnalisto: Vi gvidas firmaon pri suna energio. Kiel estis la komenco? Direktoro: Malfacila. Ni havis bonan ideon, sed neniun kapitalon. Nur kiam investanto fidis nin, ni povis dungi la unuajn laboristojn.
Q | Kio mankis komence? | kapitalo | ideo | klientoj | oficejo | Manko de kapitalo.
Q | Kiam ili povis dungi laboristojn? | post kiam investanto fidis ilin | tuj | post du jaroj | neniam | Investanto.
Q | Pri kio la firmao okupiĝas? | suna energio | komputiloj | vestaĵoj | manĝaĵoj | Suna energio.
Q | Kiel la direktoro priskribas la komencon? | malfacila | facila | enuiga | amuza | Malfacila.
Q | Kio estas la rolo de la ĵurnalisto? | demandi | vendi | investi | gvidi | Intervjuo.
@@
@L Ŝi: Ĉu vi aŭdis, ke la trajno al Bruselo estas nuligita? Li: Ne, kio okazis? Ŝi: Arbo falis sur la reloj. Estas anstataŭa buso, sed ĝi bezonas preskaŭ duoble pli da tempo. Li: Tiam mi prenos aŭton.
Q | Kial la trajno estas nuligita? | Arbo falis sur la reloj. | Striko | Akcidento | Neĝo | Arbo.
Q | Kio ekzistas anstataŭe? | anstataŭa buso | aviadilo | taksio | nenio | Buso.
Q | Kiom da tempo bezonas la buso? | preskaŭ duoble | duono | same | tri tagojn | Duoble.
Q | Kion li decidas? | preni aŭton | resti hejme | preni la buson | atendi | Aŭto.
Q | Kien iras la trajno? | al Bruselo | al Parizo | al Berlino | al Vieno | Bruselo.
@@
@L Profesoro: La ciferecigo profunde ŝanĝas la laboron. Kontraŭe al ofta timo, ne nur malaperas postenoj; naskiĝas ankaŭ novaj profesioj, kiuj ankoraŭ ne havas nomon. Tial plej grava estas la kapablo lerni dum la tuta vivo.
Q | Kion emfazas la profesoro? | la kapablon lerni dum la tuta vivo | ke ĉiuj postenoj malaperos | ke la ciferecigo estas sendanĝera | ke ne estos novaj profesioj | Vivlonga lernado.
Q | Kio naskiĝas apud la malaperantaj postenoj? | novaj profesioj | novaj lernejoj | novaj leĝoj | novaj urboj | Novaj profesioj.
Q | "Profunde" signifas | en la fundo, ĝisfunde | supraĵe | rapide | malrapide | Profunde.
Q | Kia estas la ofta timo? | malapero de postenoj | kosto | bruo | vojaĝoj | Senlaboreco.
Q | Kia estas la sinteno de la profesoro? | ekvilibra | malamika | naiva | timema | Ekvilibra.
@@
@L Kliento: Bonan tagon, mi aĉetis ĉi tiun panrostilon antaŭ tri semajnoj kaj ĝi ne plu funkcias. Vendisto: Ĉu vi havas la kvitancon? Kliento: Jes, jen ĝi. Vendisto: Tiam ni povas ŝanĝi ĝin aŭ repagi. Kliento: Mi preferas repagon.
Q | Kio estas la problemo? | La aparato ne funkcias. | Ĝi estas tro kosta. | Ĝi estas tro granda. | Ĝi estas ŝtelita. | Paneo.
Q | Kion petas la vendisto? | la kvitancon | la pakaĵon | la identigilon | nur la garantion | Kvitanco.
Q | Kiujn eblojn proponas la vendisto? | ŝanĝon aŭ repagon | nur riparon | nenion | donackuponon | Ŝanĝo/repago.
Q | Kion elektas la kliento? | repagon | novan aparaton | riparon | kuponon | Repago.
Q | Kiam la kliento aĉetis la aparaton? | antaŭ tri semajnoj | antaŭ tri jaroj | hieraŭ | antaŭ tri monatoj | Tri semajnoj.
@@
@L Anoncisto: Bonan vesperon. Dum la nokto pluvos en la tuta lando, kun neĝo super mil ducent metroj. Morgaŭ matene estos nebulo; dum la tago la nuboj disiĝos, posttagmeze la suno brilos intertempe, kun maksimuma temperaturo ĉirkaŭ dek kvar gradoj.
Q | Kie neĝos dum la nokto? | super mil ducent metroj | ĉie | ĉe la maro | nenie | Alte.
Q | Kia estos la mateno? | nebula | suna | fulma | varma | Nebulo.
Q | Kio okazos posttagmeze? | La suno brilos intertempe. | Neĝos. | Blovos ŝtormo. | Pluvos forte. | Intertempa suno.
Q | Kiom estos la maksimuma temperaturo? | ĉirkaŭ dek kvar gradoj | kvar gradoj | dudek kvar gradoj | kvardek gradoj | 14.
Q | Kio estas tiu ĉi teksto? | veterprognozo | reklamo | intervjuo | artikolo | Veterprognozo.
@@
@L Studentino: Mi ne povos transdoni la diplomlaboron vendrede. Gvidanto: Kial? Studentino: Mi trovis pli da fontoj ol mi atendis kaj mi ne scias kiel organizi ilin. Gvidanto: Tio estas bona problemo. Limigu vin al la tri ĉefaj kaj ni prokrastos la limdaton je unu semajno.
Q | Kial ŝi ne povas transdoni la laboron? | Ŝi havas tro da fontoj. | Ŝi malsanas. | Ŝi ne havas fontojn. | Ŝi ne havas tempon. | Tro da fontoj.
Q | Kion konsilas la gvidanto? | limigi sin al tri fontoj | serĉi pliajn | rezigni | reskribi ĉion | Tri fontoj.
Q | Je kiom la limdato estas prokrastita? | je unu semajno | je unu monato | je unu tago | neniom | Semajno.
Q | Kiel la gvidanto nomas la problemon? | bona problemo | katastrofo | nesolvebla | embarasa | Bona problemo.
Q | Kiam estis la origina limdato? | vendrede | lunde | en junio | morgaŭ | Vendredo.
@@
@L Raportisto: La urbestro hodiaŭ anoncis la konstruon de nova ponto kostanta kvardek milionojn da eŭroj. Kontraŭuloj denuncas malŝparon dum mankas mono en la lernejoj. La urbestro respondas, ke la ponto vigligos la tutan regionon.
Q | Kion anoncis la urbestro? | konstruon de ponto | detruon de ponto | imposton | balotojn | Ponto.
Q | Kiom kostos la ponto? | kvardek milionojn da eŭroj | kvar milionojn | kvarcent milionojn | dek kvar milionojn | 40 M.
Q | Kion denuncas la kontraŭuloj? | malŝparon dum lernejoj mankas mono | malbelecon | grandon | manko de plano | Malŝparo.
Q | Kiel defendas sin la urbestro? | La ponto vigligos la regionon. | Li silentas. | Li nuligas. | Li citas la lernejojn. | Ekonomia efiko.
Q | Kia teksto tio estas? | novaĵo | poemo | reklamo | letero | Novaĵo.
@@
@L Patrino: Kiel iris via unua tago en la nova laboro? Filino: Laciga, sed bona. Ĉiuj estis afablaj kaj la ĉefo jam donis al mi projekton. Patrino: Jam la unuan tagon? Filino: Jes, mi iom timis, sed estas agrable havi tiom da respondeco.
Q | Kiel estis la unua tago? | laciga sed bona | malbona | enuiga | katastrofa | Laciga sed bona.
Q | Kion donis la ĉefo al ŝi? | projekton | ferion | premion | maldungon | Projekto.
Q | Kiel ŝi sentas sin? | iom timema sed kontenta | kolera | malĝoja | indiferenta | Ambaŭ sentoj.
Q | La kolegoj estis | afablaj | malvarmaj | forestantaj | severaj | Afablaj.
Q | Kiu parolas kun kiu? | filino kun patrino | ĉefo kun patrino | du kolegoj | du amikoj | Filino/patrino.
@@
@L Kuracisto: Viaj analizoj ĝenerale estas bonaj, sed la sangopremo estas iom alta. Mi konsilas pli moviĝi kaj malpli salumi la manĝaĵon. Post tri monatoj ni kontrolos denove, kaj se nenio ŝanĝiĝos, ni parolos pri medikamentoj.
Q | Kio estas iom alta? | la sangopremo | la sukero | la temperaturo | la pezo | Sangopremo.
Q | Kion devas fari la paciento? | pli moviĝi kaj malpli salumi | preni medikamentojn | nenion | resti en lito | Movado kaj sal-reduko.
Q | Kiam estos la sekva kontrolo? | post tri monatoj | post tri tagoj | post unu jaro | morgaŭ | Tri monatoj.
Q | Kiam ili parolos pri medikamentoj? | se nenio ŝanĝiĝos | tuj | neniam | venontjare | Kondiĉe.
Q | Kiaj estas la analizoj ĝenerale? | bonaj | malbonaj | danĝeraj | necertaj | Bonaj.
@@
@L Vojaĝagentejo: Via flugo al Vieno estas nuligita. Ni povas ŝanĝi ĝin al la jaŭda aŭ repagi plene. Kliento: Ĵaŭdo estas tro malfrue, mi havas rendevuon merkrede. Agentejo: Tiam restas nur repago, kaj vi mem devos mendi alian flugon.
Q | Kio okazis al la flugo? | Ĝi estis nuligita. | Ĝi malfruis. | Ĝi estis avancita. | Ĝi estis vendita. | Nuligo.
Q | Kion proponas la agentejo? | ŝanĝon aŭ repagon | trajnon | hotelon | kuponon | Ŝanĝo/repago.
Q | Kial ĵaŭdo ne taŭgas? | La kliento havas rendevuon merkrede. | Li malsanas. | Li ne havas monon. | Li malŝatas flugi. | Merkreda rendevuo.
Q | Kio restas fine? | repago | ŝanĝo | kuponon | kompenson | Repago.
Q | Kien la kliento iras? | al Vieno | al Berlino | al Zuriko | al Prago | Vieno.
@@
@L Trejnisto: Vi bone ludis en la unua duono, sed vi perdis tro da pilkoj. En la dua duono estu pli trankvilaj kaj pli bone uzu la spacojn. Estro: Kaj se ili premos alte? Trejnisto: Tiam ni ludos longajn pilkojn al la flankoj.
Q | Kion laŭdas la trejnisto? | la unuan duonon | la defendon | la spektantojn | la gazonon | Unua duono.
Q | Kion li kritikas? | perdon de tro da pilkoj | manko de kurado | kvereloj | malfruo | Perdoj.
Q | Kion devas fari la ludantoj? | esti pli trankvilaj | kuri pli | premi | rezigni | Trankvilo.
Q | Kion fari se la kontraŭulo premos alte? | ludi longajn pilkojn al la flankoj | reiri | ŝanĝi | halti | Longaj pilkoj.
Q | Kiu starigas la demandon? | la estro (ĉefo de la teamo) | la trejnisto | spektanto | arbitraciisto | Teamestro.
@@
@L Ĵurnalisto: Kiel vi klarigas la sukceson de via partio? Ministro: Ni proponis konkretajn solvojn anstataŭ instigi timojn. Ĵurnalisto: Viaj kontraŭuloj diras, ke vi ne havas financan planon. Ministro: Tio ne veras. La plano jam estas publike konata; sufiĉas legi ĝin.
Q | Kiel la ministro klarigas la sukceson? | per konkretaj solvoj | per ŝanco | per mono | per reklamo | Solvoj.
Q | Kion riproĉas la kontraŭuloj? | mankon de financa plano | mensogojn | korupton | senagon | Financa plano.
Q | Kiel reagas la ministro? | Ŝi neas. | Ŝi konfesas. | Ŝi silentas. | Ŝi foriras. | Neo.
Q | La tono de la ministro estas | memcerta | timema | indiferenta | malĝoja | Memcerta.
Q | Kion signifas "jam publike konata"? | ĉiuj povas koni ĝin | kontrakto | libro | kalkulo | Publike konata.
@@
@L Anonco: Estimataj pasaĝeroj, pro difekto de signalaparato la trajno 574 al Antverpeno malfruos ĉirkaŭ dudek minutojn. Ni pardonpetas. Pasaĝeroj al Mechelen bonvolu uzi la regionan trajnon ĉe la kvara perono; ĝi ekveturos post kvin minutoj.
Q | Kial la trajno malfruas? | pro difekto de signalaparato | pro striko | pro akcidento | pro vetero | Signaloj.
Q | Kiom da tempo ĝi malfruas? | ĉirkaŭ dudek minutojn | du horojn | kvin minutojn | unu horon | 20 minutoj.
Q | Kien iras la trajno 574? | al Antverpeno | al Mechelen | al Gento | al Brugo | Antverpeno.
Q | Kion faru pasaĝeroj al Mechelen? | uzi la regionan trajnon ĉe la kvara perono | atendi | preni taksion | preni la trajnon 574 | Regiona trajno.
Q | Kiam ekveturos la regiona trajno? | post kvin minutoj | post unu horo | nun | neniam | Kvin minutoj.
@@
@L Najbaro: Mi venis pro la bruo. Hieraŭ vespere vi festis ĝis la tria nokte. Loĝanto: Mi ege bedaŭras. Estis la naskiĝtago de mia filo kaj ni ne pensis, ke oni tiel aŭdas. Najbaro: Mi komprenas, sed tio ne plu okazu. Loĝanto: Certe, mi atentos.
Q | Pri kio plendas la najbaro? | pri bruo | pri rubo | pri parkado | pri lupago | Bruo.
Q | Kial oni festis? | pro la naskiĝtago de la filo | pro geedziĝo | pro Novjaro | pro translokiĝo | Naskiĝtago.
Q | Kiel reagas la loĝanto? | Li pardonpetas. | Li koleras. | Li neas. | Li ridas. | Pardonpeto.
Q | Kion postulas la najbaro? | ke tio ne plu okazu | monon | akuzon | translokiĝon | Ne ripeti.
Q | Ĝis kioma horo daŭris la festo? | ĝis la tria | ĝis la deka | ĝis noktomezo | ĝis la kvina | Tria.
@@
@L Profesorino: La klimata ŝanĝiĝo ne estas problemo de la estonteco, sed de la nuno. Ekstremaj vetero-eventoj kreskas, rikoltoj suferas, bordoj estas minacataj. Oni ne povas plene haltigi ĝin, sed ĉiu dekono da grado malpli da varmiĝo multe reduktas la sekvojn.
Q | Kiam estas problemo la klimata ŝanĝiĝo? | jam nun | nur estonte | neniam | post cent jaroj | Nuno.
Q | Kio kreskas? | ekstremaj veteraĵoj | rikoltoj | bordoj | nur pluvoj | Ekstremoj.
Q | Ĉu oni povas plene haltigi ĝin? | ne | jes | jes, en la nordo | eble | Ne.
Q | Kio reduktas la sekvojn? | ĉiu dekono da grado malpli da varmiĝo | pli da aŭtoj | pli da industrio | nenifarado | Malpli da varmiĝo.
Q | La tono de la profesorino estas | urĝa | gaja | ironia | indiferenta | Urĝa.
@@
@L Ŝi: Mi pensas vendi mian apartamenton. Li: Ĉu vere? Vi ĵus renovigis ĝin. Ŝi: Ĝuste pro tio. La valoro altiĝis kaj la interezoj ankoraŭ estas akcepteblaj. Kun la vendo mi povus aĉeti ion pli malgrandan en la urbocentro. Li: Ŝajnas prudente, sed ne hastu.
Q | Kion pensas fari la virino? | vendi sian apartamenton | lui domon | translokiĝi sen vendi | edziniĝi | Vendi.
Q | Kial nun? | La valoro altiĝis. | Ŝi bezonas monon. | Ŝi malamas ĝin. | Estas kverelo. | Valoro.
Q | Kion ŝi volas aĉeti? | pli malgrandan en la centro | domon kampare | aŭton | terpecon | Centro.
Q | Kion konsilas la viro? | ne hasti | vendi tuj | nenion fari | atendi kvin jarojn | Preteco.
Q | La apartamento estis | ĵus renovigita | luita | vendita | detruita | Renovigita.
@@
@L Dungito: La raporto estas preta, sed mi dubas pri la ciferoj. Ĉefo: Kiuj? Dungito: La vendoj de la tria trimonato estas tiel altaj, ke mi suspektas enigan eraron. Ĉefo: Tiam kontrolu ĉion antaŭ ol sendi.
Q | Kio maltrankviligas la dungiton? | la vendaj ciferoj | la aranĝo | la limdato | la titolo | Ciferoj.
Q | Kion li suspektas? | enigan eraron | fraŭdon | ŝtelon | viruson | Eraro.
Q | Kion petas la ĉefo? | kontroli antaŭ sendo | tuj sendi | maldungi | reskribi ĉion | Kontrolo.
Q | Pri kiu trimonato temas? | la tria | la unua | la dua | la kvara | Tria.
Q | La raporto estas | preta | nekomencita | perdita | publikigita | Preta.
@@
@L Voĉo: Vi atingis la voĉpoŝton de Sinjorino Berger. Mi forestas ĝis la dekkvina de majo. Urĝe kontaktu mian kolegon, S-ron Lang, ĉe interna numero kvar kvin ses sep. Mi respondos al via mesaĝo post mia reveno.
Q | Ĝis kiam ŝi forestas? | ĝis la dekkvina de majo | ĝis fino de majo | ĝis morgaŭ | ĝis lundo | 15 majo.
Q | Kiun kontakti urĝe? | S-ron Lang | Sinjorinon Berger | la direkcion | la recepcion | Lang.
Q | Kiam ŝi respondos? | post sia reveno | nun | neniam | morgaŭ | Reveno.
Q | Kio estas la aŭdita teksto? | voĉpoŝta anonco | reklamo | letero | konversacio | Voĉpoŝto.
Q | Kiu estas la interna numero de la kolego? | 4567 | 7654 | 4576 | 5467 | 4567.
@@
@L Instruisto: Antaŭ ol komenci la novan temon, diskutu en grupoj, kion vi jam scias pri daŭripovo. Notu tri punktojn kaj poste ĉiu grupo prezentu unu rezulton. Vi havas dek minutojn.
Q | Kion faru la lernantoj unue? | diskuti en grupoj, kion ili scias | fari teston | nur aŭskulti | iri hejmen | Grupa diskuto.
Q | Kiom da punktoj oni notu? | tri | du | kvin | dek | Tri.
Q | Kio sekvas poste? | ĉiu grupo prezentas unu rezulton | la instruisto taksas | paŭzo | testo | Prezento.
Q | Kiom da tempo ili havas? | dek minutojn | unu horon | kvin minutojn | dudek minutojn | Dek minutoj.
Q | Kio estas la temo? | daŭripovo | historio | sporto | politiko | Daŭripovo.
@@
@L Kolego A: La kliento denove plendis. Kolego B: Pri kio ĉifoje? Kolego A: Li diras, ke la sendaĵo estis nekompleta. Tamen ni enpakis ĉion laŭ la listo. Kolego B: Eble io perdiĝis dum la transporto. Mi telefonos al la transportisto.
Q | Pri kio plendas la kliento? | pri nekompleta sendaĵo | pri prezo | pri kvalito | pri malfruo | Nekompleta.
Q | Kion diras la kolegoj pri la enpakado? | Ĉio estis enpakita laŭ la listo. | Io mankis. | Nenio estis enpakita. | La kliento mensogas. | Laŭ listo.
Q | Kion supozas kolego B? | perdon dum transporto | fraŭdon | eraron de la kliento | ŝtelon en la stokejo | Transporto.
Q | Kion li faros? | telefoni al la transportisto | telefoni al la kliento | voki la policon | eksiĝi | Transportisto.
Q | La kliento plendas | denove | unuafoje | neniam | malofte | Denove.
@@
# writing
Q | Elektu la ĝustan konektilon: La projekto estas multekosta; ＿＿ ĝi estas profita longtempe. | tamen | tial | krome | ĉar | Kontrasto: tamen.
Q | Elektu la ĝustan konektilon: Li ne lernis; ＿＿ li malsukcesis en la ekzameno. | tial | tamen | dum | kvankam | Konsekvenco: tial.
Q | Elektu la ĝustan konektilon: Rapidu; ＿＿ vi perdos la trajnon. | alie | tial | krome | tamen | Alie = alikaze.
Q | Elektu la ĝustan konektilon: La urbo estas bela; ＿＿ ĝi estas tre kosta. | sed | tial | do | ĉar | Malaprobo: sed.
Q | Elektu la ĝustan konektilon: ＿＿ la vetero estis malbona, la festo okazis. | Kvankam | Ĉar | Por ke | Se | Koncesio.
