# gramatica
Q | ＿＿他很努力，成绩还是不理想。 | 尽管 | 何况 | 不如 | 因此 | 尽管…还是: 让步.
@R 随着流媒体的普及，人们发现音乐的方式主要由算法决定。支持者认为这是一种“民主化”，批评者则认为它把人困在自己的口味里。最近的一项研究表明，跟随个性化歌单的听众，听的曲风比自由搜索的听众少得多。
Q | 人们主要通过什么发现音乐？ | 算法 | 广播 | 评论家 | 演唱会 | 算法.
Q | 批评者担心什么？ | 把人困在自己的口味里 | 价格 | 难以获取 | 质量 | 口味局限.
Q | 研究表明了什么？ | 跟随歌单的人听的曲风更少 | 大家听得更多 | 流媒体免费 | 广播增加 | 曲风少.
Q | “批评者”的意思是？ | 提出反对意见的人 | 粉丝 | 音乐家 | 老板 | 批评者.
Q | 文章的写法是？ | 介绍了两种观点 | 只讲一种观点 | 广告 | 诗歌 | 平衡.
@@
@R 报社总编辑为深度调查报道辩护。他不愿追逐快讯，宁可减少出版次数，也要提供深入的采访。他说，广告商也需要可靠的读者。反对者则反驳说，这种模式只有少数依靠赞助的媒体才能维持。
Q | 总编辑为什么辩护？ | 深度调查报道 | 快讯 | 广告 | 免费 | 深度报道.
Q | 他想避免什么？ | 追逐快讯 | 广告商 | 采访 | 读者 | 快讯.
Q | 反对者的理由是？ | 只有少数媒体能维持 | 成本低 | 人人喜欢 | 不合法 | 少数.
Q | “反驳”的意思是？ | 用理由否定对方意见 | 忽视 | 写作 | 打击 | 反驳.
Q | 总编辑认为广告商需要什么？ | 可靠的读者 | 快讯 | 免费 | 没兴趣 | 可靠读者.
@@
@R 这场展览展出的是日常小物件，邀请观众用新的眼光看待已经不再留意的东西。一把勺子、一颗纽扣、一把钥匙，都在讲述一个时代、一种职业、一种生活方式。策展人说，他既不想怀旧，也不想炫学，只希望观众留心观看。
Q | 展览展出什么？ | 日常小物件 | 绘画 | 汽车 | 珠宝 | 小物件.
Q | 策展人希望什么？ | 观众留心观看 | 怀旧 | 炫学 | 冲击 | 留心.
Q | 每件东西讲述什么？ | 时代和生活方式 | 谜团 | 审判 | 旅行 | 时代生活.
Q | “策展人”是什么人？ | 策划展览的人 | 医生 | 法官 | 导游 | 策展人.
Q | 文章的语气是？ | 平静 | 粗暴 | 滑稽 | 匆忙 | 平静.
@@
@R 面对海平面上升，一些沿海城市正在考虑让居民迁移。这个长期被视为禁忌的想法，逐渐得到支持，因为维护海堤的费用越来越高，效果却越来越差。至于谁来承担搬迁费用，如何保住整个村庄的认同，仍是未解决的问题。
Q | 一些沿海城市在考虑什么？ | 让居民迁移 | 建海堤 | 关闭海滩 | 卖地 | 迁移.
Q | 这个想法为什么得到支持？ | 海堤费用高而效果差 | 雨少了 | 海水下降 | 大家要求 | 费用与效果.
Q | 仍未解决的问题是？ | 谁承担搬迁费用 | 谁建海堤 | 港口位置 | 捕鱼 | 费用.
Q | “禁忌”的意思是？ | 不宜谈论或触碰的事 | 流行 | 古老 | 免费 | 禁忌 = tabú.
Q | “得到支持”的意思是？ | 有更多人赞成 | 力量减弱 | 消失 | 隐藏 | 得到支持.
@@
@R 远程办公的普及改变了同事之间的关系。个人任务的效率提高了，但孕育创新的非正式交流却减少了。强制全面回到办公室的公司可能引起反感，而完全放弃的公司又可能失去共同的文化。
Q | 远程办公改变了什么？ | 同事之间的关系 | 工资 | 时间表 | 交通 | 关系.
Q | 什么减少了？ | 非正式交流 | 任务 | 会议 | 邮件 | 非正式交流.
Q | 强制回办公室会怎样？ | 引起反感 | 增加创新 | 减少噪音 | 增加远程 | 反感.
Q | 放弃回办公室的公司可能失去什么？ | 共同的文化 | 员工 | 钱 | 办公室 | 文化.
Q | “孕育”在文中的意思是？ | 培养产生 | 怀孕 | 消失 | 阻止 | 孕育.
@@
@R 这位诗人一向不喜欢颁奖典礼。听说自己获得大奖时，他起初以为是玩笑，随后又为不能出席而道歉。他让人代为宣读一段短文，其中特别感谢“把诗带在身边、让诗保持生命的读者”。
Q | 诗人起初怎么反应？ | 以为是玩笑 | 非常高兴 | 拒绝 | 哭了 | 玩笑.
Q | 颁奖那天诗人做了什么？ | 让人代读短文 | 出席 | 唱歌 | 写书 | 代读.
Q | 诗人特别感谢谁？ | 读者 | 评委 | 家人 | 出版社 | 读者.
Q | 诗人对典礼的态度是？ | 一向回避 | 热衷 | 好奇 | 害怕 | 回避.
Q | “回避”的意思是？ | 有意避开 | 喜欢 | 知道 | 写作 | 回避.
@@
@R 政府提出一项教育改革方案，要减少贫困地区每个班的学生人数。老师们表示欢迎，但指出班级规模并不是全部：没有持续的培训和教学资源，效果将十分有限。部长承诺提供支持，却没有说明具体时间表。
Q | 改革方案的内容是？ | 减少每班学生人数 | 增加假期 | 减少课程 | 新考试 | 班级规模.
Q | 老师们的反应是？ | 欢迎但有保留 | 反对 | 无视 | 辞职 | 欢迎+保留.
Q | 老师们认为还需要什么？ | 持续培训和教学资源 | 更多学生 | 更少课 | 处罚 | 培训、资源.
Q | 部长承诺了什么？ | 提供支持(没有时间表) | 什么都没有 | 立即拨款 | 辞职 | 承诺支持.
Q | “有限”的意思是？ | 有一定范围的 | 无限的 | 很大的 | 很快的 | 有限.
@@
@R 经过几年的增长，出版市场进入了停滞期。出版社把原因归结为纸价上涨和有声书的竞争。也有一些出版社选择减少印数、推出精心制作的版本，因为这种版本作为礼品需求旺盛，这让人们产生了谨慎的乐观。
Q | 出版市场现状是？ | 停滞 | 快速增长 | 消失 | 翻倍 | 停滞.
Q | 出版社提到的原因是？ | 纸价上涨和有声书 | 电视 | 天气 | 政治危机 | 纸价、有声书.
Q | 一些出版社的策略是？ | 减少印数、推出精制版本 | 降价 | 打广告 | 拍电影 | 少印精制.
Q | 文章最后的态度是？ | 谨慎的乐观 | 完全悲观 | 冷漠 | 愤怒 | 谨慎乐观.
Q | “印数”的意思是？ | 印刷的册数 | 票 | 彩票 | 书架 | 印数.
@@
@R 这位女航海家打破了单人横渡的纪录。被问到秘诀时，她提到的不是技术，而是耐心：接受由大海来决定，放下对自己无法左右的事情的控制欲。她坦言，最难熬的不是寒冷，而是无风夜晚的孤独。
Q | 她打破了什么纪录？ | 单人横渡纪录 | 比赛速度 | 潜水 | 步行距离 | 单人横渡.
Q | 她强调比技术更重要的是？ | 耐心 | 力量 | 运气 | 金钱 | 耐心.
Q | 她觉得最难熬的是什么？ | 无风夜晚的孤独 | 寒冷 | 饥饿 | 风 | 孤独.
Q | 她说要接受什么？ | 由大海来决定 | 控制一切 | 获胜 | 放弃 | 接受海的决定.
Q | “放下”在文中的意思是？ | 不再执着 | 放在地上 | 忘记 | 抓住 | 放下 = soltar.
@@
@R 关于在统计中标注国籍的争论十分激烈。支持者认为这可以成为评估歧视的工具，反对者则担心资料被挪作他用。专家委员会提出折中方案：资料经过匿名处理，只允许研究人员查阅，并定期检查。
Q | 争论的话题是什么？ | 统计中标注国籍 | 税收 | 学校 | 养老金 | 国籍标注.
Q | 支持者怎么看？ | 可以评估歧视 | 是威胁 | 是负担 | 政治利益 | 评估歧视.
Q | 反对者担心什么？ | 资料被挪作他用 | 费用 | 错误 | 缓慢 | 滥用.
Q | 委员会的折中方案是？ | 匿名、仅研究人员查阅、定期检查 | 全面禁止 | 公开 | 放弃 | 折中.
Q | “挪作他用”的意思是？ | 用于别的目的 | 丢失 | 加快 | 禁止 | 挪用.
@@
@R 餐馆老板被迫停业半年。重新开业时，她调整了菜单，减少菜品数量，并开始使用本地食材。顾客起初有些不习惯，后来很快接受了新的形式。她说，这场危机逼着她做了拖延多年的事情：把事情简化。
Q | 餐馆停业多久？ | 半年 | 两个月 | 一年 | 一周 | 半年.
Q | 她做了什么调整？ | 调整菜单 | 改地址 | 改名字 | 换厨师 | 菜单.
Q | 顾客的反应是？ | 先不习惯，后接受 | 生气 | 冷淡 | 离开 | 接受.
Q | 危机让她完成了什么？ | 简化 | 扩大 | 关店 | 出售 | 简化.
Q | “拖延”的意思是？ | 推迟不做 | 拒绝 | 拉长 | 推开 | 拖延.
@@
@R 研究人员对郊区的一群狐狸观察了十年。与乡村的狐狸不同，它们几乎不移动，因为住宅附近食物充足。它们的数量似乎更取决于垃圾管理而不是绿地，这提示人们重新考虑控制数量的策略。
Q | 观察了多长时间？ | 十年 | 一年 | 两年 | 二十年 | 十年.
Q | 这些狐狸为什么几乎不移动？ | 食物充足 | 生病 | 有围栏 | 睡觉 | 食物充足.
Q | 狐狸数量取决于什么？ | 垃圾管理 | 绿地 | 气候 | 狩猎 | 垃圾管理.
Q | 这个发现提示什么？ | 重新考虑控制策略 | 教育改革 | 建筑 | 旅游 | 重新考虑.
Q | “郊区”的意思是？ | 城市周围的地区 | 市中心 | 乡村 | 海边 | 郊区.
@@
# listening
@L 记者：您经营一家太阳能创业公司，刚开始的时候怎么样？ 经理：很艰难。我们有好点子，但是没有资金。直到一位投资人相信我们，我们才招到第一批员工。
Q | 起初缺少什么？ | 资金 | 点子 | 客户 | 办公室 | 缺资金.
Q | 他们什么时候能招员工？ | 投资人相信他们之后 | 立刻 | 两年后 | 一直不能 | 投资之后.
Q | 这家公司做什么？ | 太阳能 | 电脑 | 服装 | 食品 | 太阳能.
Q | 经理怎么形容起初的时候？ | 很艰难 | 很轻松 | 很无聊 | 很有趣 | 艰难.
Q | 记者的角色是？ | 提问 | 销售 | 投资 | 经营 | 采访.
@@
@L 女：你听说了吗？去上海的高铁停运了。 男：没有，怎么回事？ 女：听说一棵树倒在了铁轨上。有替代大巴，可是要多花将近一倍的时间。 男：那我还是开车去吧。
Q | 高铁为什么停运？ | 一棵树倒在铁轨上 | 罢工 | 事故 | 下雪 | 树倒.
Q | 用什么代替高铁？ | 替代大巴 | 飞机 | 出租车 | 没有 | 大巴.
Q | 大巴要花多长时间？ | 将近一倍 | 一半 | 一样 | 三天 | 近一倍.
Q | 男的决定怎么做？ | 开车去 | 待在家里 | 坐大巴 | 等一等 | 开车.
Q | 高铁去哪里？ | 上海 | 北京 | 广州 | 深圳 | 上海.
@@
@L 教授：数字化正在从根本上改变工作。与人们常有的担心不同，消失的不只是岗位，还会出现许多现在还没有名称的新职业。所以，终身学习的能力最为重要。
Q | 教授强调什么？ | 终身学习的能力 | 所有工作都会消失 | 数字化没有害处 | 没有新职业 | 终身学习.
Q | 除了岗位消失，还会出现什么？ | 新职业 | 新学校 | 新法律 | 新城市 | 新职业.
Q | “从根本上”的意思是？ | 彻底地 | 表面上 | 迅速地 | 缓慢地 | 根本.
Q | 人们常有的担心是什么？ | 岗位消失 | 费用 | 噪音 | 旅行 | 失业.
Q | 教授的态度是？ | 比较平衡 | 敌对 | 天真 | 胆怯 | 平衡.
@@
@L 顾客：你好，我三个星期前买了这个烤面包机，现在坏了。 店员：您带发票了吗？ 顾客：带了，给你。 店员：那我们可以给您换一个，也可以退款。 顾客：我想退款。
Q | 出了什么问题？ | 机器坏了 | 太贵 | 太大 | 被偷 | 坏了.
Q | 店员要什么？ | 发票 | 包装 | 身份证 | 只要保修卡 | 发票.
Q | 店员提出什么办法？ | 换货或退款 | 只修理 | 没有 | 代金券 | 换或退.
Q | 顾客选择什么？ | 退款 | 新机器 | 修理 | 代金券 | 退款.
Q | 顾客买了多久了？ | 三个星期 | 三年 | 昨天 | 三个月 | 三星期.
@@
@L 播音员：晚上好。今天夜间全国有雨，海拔一千二百米以上的山区有雪。明天早晨有雾，中午前后云层渐散，下午有时有阳光，白天最高气温十四度左右。
Q | 哪里会下雪？ | 海拔一千二百米以上的山区 | 全国 | 沿海 | 没有 | 高山.
Q | 明天早晨天气怎样？ | 有雾 | 晴 | 雷雨 | 很热 | 雾.
Q | 明天下午天气怎样？ | 有时有阳光 | 下雪 | 暴风 | 大雨 | 间晴.
Q | 白天最高气温是多少？ | 十四度左右 | 四度 | 二十四度 | 四十度 | 14度.
Q | 这段话是什么？ | 天气预报 | 广告 | 采访 | 新闻 | 天气预报.
@@
@L 学生：老师，周五之前我恐怕交不了毕业论文。 导师：为什么？ 学生：我找到的资料比预想的多，不知道怎么整理。 导师：这是个好问题。你只挑最重要的三个来写吧，截止日期我给你延长一周。
Q | 学生为什么交不了论文？ | 资料太多 | 生病 | 没有资料 | 没时间 | 资料多.
Q | 导师建议什么？ | 只选三个 | 再找更多 | 放弃 | 重写 | 选三个.
Q | 截止日期延长多久？ | 一周 | 一个月 | 一天 | 不延长 | 一周.
Q | 导师怎么说这个问题？ | 好问题 | 灾难 | 无法解决 | 麻烦 | 好问题.
Q | 原来的截止日期是？ | 周五 | 周一 | 六月 | 明天 | 周五.
@@
@L 记者：市长今天宣布要修建一座新桥，预算约四亿元。反对者批评说，学校经费不足，这是浪费；市长则回应说，这座桥将带动整个地区的经济。
Q | 市长宣布了什么？ | 修建新桥 | 拆桥 | 征税 | 选举 | 新桥.
Q | 预算是多少？ | 约四亿元 | 四千万元 | 四十亿元 | 十四亿元 | 四亿.
Q | 反对者批评什么？ | 学校经费不足却浪费 | 太丑 | 太大 | 没有规划 | 浪费.
Q | 市长怎么回应？ | 会带动地区经济 | 沉默 | 取消 | 提到学校 | 经济效益.
Q | 这段话是什么？ | 新闻 | 诗 | 广告 | 信 | 新闻.
@@
@L 妈妈：第一天上班怎么样？ 女儿：挺累的，不过很好。大家都很友好，经理还让我负责一个项目。 妈妈：第一天就这样？ 女儿：是啊，有点紧张，不过承担责任反而让我觉得有意思。
Q | 第一天怎么样？ | 累但不错 | 很糟 | 很无聊 | 是灾难 | 累但好.
Q | 经理交给她什么？ | 一个项目 | 假期 | 奖金 | 辞退 | 项目.
Q | 女儿的心情是？ | 有点紧张但觉得有意思 | 生气 | 难过 | 冷漠 | 紧张兴奋.
Q | 同事们怎么样？ | 友好 | 冷淡 | 不在 | 严格 | 友好.
Q | 谁在和谁说话？ | 女儿和妈妈 | 经理和妈妈 | 两个同事 | 两个朋友 | 母女.
@@
@L 医生：您的检查结果总体不错，就是血压有点高。要多运动，少吃盐。三个月后再复查，如果还没变化，我们再谈用药。
Q | 什么有点高？ | 血压 | 血糖 | 体温 | 体重 | 血压.
Q | 病人应该怎么做？ | 多运动少吃盐 | 吃药 | 什么都不做 | 躺着 | 运动、少盐.
Q | 下次复查是什么时候？ | 三个月后 | 三天后 | 一年后 | 明天 | 三个月.
Q | 什么时候谈用药？ | 没变化的话 | 现在 | 从不 | 明年 | 条件.
Q | 检查结果总体怎么样？ | 不错 | 很差 | 危险 | 不清楚 | 不错.
@@
@L 旅行社：您预订的去维也纳的航班取消了。我们可以帮您改签周四的航班，或者全额退款。 客人：周四太晚了，我周三有约。 旅行社：那就只能退款，别的航班需要您自己订。
Q | 航班怎么了？ | 被取消 | 延误 | 提前 | 卖光 | 取消.
Q | 旅行社的建议是什么？ | 改签或退款 | 坐火车 | 住酒店 | 代金券 | 改签或退.
Q | 周四为什么不行？ | 周三有约 | 生病 | 没钱 | 不喜欢飞 | 周三有约.
Q | 最后剩下什么办法？ | 退款 | 改签 | 代金券 | 赔偿 | 退款.
Q | 客人要去哪里？ | 维也纳 | 柏林 | 苏黎世 | 布拉格 | 维也纳.
@@
@L 教练：上半场你们踢得不错，但是丢球太多。下半场要更冷静，多利用空当。 队长：如果他们前场紧逼呢？ 教练：那就用长传打边路。
Q | 教练表扬什么？ | 上半场 | 防守 | 球迷 | 草坪 | 上半场.
Q | 教练批评什么？ | 丢球太多 | 跑得少 | 吵架 | 迟到 | 丢球.
Q | 队员应该怎么做？ | 更冷静 | 多跑 | 紧逼 | 放弃 | 冷静.
Q | 对手前场紧逼怎么办？ | 长传打边路 | 后退 | 换人 | 停下 | 长传.
Q | 谁提出了问题？ | 队长 | 教练 | 球迷 | 裁判 | 队长.
@@
@L 记者：您如何解释贵党的成功？ 部长：因为我们提出了具体的解决办法，而不是煽动恐惧。 记者：对手说你们没有资金方案。 部长：这不是事实。方案早已公布，只要读一读就知道了。
Q | 部长如何解释成功？ | 提出具体办法 | 运气 | 金钱 | 宣传 | 具体办法.
Q | 对手批评什么？ | 没有资金方案 | 说谎 | 腐败 | 无能 | 没资金.
Q | 部长的反应是？ | 否认 | 承认 | 沉默 | 离开 | 否认.
Q | 部长的语气是？ | 很有把握 | 胆怯 | 冷漠 | 悲伤 | 自信.
Q | “已经公布”说明什么？ | 方案大家都能看到 | 合同 | 书 | 账单 | 公开.
@@
@L 广播：各位旅客，由于信号设备故障，开往杭州的高铁574次将晚点约二十分钟，给您带来不便，敬请谅解。前往苏州的旅客，请到七站台乘坐普速列车，五分钟后发车。
Q | 高铁为什么晚点？ | 信号设备故障 | 罢工 | 事故 | 天气 | 信号故障.
Q | 晚点多久？ | 约二十分钟 | 两小时 | 五分钟 | 一小时 | 二十分钟.
Q | 高铁开往哪里？ | 杭州 | 苏州 | 上海 | 南京 | 杭州.
Q | 去苏州的旅客应该怎么做？ | 乘七站台的普速列车 | 等待 | 打车 | 乘高铁 | 普速列车.
Q | 普速列车什么时候发车？ | 五分钟后 | 一小时后 | 现在 | 不发 | 五分钟.
@@
@L 邻居：我是来说噪音的事。昨晚你们家聚会一直闹到三点。 住户：真对不起。昨天是我儿子的生日，我们没想到声音传得那么远。 邻居：我理解，不过不能再有下次了。 住户：一定，我们会注意的。
Q | 邻居为什么来？ | 噪音 | 垃圾 | 停车 | 房租 | 噪音.
Q | 为什么聚会？ | 儿子生日 | 婚礼 | 新年 | 搬家 | 生日.
Q | 住户的反应是？ | 道歉 | 生气 | 否认 | 大笑 | 道歉.
Q | 邻居要求什么？ | 不要再发生 | 钱 | 起诉 | 搬家 | 不再发生.
Q | 聚会闹到几点？ | 三点 | 十点 | 半夜 | 五点 | 三点.
@@
@L 教授：气候变化不是未来的问题，而是当下的问题。极端天气越来越多，农作物受损，沿海地区受到威胁。虽然我们无法完全阻止，但只要把升温控制住零点一度，也能明显减轻后果。
Q | 教授认为气候变化是什么问题？ | 当下的问题 | 未来的问题 | 不是问题 | 百年后的问题 | 当下.
Q | 什么在增加？ | 极端天气 | 农作物 | 海岸 | 肥胖 | 极端天气.
Q | 能完全阻止吗？ | 不能 | 能 | 北方能 | 也许 | 不能.
Q | 怎样减轻后果？ | 控制升温 | 增加汽车 | 增加工业 | 什么都不做 | 控制升温.
Q | 教授的语气是？ | 紧迫 | 愉快 | 讽刺 | 冷漠 | 紧迫.
@@
@L 女：我在考虑把房子卖掉。 男：真的吗？你不是刚装修过吗？ 女：正因为这样才要现在卖。房子升值了，利率也还不算高。卖了房子，我可以在市区买套小一点的。 男：听起来不错，不过别太急。
Q | 女的在考虑什么？ | 卖房子 | 租房 | 只搬家 | 结婚 | 卖房.
Q | 为什么现在卖？ | 房子升值了 | 需要钱 | 不喜欢 | 吵架 | 升值.
Q | 想买什么样的房子？ | 市区小一点的 | 乡下的 | 汽车 | 土地 | 市区.
Q | 男的建议什么？ | 别太急 | 马上卖 | 什么都别做 | 等五年 | 别太急.
Q | 房子最近做了什么？ | 装修 | 出租 | 卖掉 | 拆掉 | 装修.
@@
@L 员工：报告写完了，不过我对数字有点担心。 经理：哪个数字？ 员工：第三季度的销售额高得离谱，我怀疑是录入错误。 经理：那发出去之前你先核对一下。
Q | 员工担心什么？ | 销售数字 | 格式 | 期限 | 标题 | 数字.
Q | 他怀疑什么？ | 录入错误 | 诈骗 | 盗窃 | 病毒 | 录入错误.
Q | 经理要求什么？ | 发出前核对 | 马上发 | 解雇 | 重写 | 核对.
Q | 是哪个季度？ | 第三季度 | 第一季度 | 第二季度 | 第四季度 | 第三.
Q | 报告的状态是？ | 写完了 | 没开始 | 丢了 | 已发表 | 完成.
@@
@L 语音：您好，这里是王女士的语音信箱。我五月十五日前不在办公室。如有急事，请联系我的同事李先生，分机号是四五六七。我回来后会回复您的留言。
Q | 她什么时候前不在？ | 五月十五日 | 五月底 | 明天 | 周一 | 5月15日.
Q | 有急事联系谁？ | 李先生 | 王女士 | 老板 | 前台 | 李先生.
Q | 她什么时候回复？ | 回来后 | 现在 | 不回复 | 明天 | 回来后.
Q | 这是什么？ | 语音信箱提示 | 广告 | 信 | 对话 | 语音信箱.
Q | 同事的分机号是？ | 四五六七 | 七六五四 | 四五七六 | 五四六七 | 4567.
@@
@L 老师：开始新的单元之前，请大家分组讨论一下，你们已经知道哪些关于可持续发展的内容。写下三点，然后每组汇报一点。时间十分钟。
Q | 学生先做什么？ | 分组讨论已知内容 | 考试 | 只听 | 回家 | 分组讨论.
Q | 要写几点？ | 三点 | 两点 | 五点 | 十点 | 三点.
Q | 之后做什么？ | 每组汇报一点 | 老师打分 | 休息 | 考试 | 汇报.
Q | 有多长时间？ | 十分钟 | 一小时 | 五分钟 | 二十分钟 | 十分钟.
Q | 主题是什么？ | 可持续发展 | 历史 | 体育 | 政治 | 可持续发展.
@@
@L 同事甲：那个客户又投诉了。 同事乙：这次是什么事？ 同事甲：他说收到的货不全。我们明明是按清单全部打包的。 同事乙：也许运输途中丢了什么。我给物流公司打个电话。
Q | 客户投诉什么？ | 收到的货不全 | 价格 | 质量 | 延迟 | 货不全.
Q | 同事们说包装怎么样？ | 按清单全部打包 | 漏了东西 | 没打包 | 客户说谎 | 按清单.
Q | 同事乙猜测什么？ | 运输途中丢失 | 诈骗 | 客户失误 | 仓库被盗 | 运输丢失.
Q | 同事乙打算做什么？ | 给物流公司打电话 | 给客户打电话 | 报警 | 辞职 | 打电话.
Q | 客户的投诉是第几次？ | 又一次 | 第一次 | 没有 | 很少 | 又.
@@
# writing
Q | 下面哪个句子没有语病？ | 通过这次活动，同学们增强了环保意识。 | 通过这次活动，使同学们增强了环保意识。 | 这次活动，增强了同学们通过环保意识。 | 通过这次活动，同学们的环保意识使增强了。 | “通过…使…”会造成主语缺失.
Q | 下面哪个句子没有语病？ | 他的学习成绩有了明显提高。 | 他的学习成绩有了明显提高了很多。 | 他的学习成绩有了明显地提高。 | 他学习成绩的提高有了明显。 | 结构完整.
Q | 下面哪个句子没有语病？ | 坚持锻炼是身体健康的关键。 | 能否坚持锻炼是身体健康的关键。 | 坚持锻炼是身体健康的关键因素之一是。 | 是身体健康的关键坚持锻炼。 | “能否”(两面)与“关键”(一面)不对应是常见病句.
Q | 下面哪个句子没有语病？ | 我们要养成良好的学习习惯。 | 我们要养成良好的学习习惯的养成。 | 我们要良好养成学习的习惯。 | 我们养成要良好学习的习惯。 | 语序正确.
Q | 下面哪个句子没有语病？ | 这家工厂的产品质量明显提高了。 | 这家工厂的产品质量明显增加了。 | 这家工厂的产品质量明显扩大了。 | 这家工厂的产品质量明显加大了。 | 搭配: 质量—提高.
Q | 下面哪个句子没有语病？ | 他养成了按时睡觉的习惯。 | 他养成了按时睡觉。 | 他养成了习惯按时睡觉。 | 他习惯养成了按时睡觉。 | 搭配.
Q | 下面哪个句子没有语病？ | 中国的传统文化博大精深。 | 中国的传统文化博大精深的。 | 中国的传统文化非常博大精深得。 | 中国传统的文化博大精深着。 | 语序与助词正确.
Q | 下面哪个句子没有语病？ | 随着科技的发展，人们的生活越来越方便。 | 随着科技的发展，使人们的生活越来越方便。 | 科技的发展随着，人们的生活越来越方便。 | 随着科技的发展，人们的生活越来越方便了了。 | “随着”后不能与“使”并用作主语.
Q | 下面哪个句子没有语病？ | 这个问题的关键在于我们是否有足够的资金。 | 这个问题的关键在于我们有足够的资金。是否 | 这个问题关键在于是否有足够资金是。 | 这个问题的关键是我们有足够的资金是否。 | 两面对两面.
Q | 下面哪个句子没有语病？ | 他不仅会说英语，而且会说法语。 | 他不仅会说英语，不仅会说法语。 | 他不但而且会说英语，会说法语。 | 他会说英语不仅，而且会说法语。 | 关联词搭配.
Q | 选择恰当的词：他的成绩＿＿提高了很多。 | 显著 | 显然 | 明显地了 | 显示 | 显著 = notable.
Q | 选择恰当的词：这个城市的空气质量＿＿改善。 | 得到 | 取得 | 造成 | 引起 | 得到改善.
Q | 选择恰当的词：这次事故＿＿了严重的后果。 | 造成 | 制造 | 创造 | 形成的 | 造成后果.
Q | 选择恰当的词：他的话＿＿了我的兴趣。 | 引起 | 引导 | 引进 | 引用 | 引起兴趣.
Q | 选择恰当的词：这个消息已经＿＿开来。 | 传 | 吹 | 拉 | 推 | 传开.
Q | 选择恰当的词：我们必须＿＿这个问题的严重性。 | 认识到 | 认得 | 认出 | 认错 | 认识到 = darse cuenta.
Q | 选择恰当的词：他对这件事很＿＿。 | 感兴趣 | 兴奋地 | 兴趣了 | 有兴致着 | 对…感兴趣.
Q | 选择恰当的词：这本书的内容很＿＿。 | 丰富 | 富裕 | 充足 | 丰满 | 内容丰富.
Q | 选择恰当的词：他的观点很有＿＿。 | 说服力 | 说服的 | 说明 | 说法着 | 有说服力.
Q | 选择恰当的词：她的表演赢得了观众的＿＿。 | 掌声 | 声音 | 音乐 | 语声 | 赢得掌声.
Q | 选择恰当的词：这个产品的价格＿＿。 | 合理 | 合适地 | 合着 | 合起 | 价格合理.
Q | 选择恰当的词：这件事需要慎重＿＿。 | 考虑 | 想象 | 想念 | 思念 | 慎重考虑.
Q | 选择恰当的词：他们＿＿地解决了这个问题。 | 圆满 | 满意 | 满足 | 圆圈 | 圆满地解决.
Q | 选择恰当的词：老师对这位学生的进步感到很＿＿。 | 欣慰 | 欣赏 | 欢乐 | 快活地 | 欣慰 = complacido.
Q | 选择恰当的词：面对突发情况，他保持了＿＿。 | 镇定 | 稳定性 | 安定的 | 平静着 | 保持镇定.
Q | 选择恰当的词：这个方案存在一些＿＿。 | 漏洞 | 洞口 | 缺席 | 空白点 | 存在漏洞.
Q | 选择恰当的词：这次谈判＿＿了双方的分歧。 | 缩小 | 缩短 | 缩写 | 收缩了 | 缩小分歧.
Q | 选择恰当的词：这项政策＿＿了人民的利益。 | 维护 | 维修 | 维持了 | 维生 | 维护利益.
Q | 选择恰当的词：他对这个问题的分析很＿＿。 | 透彻 | 通透明 | 透气 | 透明的 | 分析透彻.
Q | 选择恰当的词：她说话总是＿＿，让人觉得很亲切。 | 和蔼可亲 | 心平气和 | 咄咄逼人 | 盛气凌人 | 和蔼可亲 = afable.
Q | 选择恰当的词：这幅画＿＿，栩栩如生。 | 惟妙惟肖 | 相形见绌 | 大相径庭 | 不可思议 | 惟妙惟肖 = muy realista.
Q | 选择恰当的标点：他问我：“你去不去 ＿＿” | ？ | 。 | ， | ； | 疑问句用问号.
Q | 选择恰当的标点：我喜欢苹果＿＿橘子＿＿香蕉。 | 、 | 。 | ？ | ！ | 并列词语用顿号.
Q | 选择恰当的标点：他说＿＿“我明天就走。” | ： | 、 | 。 | ； | 引出引语用冒号.
Q | 选择恰当的标点：因为下雨＿＿所以比赛取消了。 | ， | 、 | ： | ； | 复句逗号.
Q | 请选择正确的汉字：“化妆品”的“妆”是 | 妆 | 装 | 状 | 壮 | 化妆 = maquillaje.
Q | 请选择正确的汉字：“再接再厉”的“厉”是 | 厉 | 励 | 历 | 丽 | 再接再厉 = perseverar.
Q | 请选择正确的汉字：“迫不及待”的“迫”是 | 迫 | 追 | 拍 | 泊 | 迫不及待.
Q | 请选择正确的汉字：“按部就班”的“班”是 | 班 | 般 | 搬 | 斑 | 按部就班.
Q | 请选择正确的汉字：“一如既往”的“既”是 | 既 | 即 | 记 | 寄 | 一如既往 = como siempre.
Q | 请选择正确的汉字：“川流不息”的“川”是 | 川 | 穿 | 传 | 串 | 川流不息.
Q | 请选择正确的汉字：“兴高采烈”的“采”是 | 采 | 彩 | 菜 | 踩 | 兴高采烈.
Q | 请选择正确的汉字：“变本加厉”的“厉”是 | 厉 | 历 | 励 | 例 | 变本加厉.
Q | 请选择正确的汉字：“再三”的“再”是 | 再 | 在 | 载 | 栽 | 再三 = repetidamente.
Q | 请选择正确的汉字：“必须”的“须”是 | 须 | 需 | 虚 | 序 | 必须.
Q | 请选择正确的汉字：“分辨”的“辨”是 | 辨 | 辩 | 辫 | 瓣 | 分辨 = distinguir.
